	Gait FB - IOR 2.c3d	Gait FB - IOR 3.c3d	Gait FB - IOR 3.c3d	Gait FB - IOR 4.c3d	Static.c3d
	L_FM1	L_FM1	L_FM1	L_FM1	L_FM1
	TARGET	TARGET	TARGET	TARGET	TARGET
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z
1	0.1241	0.1415	0.1151	0.1226	0.0604
2	0.1120	0.1295	0.1036	0.1108	0.0604
3	0.0999	0.1167	0.0922	0.0990	0.0604
4	0.0888	0.1042	0.0818	0.0878	0.0604
5	0.0788	0.0926	0.0729	0.0780	0.0604
6	0.0711	0.0828	0.0662	0.0707	0.0604
7	0.0659	0.0755	0.0619	0.0659	0.0604
8	0.0624	0.0707	0.0595	0.0629	0.0604
9	0.0603	0.0679	0.0582	0.0611	0.0604
10	0.0589	0.0660	0.0573	0.0601	0.0604
11	0.0581	0.0647	0.0567	0.0595	0.0604
12	0.0576	0.0639	0.0563	0.0593	0.0604
13	0.0573	0.0634	0.0559	0.0592	0.0604
14	0.0571	0.0630	0.0556	0.0592	0.0604
15	0.0570	0.0628	0.0554	0.0594	0.0604
16	0.0571	0.0628	0.0552	0.0596	0.0604
17	0.0572	0.0627	0.0551	0.0599	0.0604
18	0.0573	0.0626	0.0550	0.0602	0.0604
19	0.0574	0.0626	0.0549	0.0605	0.0604
20	0.0574	0.0625	0.0548	0.0608	0.0604
21	0.0574	0.0624	0.0547	0.0611	0.0604
22	0.0573	0.0623	0.0545	0.0612	0.0604
23	0.0572	0.0621	0.0543	0.0613	0.0604
24	0.0570	0.0618	0.0540	0.0613	0.0604
25	0.0567	0.0616	0.0537	0.0613	0.0604
26	0.0564	0.0613	0.0534	0.0611	0.0604
27	0.0561	0.0610	0.0531	0.0609	0.0604
28	0.0557	0.0607	0.0530	0.0606	0.0604
29	0.0552	0.0605	0.0529	0.0603	0.0604
30	0.0547	0.0604	0.0528	0.0598	0.0604
31	0.0542	0.0603	0.0526	0.0593	0.0604
32	0.0538	0.0600	0.0524	0.0587	0.0604
33	0.0534	0.0596	0.0520	0.0582	0.0604
34	0.0530	0.0590	0.0516	0.0577	0.0604
35	0.0527	0.0583	0.0513	0.0572	0.0604
36	0.0524	0.0577	0.0511	0.0568	0.0604
37	0.0521	0.0573	0.0508	0.0564	0.0604
38	0.0517	0.0570	0.0506	0.0559	0.0604
39	0.0514	0.0568	0.0504	0.0554	0.0604
40	0.0510	0.0565	0.0502	0.0548	0.0604
41	0.0506	0.0563	0.0500	0.0542	0.0604
42	0.0502	0.0560	0.0497	0.0534	0.0604
43	0.0499	0.0558	0.0496	0.0527	0.0604
44	0.0497	0.0555	0.0495	0.0521	0.0604
45	0.0495	0.0553	0.0494	0.0515	0.0604
46	0.0494	0.0551	0.0493	0.0510	0.0604
47	0.0494	0.0548	0.0494	0.0507	0.0604
48	0.0495	0.0546	0.0495	0.0503	0.0604
49	0.0496	0.0546	0.0496	0.0501	0.0604
50	0.0499	0.0546	0.0498	0.0501	0.0604
51	0.0502	0.0547	0.0500	0.0501	0.0604
52	0.0505	0.0548	0.0502	0.0502	0.0604
53	0.0508	0.0550	0.0505	0.0504	0.0604
54	0.0511	0.0552	0.0508	0.0505	0.0604
55	0.0518	0.0555	0.0513	0.0508	0.0604
56	0.0530	0.0559	0.0521	0.0515	0.0604
57	0.0551	0.0566	0.0534	0.0529	0.0604
58	0.0584	0.0578	0.0556	0.0554	0.0604
59	0.0627	0.0599	0.0589	0.0592	0.0604
60	0.0676	0.0631	0.0631	0.0639	0.0604
61	0.0728	0.0675	0.0680	0.0689	0.0604
62	0.0778	0.0726	0.0730	0.0740	0.0604
63	0.0830	0.0779	0.0778	0.0791	0.0604
64	0.0883	0.0829	0.0826	0.0844	0.0604
65	0.0935	0.0875	0.0872	0.0896	0.0604
66	0.0982	0.0925	0.0918	0.0946	0.0604
67	0.1018	0.0973	0.0959	0.0987	0.0604
68	0.1038	0.1019	0.0989	0.1014	0.0604
69	0.1043	0.1057	0.1007	0.1025	0.0604
70	0.1035	0.1079	0.1012	0.1021	0.0604
71	0.1019	0.1083	0.1005	0.1007	0.0604
72	0.0993	0.1074	0.0989	0.0981	0.0604
73	0.0961	0.1054	0.0965	0.0948	0.0604
74	0.0924	0.1024	0.0934	0.0910	0.0604
75	0.0886	0.0988	0.0900	0.0870	0.0604
76	0.0846	0.0945	0.0863	0.0828	0.0604
77	0.0807	0.0900	0.0825	0.0786	0.0604
78	0.0770	0.0853	0.0786	0.0746	0.0604
79	0.0736	0.0806	0.0746	0.0711	0.0604
80	0.0708	0.0761	0.0710	0.0679	0.0604
81	0.0688	0.0722	0.0679	0.0656	0.0604
82	0.0679	0.0687	0.0657	0.0643	0.0604
83	0.0682	0.0664	0.0648	0.0641	0.0604
84	0.0700	0.0651	0.0649	0.0653	0.0604
85	0.0734	0.0650	0.0665	0.0680	0.0604
86	0.0786	0.0664	0.0695	0.0724	0.0604
87	0.0858	0.0697	0.0742	0.0786	0.0604
88	0.0949	0.0750	0.0807	0.0863	0.0604
89	0.1054	0.0825	0.0891	0.0953	0.0604
90	0.1166	0.0920	0.0990	0.1051	0.0604
91	0.1276	0.1026	0.1101	0.1150	0.0604
92	0.1377	0.1136	0.1212	0.1244	0.0604
93	0.1464	0.1238	0.1320	0.1329	0.0604
94	0.1530	0.1323	0.1415	0.1399	0.0604
95	0.1570	0.1389	0.1492	0.1449	0.0604
96	0.1577	0.1428	0.1544	0.1474	0.0604
97	0.1547	0.1435	0.1566	0.1468	0.0604
98	0.1481	0.1408	0.1548	0.1429	0.0604
99	0.1389	0.1345	0.1492	0.1361	0.0604
100	0.1283	0.1255	0.1406	0.1269	0.0604
101	0.1165	0.1151	0.1299	0.1161	0.0604
