	Gait FB - IOR 6.c3d	Static.c3d
	Left Ankle Angles	Left Ankle Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL
ITEM	X	X
1	6.43	24.15
2	5.77	24.15
3	4.89	24.15
4	3.82	24.15
5	2.65	24.15
6	1.54	24.15
7	0.60	24.15
8	-0.09	24.15
9	-0.53	24.15
10	-0.72	24.14
11	-0.67	24.14
12	-0.36	24.14
13	0.17	24.14
14	0.88	24.14
15	1.72	24.14
16	2.63	24.14
17	3.53	24.14
18	4.40	24.14
19	5.21	24.14
20	5.94	24.14
21	6.58	24.14
22	7.14	24.14
23	7.62	24.14
24	8.03	24.14
25	8.38	24.14
26	8.69	24.14
27	8.97	24.14
28	9.22	24.14
29	9.47	24.14
30	9.72	24.14
31	9.98	24.14
32	10.24	24.14
33	10.52	24.14
34	10.82	24.14
35	11.14	24.14
36	11.49	24.14
37	11.88	24.14
38	12.31	24.14
39	12.77	24.14
40	13.27	24.14
41	13.80	24.14
42	14.36	24.14
43	14.92	24.14
44	15.47	24.14
45	15.99	24.14
46	16.44	24.14
47	16.82	24.14
48	17.08	24.14
49	17.23	24.14
50	17.23	24.14
51	17.07	24.14
52	16.74	24.14
53	16.22	24.14
54	15.48	24.14
55	14.49	24.14
56	13.19	24.14
57	11.50	24.14
58	9.39	24.14
59	6.85	24.14
60	3.92	24.14
61	0.78	24.14
62	-2.32	24.14
63	-5.09	24.14
64	-7.29	24.14
65	-8.73	24.14
66	-9.34	24.14
67	-9.12	24.14
68	-8.22	24.14
69	-6.85	24.14
70	-5.23	24.14
71	-3.57	24.14
72	-1.98	24.14
73	-0.54	24.14
74	0.76	24.14
75	1.90	24.14
76	2.91	24.14
77	3.81	24.14
78	4.64	24.14
79	5.42	24.14
80	6.16	24.14
81	6.85	24.14
82	7.48	24.14
83	7.99	24.14
84	8.36	24.14
85	8.54	24.14
86	8.52	24.14
87	8.30	24.14
88	7.92	24.14
89	7.42	24.14
90	6.84	24.14
91	6.23	24.14
92	5.61	24.14
93	5.03	24.14
94	4.51	24.14
95	4.09	24.14
96	3.78	24.14
97	3.60	24.14
98	3.55	24.14
99	3.59	24.14
100	3.67	24.14
101	3.71	24.14
