	Gait FB - IOR 2.c3d	Gait FB - IOR 3.c3d	Gait FB - IOR 4.c3d
	Left Ankle Moment	Left Ankle Moment	Left Ankle Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y
1	0.0037	0.0234	0.0032
2	-0.0105	0.0291	-0.0291
3	-0.0678	-0.0002	-0.0919
4	-0.1144	-0.0126	-0.1393
5	-0.1513	-0.0074	-0.1756
6	-0.1579	0.0367	-0.1915
7	-0.1495	0.0709	-0.2033
8	-0.1513	0.0771	-0.2036
9	-0.1432	0.0944	-0.1910
10	-0.1324	0.1125	-0.1824
11	-0.1278	0.1252	-0.1768
12	-0.1213	0.1356	-0.1716
13	-0.1154	0.1416	-0.1671
14	-0.1119	0.1454	-0.1640
15	-0.1085	0.1489	-0.1622
16	-0.1029	0.1539	-0.1591
17	-0.0950	0.1607	-0.1533
18	-0.0851	0.1678	-0.1455
19	-0.0729	0.1736	-0.1359
20	-0.0594	0.1772	-0.1255
21	-0.0469	0.1790	-0.1162
22	-0.0373	0.1800	-0.1087
23	-0.0300	0.1809	-0.1028
24	-0.0242	0.1830	-0.0984
25	-0.0193	0.1868	-0.0945
26	-0.0144	0.1920	-0.0904
27	-0.0086	0.1980	-0.0853
28	-0.0017	0.2042	-0.0794
29	0.0055	0.2099	-0.0724
30	0.0125	0.2151	-0.0646
31	0.0192	0.2196	-0.0568
32	0.0259	0.2241	-0.0492
33	0.0332	0.2291	-0.0414
34	0.0410	0.2349	-0.0330
35	0.0495	0.2421	-0.0234
36	0.0584	0.2506	-0.0123
37	0.0675	0.2600	-0.0001
38	0.0767	0.2706	0.0128
39	0.0858	0.2817	0.0270
40	0.0952	0.2932	0.0433
41	0.1056	0.3055	0.0623
42	0.1173	0.3213	0.0825
43	0.1307	0.3465	0.1031
44	0.1462	0.3781	0.1242
45	0.1637	0.4101	0.1451
46	0.1819	0.4402	0.1657
47	0.2000	0.4670	0.1860
48	0.2176	0.4890	0.2056
49	0.2349	0.5029	0.2240
50	0.2516	0.5062	0.2402
51	0.2656	0.4974	0.2535
52	0.2757	0.4760	0.2631
53	0.2813	0.4477	0.2678
54	0.2779	0.4231	0.2647
55	0.2618	0.3934	0.2500
56	0.2325	0.3528	0.2243
57	0.1902	0.3009	0.1882
58	0.1399	0.2402	0.1446
59	0.0898	0.1764	0.0993
60	0.0457	0.1170	0.0575
61	0.0135	0.0665	0.0228
62	-0.0084	0.0244	-0.0010
63	-0.0091	-0.0113	-0.0099
64	-0.0090	-0.0073	-0.0086
65	-0.0082	-0.0082	-0.0084
66	-0.0072	-0.0075	-0.0075
67	-0.0062	-0.0069	-0.0066
68	-0.0052	-0.0061	-0.0057
69	-0.0045	-0.0052	-0.0049
70	-0.0039	-0.0045	-0.0042
71	-0.0035	-0.0039	-0.0038
72	-0.0032	-0.0034	-0.0035
73	-0.0030	-0.0031	-0.0034
74	-0.0029	-0.0028	-0.0033
75	-0.0029	-0.0026	-0.0032
76	-0.0029	-0.0025	-0.0032
77	-0.0029	-0.0024	-0.0032
78	-0.0030	-0.0025	-0.0033
79	-0.0032	-0.0026	-0.0034
80	-0.0034	-0.0027	-0.0035
81	-0.0036	-0.0029	-0.0037
82	-0.0038	-0.0032	-0.0038
83	-0.0040	-0.0035	-0.0039
84	-0.0041	-0.0038	-0.0040
85	-0.0042	-0.0040	-0.0040
86	-0.0042	-0.0041	-0.0038
87	-0.0039	-0.0041	-0.0036
88	-0.0034	-0.0039	-0.0032
89	-0.0027	-0.0034	-0.0026
90	-0.0017	-0.0027	-0.0018
91	-0.0006	-0.0018	-0.0009
92	0.0006	-0.0007	0.0001
93	0.0017	0.0005	0.0011
94	0.0025	0.0016	0.0019
95	0.0031	0.0024	0.0024
96	0.0031	0.0029	0.0026
97	0.0026	0.0030	0.0025
98	0.0017	0.0026	0.0019
99	0.0003	0.0018	0.0009
100	-0.0012	0.0007	-0.0003
101	-0.0027	-0.0005	-0.0016
