	Gait LB - IOR 5.c3d	Gait LB - IOR 7.c3d	Gait LB - IOR 7.c3d	Gait LB - IOR 8.c3d	Gait LB - IOR 8.c3d	Static.c3d
	Left Ankle Angles	Left Ankle Angles	Left Ankle Angles	Left Ankle Angles	Left Ankle Angles	Left Ankle Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z
1	-2.08	-2.46	-2.61	-2.45	-1.67	-0.58
2	-2.30	-2.90	-2.91	-2.82	-1.94	-0.58
3	-2.53	-3.34	-3.20	-3.19	-2.26	-0.58
4	-2.76	-3.74	-3.44	-3.54	-2.62	-0.58
5	-2.97	-4.08	-3.62	-3.84	-3.00	-0.58
6	-3.14	-4.34	-3.74	-4.07	-3.37	-0.58
7	-3.27	-4.51	-3.83	-4.22	-3.72	-0.58
8	-3.38	-4.60	-3.88	-4.29	-4.04	-0.58
9	-3.47	-4.60	-3.89	-4.27	-4.29	-0.58
10	-3.58	-4.51	-3.87	-4.17	-4.47	-0.58
11	-3.69	-4.34	-3.80	-3.98	-4.58	-0.58
12	-3.81	-4.11	-3.70	-3.72	-4.61	-0.58
13	-3.92	-3.83	-3.57	-3.38	-4.56	-0.58
14	-3.99	-3.50	-3.43	-2.99	-4.45	-0.58
15	-4.00	-3.13	-3.26	-2.55	-4.26	-0.58
16	-3.96	-2.74	-3.08	-2.12	-4.02	-0.58
17	-3.86	-2.35	-2.87	-1.71	-3.72	-0.58
18	-3.71	-1.97	-2.62	-1.35	-3.39	-0.58
19	-3.54	-1.62	-2.34	-1.06	-3.04	-0.58
20	-3.36	-1.31	-2.03	-0.81	-2.69	-0.58
21	-3.17	-1.04	-1.70	-0.61	-2.36	-0.58
22	-3.00	-0.81	-1.39	-0.44	-2.05	-0.58
23	-2.83	-0.61	-1.09	-0.27	-1.78	-0.58
24	-2.66	-0.43	-0.84	-0.12	-1.54	-0.58
25	-2.49	-0.26	-0.62	0.03	-1.31	-0.58
26	-2.30	-0.08	-0.44	0.17	-1.10	-0.58
27	-2.10	0.11	-0.28	0.29	-0.90	-0.57
28	-1.87	0.31	-0.13	0.40	-0.72	-0.57
29	-1.65	0.50	0.02	0.50	-0.55	-0.57
30	-1.42	0.68	0.17	0.58	-0.40	-0.57
31	-1.23	0.84	0.31	0.66	-0.26	-0.57
32	-1.07	0.97	0.44	0.73	-0.15	-0.57
33	-0.96	1.08	0.55	0.81	-0.05	-0.57
34	-0.89	1.17	0.63	0.90	0.05	-0.57
35	-0.87	1.24	0.69	1.01	0.15	-0.57
36	-0.87	1.29	0.73	1.13	0.27	-0.57
37	-0.90	1.32	0.76	1.27	0.39	-0.57
38	-0.93	1.35	0.77	1.41	0.53	-0.57
39	-0.95	1.37	0.78	1.54	0.68	-0.57
40	-0.95	1.38	0.78	1.65	0.82	-0.57
41	-0.93	1.38	0.78	1.75	0.96	-0.57
42	-0.87	1.38	0.77	1.82	1.09	-0.57
43	-0.78	1.39	0.78	1.87	1.20	-0.57
44	-0.64	1.40	0.79	1.91	1.30	-0.57
45	-0.48	1.42	0.81	1.93	1.39	-0.57
46	-0.28	1.46	0.85	1.95	1.46	-0.57
47	-0.06	1.51	0.92	1.98	1.54	-0.57
48	0.18	1.59	1.01	2.03	1.62	-0.57
49	0.47	1.70	1.14	2.10	1.74	-0.57
50	0.81	1.86	1.32	2.23	1.91	-0.57
51	1.23	2.11	1.57	2.43	2.19	-0.57
52	1.78	2.49	1.94	2.75	2.59	-0.57
53	2.50	3.05	2.45	3.22	3.18	-0.57
54	3.40	3.81	3.15	3.87	3.98	-0.57
55	4.49	4.79	4.06	4.71	5.00	-0.57
56	5.67	5.97	5.18	5.73	6.19	-0.57
57	6.83	7.24	6.45	6.86	7.45	-0.57
58	7.80	8.47	7.74	7.99	8.61	-0.57
59	8.39	9.46	8.87	8.97	9.49	-0.56
60	8.51	10.07	9.65	9.64	9.93	-0.56
61	8.12	10.20	9.94	9.90	9.84	-0.56
62	7.27	9.82	9.71	9.71	9.22	-0.56
63	6.06	8.99	8.97	9.09	8.13	-0.56
64	4.64	7.80	7.82	8.09	6.71	-0.56
65	3.17	6.37	6.41	6.83	5.08	-0.56
66	1.78	4.82	4.89	5.41	3.43	-0.56
67	0.57	3.29	3.39	3.95	1.88	-0.56
68	-0.40	1.88	2.03	2.57	0.55	-0.56
69	-1.12	0.67	0.88	1.35	-0.50	-0.56
70	-1.63	-0.31	-0.03	0.33	-1.24	-0.56
71	-1.97	-1.05	-0.70	-0.47	-1.71	-0.56
72	-2.21	-1.58	-1.18	-1.07	-1.97	-0.56
73	-2.41	-1.94	-1.52	-1.49	-2.08	-0.56
74	-2.61	-2.18	-1.77	-1.80	-2.12	-0.56
75	-2.86	-2.35	-2.00	-2.03	-2.16	-0.56
76	-3.16	-2.48	-2.24	-2.24	-2.24	-0.56
77	-3.51	-2.62	-2.53	-2.46	-2.42	-0.56
78	-3.87	-2.76	-2.87	-2.70	-2.68	-0.56
79	-4.20	-2.93	-3.26	-2.96	-3.02	-0.56
80	-4.44	-3.12	-3.67	-3.23	-3.39	-0.56
81	-4.58	-3.31	-4.06	-3.48	-3.77	-0.56
82	-4.60	-3.47	-4.38	-3.69	-4.09	-0.56
83	-4.50	-3.57	-4.61	-3.82	-4.31	-0.56
84	-4.30	-3.59	-4.70	-3.85	-4.43	-0.56
85	-4.06	-3.51	-4.67	-3.78	-4.41	-0.56
86	-3.81	-3.32	-4.51	-3.58	-4.28	-0.56
87	-3.58	-3.05	-4.26	-3.29	-4.05	-0.56
88	-3.40	-2.73	-3.94	-2.94	-3.77	-0.56
89	-3.26	-2.40	-3.61	-2.56	-3.46	-0.56
90	-3.17	-2.11	-3.30	-2.21	-3.15	-0.56
91	-3.10	-1.89	-3.03	-1.92	-2.87	-0.56
92	-3.03	-1.76	-2.79	-1.70	-2.61	-0.55
93	-2.94	-1.70	-2.58	-1.54	-2.36	-0.55
94	-2.83	-1.70	-2.38	-1.43	-2.13	-0.55
95	-2.71	-1.74	-2.19	-1.34	-1.91	-0.55
96	-2.61	-1.78	-2.02	-1.27	-1.72	-0.55
97	-2.55	-1.86	-1.91	-1.23	-1.58	-0.55
98	-2.55	-1.96	-1.91	-1.24	-1.52	-0.55
99	-2.61	-2.12	-2.03	-1.32	-1.56	-0.55
100	-2.73	-2.34	-2.27	-1.46	-1.69	-0.55
101	-2.90	-2.61	-2.63	-1.67	-1.91	-0.55
