	Gait FB - IOR 6.c3d	Static.c3d
	Left Foot Pitch Angles	Left Foot Pitch Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL
ITEM	X	X
1	26.92	-0.00
2	25.12	-0.00
3	22.79	-0.00
4	20.08	-0.00
5	17.18	-0.00
6	14.29	-0.00
7	11.56	-0.00
8	9.09	-0.00
9	6.90	-0.00
10	5.03	-0.00
11	3.49	-0.00
12	2.30	-0.00
13	1.44	-0.00
14	0.86	-0.00
15	0.50	-0.00
16	0.30	-0.00
17	0.20	-0.00
18	0.16	-0.00
19	0.14	-0.00
20	0.13	-0.00
21	0.11	-0.00
22	0.08	-0.00
23	0.05	-0.00
24	0.01	-0.00
25	-0.04	-0.00
26	-0.09	-0.00
27	-0.14	-0.00
28	-0.18	-0.00
29	-0.22	-0.00
30	-0.26	-0.00
31	-0.29	-0.00
32	-0.33	-0.00
33	-0.37	-0.00
34	-0.42	-0.00
35	-0.47	-0.00
36	-0.52	-0.00
37	-0.59	-0.00
38	-0.67	-0.00
39	-0.77	-0.00
40	-0.91	-0.00
41	-1.08	-0.00
42	-1.31	-0.00
43	-1.61	-0.00
44	-2.00	-0.00
45	-2.49	-0.00
46	-3.11	-0.00
47	-3.86	-0.00
48	-4.78	-0.00
49	-5.87	0.00
50	-7.14	0.00
51	-8.63	0.00
52	-10.35	0.00
53	-12.33	0.00
54	-14.61	0.00
55	-17.23	0.00
56	-20.25	0.00
57	-23.72	0.00
58	-27.69	0.00
59	-32.14	0.00
60	-37.01	0.00
61	-42.14	0.00
62	-47.28	0.00
63	-52.12	0.00
64	-56.35	0.00
65	-59.68	0.00
66	-61.94	0.00
67	-63.08	0.00
68	-63.21	0.00
69	-62.54	0.00
70	-61.28	0.00
71	-59.59	0.00
72	-57.59	0.00
73	-55.32	0.00
74	-52.79	0.00
75	-50.03	0.00
76	-47.04	0.00
77	-43.83	0.00
78	-40.42	0.00
79	-36.82	0.00
80	-33.05	0.00
81	-29.13	0.00
82	-25.11	0.00
83	-21.02	0.01
84	-16.91	0.01
85	-12.80	0.01
86	-8.73	0.01
87	-4.72	0.01
88	-0.79	0.01
89	3.01	0.01
90	6.62	0.01
91	10.00	0.01
92	13.07	0.01
93	15.80	0.01
94	18.14	0.01
95	20.08	0.01
96	21.59	0.01
97	22.68	0.01
98	23.33	0.01
99	23.53	0.01
100	23.26	0.01
101	22.50	0.01
