	Gait FB - IOR 6.c3d	Static.c3d
	Left Foot Progression	Left Foot Progression
	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL
ITEM	Z	Z
1	-7.10	-19.01
2	-6.17	-19.01
3	-5.24	-19.01
4	-4.43	-19.01
5	-3.80	-19.01
6	-3.35	-19.01
7	-3.03	-19.01
8	-2.78	-19.01
9	-2.55	-19.01
10	-2.31	-19.01
11	-2.06	-19.01
12	-1.81	-19.01
13	-1.58	-19.01
14	-1.38	-19.01
15	-1.22	-19.01
16	-1.10	-19.01
17	-1.02	-19.01
18	-0.98	-19.01
19	-0.97	-19.01
20	-0.98	-19.01
21	-1.02	-19.01
22	-1.06	-19.01
23	-1.10	-19.01
24	-1.13	-19.01
25	-1.16	-19.01
26	-1.18	-19.01
27	-1.20	-19.01
28	-1.21	-19.01
29	-1.22	-19.01
30	-1.23	-19.01
31	-1.25	-19.01
32	-1.26	-19.01
33	-1.28	-19.01
34	-1.31	-19.01
35	-1.34	-19.01
36	-1.37	-19.01
37	-1.42	-19.01
38	-1.48	-19.01
39	-1.55	-19.01
40	-1.63	-19.01
41	-1.71	-19.01
42	-1.79	-19.01
43	-1.87	-19.01
44	-1.94	-19.01
45	-1.99	-19.01
46	-2.01	-19.01
47	-1.99	-19.01
48	-1.92	-19.01
49	-1.79	-19.01
50	-1.60	-19.01
51	-1.37	-19.01
52	-1.13	-19.01
53	-0.90	-19.01
54	-0.70	-19.01
55	-0.54	-19.01
56	-0.44	-19.01
57	-0.38	-19.01
58	-0.37	-19.01
59	-0.40	-19.01
60	-0.48	-19.01
61	-0.64	-19.01
62	-0.93	-19.02
63	-1.45	-19.02
64	-2.28	-19.02
65	-3.50	-19.02
66	-5.11	-19.02
67	-7.05	-19.02
68	-9.17	-19.02
69	-11.30	-19.02
70	-13.27	-19.02
71	-14.94	-19.02
72	-16.23	-19.02
73	-17.11	-19.02
74	-17.57	-19.02
75	-17.68	-19.02
76	-17.54	-19.02
77	-17.24	-19.02
78	-16.88	-19.02
79	-16.54	-19.02
80	-16.26	-19.02
81	-16.04	-19.02
82	-15.85	-19.02
83	-15.62	-19.02
84	-15.28	-19.02
85	-14.78	-19.02
86	-14.11	-19.02
87	-13.28	-19.02
88	-12.39	-19.02
89	-11.53	-19.02
90	-10.83	-19.02
91	-10.40	-19.02
92	-10.29	-19.02
93	-10.51	-19.02
94	-10.98	-19.02
95	-11.60	-19.02
96	-12.23	-19.02
97	-12.75	-19.02
98	-13.07	-19.02
99	-13.14	-19.02
100	-12.95	-19.02
101	-12.54	-19.02
