	Gait FB - IOR 6.c3d	Static.c3d
	Left Hip Angles	Left Hip Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL
ITEM	Y	Y
1	-4.02	-15.59
2	-3.68	-15.59
3	-3.24	-15.59
4	-2.70	-15.59
5	-2.08	-15.59
6	-1.40	-15.59
7	-0.70	-15.59
8	-0.02	-15.59
9	0.61	-15.59
10	1.19	-15.59
11	1.69	-15.59
12	2.13	-15.60
13	2.52	-15.60
14	2.88	-15.60
15	3.22	-15.60
16	3.55	-15.60
17	3.84	-15.60
18	4.08	-15.60
19	4.26	-15.60
20	4.35	-15.60
21	4.37	-15.60
22	4.34	-15.60
23	4.28	-15.60
24	4.20	-15.60
25	4.13	-15.60
26	4.06	-15.60
27	3.97	-15.60
28	3.87	-15.60
29	3.73	-15.60
30	3.56	-15.60
31	3.37	-15.60
32	3.15	-15.60
33	2.93	-15.60
34	2.70	-15.60
35	2.49	-15.60
36	2.30	-15.60
37	2.14	-15.60
38	2.01	-15.60
39	1.91	-15.60
40	1.84	-15.60
41	1.81	-15.60
42	1.81	-15.60
43	1.85	-15.60
44	1.91	-15.60
45	1.98	-15.60
46	2.04	-15.60
47	2.08	-15.60
48	2.06	-15.60
49	1.98	-15.60
50	1.81	-15.60
51	1.56	-15.60
52	1.25	-15.60
53	0.89	-15.60
54	0.48	-15.60
55	0.02	-15.60
56	-0.48	-15.60
57	-1.04	-15.60
58	-1.69	-15.60
59	-2.42	-15.61
60	-3.23	-15.61
61	-4.12	-15.61
62	-5.06	-15.61
63	-6.00	-15.61
64	-6.90	-15.61
65	-7.69	-15.61
66	-8.35	-15.61
67	-8.82	-15.61
68	-9.11	-15.61
69	-9.21	-15.61
70	-9.15	-15.61
71	-8.95	-15.61
72	-8.66	-15.61
73	-8.32	-15.61
74	-7.97	-15.61
75	-7.64	-15.61
76	-7.35	-15.61
77	-7.11	-15.61
78	-6.92	-15.61
79	-6.77	-15.61
80	-6.65	-15.61
81	-6.56	-15.61
82	-6.48	-15.61
83	-6.40	-15.61
84	-6.33	-15.61
85	-6.28	-15.61
86	-6.23	-15.61
87	-6.19	-15.61
88	-6.16	-15.61
89	-6.12	-15.61
90	-6.07	-15.61
91	-6.00	-15.61
92	-5.92	-15.61
93	-5.84	-15.61
94	-5.75	-15.61
95	-5.66	-15.61
96	-5.56	-15.61
97	-5.45	-15.61
98	-5.33	-15.61
99	-5.17	-15.61
100	-4.97	-15.61
101	-4.71	-15.61
