	Gait LB - IOR 5.c3d	Gait LB - IOR 7.c3d	Gait LB - IOR 7.c3d	Gait LB - IOR 8.c3d	Gait LB - IOR 8.c3d	Static.c3d
	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X
1	19.05	18.62	19.06	18.29	18.57	-9.65
2	18.59	18.40	18.97	17.97	18.16	-9.65
3	17.99	18.10	18.79	17.54	17.70	-9.65
4	17.27	17.70	18.52	17.00	17.18	-9.65
5	16.47	17.18	18.15	16.36	16.60	-9.65
6	15.62	16.56	17.66	15.64	15.96	-9.65
7	14.75	15.84	17.07	14.86	15.27	-9.65
8	13.89	15.04	16.38	14.05	14.54	-9.65
9	13.06	14.19	15.61	13.21	13.77	-9.65
10	12.26	13.29	14.77	12.37	12.98	-9.65
11	11.49	12.37	13.90	11.52	12.16	-9.65
12	10.74	11.44	13.01	10.65	11.34	-9.65
13	9.98	10.49	12.11	9.76	10.51	-9.65
14	9.19	9.53	11.19	8.83	9.66	-9.65
15	8.36	8.55	10.25	7.88	8.79	-9.65
16	7.47	7.55	9.30	6.88	7.91	-9.65
17	6.53	6.54	8.33	5.86	7.00	-9.65
18	5.55	5.52	7.33	4.81	6.07	-9.65
19	4.54	4.48	6.32	3.75	5.12	-9.65
20	3.51	3.43	5.29	2.67	4.16	-9.65
21	2.48	2.37	4.24	1.60	3.20	-9.65
22	1.47	1.30	3.18	0.54	2.23	-9.65
23	0.47	0.24	2.13	-0.49	1.28	-9.65
24	-0.51	-0.83	1.09	-1.50	0.34	-9.66
25	-1.47	-1.91	0.07	-2.48	-0.57	-9.66
26	-2.42	-2.98	-0.94	-3.43	-1.45	-9.66
27	-3.37	-4.06	-1.94	-4.36	-2.32	-9.66
28	-4.34	-5.15	-2.94	-5.28	-3.19	-9.66
29	-5.32	-6.25	-3.94	-6.20	-4.06	-9.66
30	-6.32	-7.36	-4.98	-7.13	-4.95	-9.66
31	-7.34	-8.48	-6.05	-8.06	-5.89	-9.66
32	-8.34	-9.59	-7.16	-9.02	-6.87	-9.66
33	-9.33	-10.68	-8.32	-9.99	-7.92	-9.66
34	-10.28	-11.75	-9.52	-10.98	-9.02	-9.66
35	-11.18	-12.77	-10.76	-11.97	-10.18	-9.66
36	-12.04	-13.75	-12.02	-12.97	-11.38	-9.66
37	-12.84	-14.67	-13.29	-13.94	-12.60	-9.66
38	-13.60	-15.54	-14.54	-14.89	-13.82	-9.66
39	-14.33	-16.36	-15.75	-15.80	-15.03	-9.66
40	-15.04	-17.14	-16.91	-16.64	-16.19	-9.66
41	-15.74	-17.88	-17.99	-17.42	-17.29	-9.66
42	-16.42	-18.59	-19.00	-18.12	-18.31	-9.66
43	-17.09	-19.28	-19.93	-18.75	-19.25	-9.66
44	-17.75	-19.94	-20.80	-19.29	-20.11	-9.66
45	-18.38	-20.57	-21.61	-19.77	-20.88	-9.66
46	-18.98	-21.16	-22.35	-20.19	-21.56	-9.66
47	-19.53	-21.71	-23.04	-20.56	-22.17	-9.66
48	-20.02	-22.19	-23.66	-20.88	-22.68	-9.66
49	-20.43	-22.60	-24.20	-21.16	-23.10	-9.66
50	-20.74	-22.92	-24.63	-21.37	-23.40	-9.66
51	-20.91	-23.12	-24.94	-21.51	-23.56	-9.66
52	-20.90	-23.18	-25.10	-21.53	-23.56	-9.66
53	-20.69	-23.09	-25.07	-21.42	-23.37	-9.66
54	-20.23	-22.79	-24.82	-21.11	-22.96	-9.66
55	-19.49	-22.27	-24.33	-20.58	-22.30	-9.66
56	-18.43	-21.48	-23.56	-19.78	-21.37	-9.66
57	-17.06	-20.41	-22.48	-18.68	-20.15	-9.66
58	-15.37	-19.03	-21.09	-17.27	-18.67	-9.66
59	-13.40	-17.37	-19.41	-15.57	-16.93	-9.66
60	-11.20	-15.43	-17.45	-13.60	-14.97	-9.66
61	-8.85	-13.27	-15.28	-11.44	-12.86	-9.66
62	-6.40	-10.95	-12.96	-9.14	-10.65	-9.66
63	-3.93	-8.51	-10.56	-6.77	-8.39	-9.66
64	-1.49	-6.03	-8.12	-4.41	-6.14	-9.66
65	0.88	-3.56	-5.71	-2.10	-3.92	-9.66
66	3.15	-1.12	-3.34	0.13	-1.75	-9.66
67	5.31	1.26	-1.04	2.27	0.35	-9.66
68	7.36	3.54	1.18	4.31	2.38	-9.66
69	9.29	5.73	3.32	6.25	4.33	-9.66
70	11.10	7.80	5.37	8.11	6.21	-9.66
71	12.81	9.77	7.34	9.89	8.01	-9.66
72	14.42	11.63	9.21	11.61	9.71	-9.66
73	15.93	13.39	11.00	13.26	11.34	-9.66
74	17.34	15.05	12.70	14.84	12.87	-9.66
75	18.66	16.62	14.31	16.34	14.31	-9.66
76	19.87	18.09	15.81	17.76	15.65	-9.66
77	20.95	19.46	17.18	19.07	16.89	-9.66
78	21.91	20.73	18.41	20.27	18.00	-9.66
79	22.71	21.87	19.48	21.34	18.97	-9.66
80	23.36	22.87	20.36	22.26	19.80	-9.66
81	23.84	23.72	21.05	23.04	20.47	-9.66
82	24.14	24.39	21.55	23.65	20.98	-9.66
83	24.29	24.87	21.87	24.11	21.33	-9.66
84	24.27	25.16	22.01	24.41	21.52	-9.66
85	24.13	25.25	22.00	24.56	21.57	-9.66
86	23.89	25.15	21.85	24.57	21.50	-9.66
87	23.56	24.88	21.61	24.45	21.31	-9.66
88	23.19	24.45	21.30	24.22	21.04	-9.66
89	22.78	23.90	20.94	23.89	20.72	-9.66
90	22.35	23.26	20.54	23.48	20.35	-9.66
91	21.93	22.57	20.14	23.00	19.97	-9.66
92	21.50	21.87	19.73	22.49	19.61	-9.66
93	21.10	21.21	19.35	21.96	19.27	-9.66
94	20.73	20.61	19.00	21.44	18.98	-9.66
95	20.40	20.10	18.71	20.94	18.75	-9.66
96	20.10	19.71	18.49	20.47	18.60	-9.66
97	19.84	19.44	18.33	20.05	18.52	-9.66
98	19.58	19.27	18.23	19.66	18.50	-9.66
99	19.30	19.17	18.15	19.30	18.51	-9.66
100	18.96	19.12	18.06	18.94	18.51	-9.66
101	18.56	19.06	17.92	18.57	18.47	-9.66
