	Gait LB - IOR 5.c3d	Gait LB - IOR 7.c3d	Gait LB - IOR 7.c3d	Gait LB - IOR 8.c3d	Gait LB - IOR 8.c3d	Static.c3d
	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y
1	2.76	2.87	2.87	3.02	3.45	2.84
2	2.80	2.94	2.88	3.01	3.44	2.84
3	2.88	3.05	2.89	3.05	3.43	2.84
4	2.99	3.19	2.93	3.14	3.44	2.84
5	3.11	3.35	3.00	3.29	3.48	2.84
6	3.24	3.54	3.09	3.49	3.55	2.84
7	3.36	3.73	3.21	3.72	3.65	2.84
8	3.48	3.93	3.35	3.96	3.78	2.84
9	3.58	4.12	3.51	4.18	3.92	2.84
10	3.70	4.31	3.70	4.39	4.08	2.84
11	3.83	4.48	3.90	4.57	4.25	2.84
12	3.97	4.64	4.12	4.71	4.43	2.84
13	4.13	4.76	4.34	4.80	4.59	2.84
14	4.28	4.84	4.53	4.86	4.73	2.84
15	4.41	4.87	4.69	4.87	4.84	2.84
16	4.51	4.86	4.80	4.84	4.90	2.84
17	4.57	4.82	4.86	4.79	4.92	2.84
18	4.59	4.75	4.88	4.72	4.91	2.84
19	4.58	4.66	4.85	4.66	4.86	2.84
20	4.55	4.57	4.80	4.59	4.79	2.84
21	4.50	4.49	4.72	4.52	4.70	2.84
22	4.44	4.40	4.64	4.45	4.61	2.84
23	4.37	4.33	4.55	4.38	4.51	2.84
24	4.31	4.26	4.46	4.30	4.41	2.84
25	4.27	4.19	4.37	4.23	4.32	2.84
26	4.23	4.13	4.28	4.17	4.23	2.84
27	4.20	4.08	4.21	4.12	4.16	2.84
28	4.19	4.03	4.14	4.08	4.09	2.84
29	4.19	3.99	4.08	4.06	4.04	2.84
30	4.19	3.96	4.04	4.05	4.00	2.84
31	4.19	3.94	4.00	4.05	3.98	2.84
32	4.20	3.93	3.98	4.06	3.96	2.84
33	4.21	3.93	3.95	4.08	3.94	2.84
34	4.22	3.95	3.93	4.11	3.94	2.84
35	4.24	3.97	3.92	4.16	3.95	2.84
36	4.27	4.00	3.92	4.21	3.96	2.84
37	4.30	4.04	3.92	4.28	3.99	2.84
38	4.32	4.09	3.94	4.36	4.04	2.84
39	4.34	4.15	3.97	4.44	4.09	2.84
40	4.35	4.22	4.02	4.52	4.16	2.84
41	4.35	4.29	4.07	4.59	4.23	2.84
42	4.33	4.36	4.13	4.63	4.29	2.84
43	4.31	4.42	4.17	4.66	4.35	2.84
44	4.27	4.46	4.21	4.65	4.38	2.84
45	4.22	4.47	4.21	4.62	4.39	2.84
46	4.16	4.44	4.18	4.56	4.36	2.84
47	4.09	4.38	4.13	4.48	4.31	2.84
48	4.02	4.29	4.04	4.37	4.24	2.84
49	3.94	4.18	3.93	4.26	4.15	2.84
50	3.88	4.06	3.81	4.15	4.07	2.84
51	3.84	3.94	3.70	4.04	4.01	2.84
52	3.83	3.85	3.59	3.97	3.99	2.84
53	3.86	3.78	3.51	3.93	3.99	2.84
54	3.89	3.75	3.46	3.93	4.00	2.84
55	3.89	3.73	3.42	3.93	4.00	2.84
56	3.81	3.68	3.36	3.89	3.94	2.84
57	3.57	3.55	3.25	3.73	3.76	2.84
58	3.13	3.27	3.03	3.40	3.41	2.84
59	2.50	2.82	2.64	2.85	2.87	2.84
60	1.73	2.20	2.08	2.12	2.18	2.84
61	0.94	1.48	1.39	1.27	1.41	2.84
62	0.25	0.74	0.64	0.45	0.67	2.84
63	-0.24	0.11	-0.05	-0.23	0.06	2.84
64	-0.48	-0.35	-0.58	-0.66	-0.35	2.84
65	-0.50	-0.58	-0.89	-0.81	-0.54	2.84
66	-0.35	-0.59	-0.97	-0.72	-0.55	2.84
67	-0.11	-0.45	-0.89	-0.46	-0.44	2.84
68	0.15	-0.23	-0.70	-0.10	-0.28	2.84
69	0.38	0.02	-0.47	0.26	-0.12	2.84
70	0.60	0.23	-0.26	0.58	0.02	2.84
71	0.83	0.39	-0.08	0.86	0.14	2.84
72	1.11	0.51	0.09	1.09	0.28	2.84
73	1.47	0.61	0.27	1.31	0.46	2.84
