	Gait LB - IOR 5.c3d	Gait LB - IOR 7.c3d	Gait LB - IOR 7.c3d	Gait LB - IOR 8.c3d	Gait LB - IOR 8.c3d	Static.c3d
	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y
1	-4.78	-3.34	-4.02	-3.00	-2.11	-1.55
2	-4.54	-3.09	-3.87	-2.76	-1.94	-1.55
3	-4.26	-2.79	-3.65	-2.48	-1.73	-1.55
4	-3.93	-2.46	-3.37	-2.18	-1.47	-1.55
5	-3.55	-2.12	-3.03	-1.87	-1.17	-1.55
6	-3.15	-1.77	-2.65	-1.56	-0.84	-1.55
7	-2.73	-1.43	-2.25	-1.26	-0.50	-1.55
8	-2.29	-1.10	-1.86	-0.97	-0.16	-1.55
9	-1.87	-0.79	-1.47	-0.70	0.18	-1.55
10	-1.46	-0.52	-1.11	-0.46	0.51	-1.55
11	-1.09	-0.29	-0.77	-0.27	0.80	-1.55
12	-0.77	-0.13	-0.47	-0.14	1.05	-1.55
13	-0.52	-0.03	-0.22	-0.07	1.23	-1.55
14	-0.36	-0.02	-0.05	-0.08	1.34	-1.55
15	-0.29	-0.09	0.05	-0.17	1.36	-1.55
16	-0.31	-0.24	0.05	-0.31	1.28	-1.55
17	-0.41	-0.45	-0.04	-0.51	1.10	-1.55
18	-0.59	-0.71	-0.21	-0.73	0.84	-1.55
19	-0.83	-0.98	-0.46	-0.98	0.50	-1.55
20	-1.10	-1.27	-0.76	-1.23	0.12	-1.55
21	-1.40	-1.54	-1.09	-1.47	-0.28	-1.55
22	-1.70	-1.79	-1.43	-1.70	-0.70	-1.55
23	-2.00	-2.02	-1.77	-1.92	-1.11	-1.55
24	-2.28	-2.23	-2.09	-2.11	-1.51	-1.55
25	-2.55	-2.40	-2.39	-2.29	-1.88	-1.55
26	-2.79	-2.55	-2.66	-2.45	-2.21	-1.55
27	-3.00	-2.67	-2.91	-2.58	-2.50	-1.55
28	-3.17	-2.76	-3.12	-2.68	-2.75	-1.55
29	-3.31	-2.84	-3.30	-2.75	-2.95	-1.55
30	-3.41	-2.90	-3.46	-2.79	-3.11	-1.55
31	-3.48	-2.94	-3.58	-2.80	-3.24	-1.55
32	-3.51	-2.96	-3.68	-2.78	-3.32	-1.55
33	-3.51	-2.97	-3.75	-2.73	-3.38	-1.55
34	-3.48	-2.96	-3.79	-2.65	-3.40	-1.55
35	-3.43	-2.92	-3.81	-2.55	-3.40	-1.55
36	-3.35	-2.86	-3.82	-2.42	-3.37	-1.55
37	-3.26	-2.77	-3.80	-2.27	-3.32	-1.55
38	-3.15	-2.67	-3.77	-2.10	-3.25	-1.55
39	-3.04	-2.55	-3.72	-1.92	-3.16	-1.55
40	-2.94	-2.41	-3.65	-1.73	-3.05	-1.55
41	-2.85	-2.28	-3.57	-1.54	-2.92	-1.55
42	-2.77	-2.15	-3.47	-1.36	-2.79	-1.55
43	-2.71	-2.03	-3.37	-1.21	-2.65	-1.55
44	-2.69	-1.93	-3.26	-1.08	-2.53	-1.55
45	-2.69	-1.87	-3.16	-0.99	-2.44	-1.55
46	-2.72	-1.85	-3.09	-0.95	-2.38	-1.55
47	-2.78	-1.87	-3.04	-0.95	-2.36	-1.55
48	-2.88	-1.94	-3.03	-1.02	-2.40	-1.55
49	-3.01	-2.07	-3.06	-1.15	-2.49	-1.55
50	-3.18	-2.25	-3.14	-1.35	-2.62	-1.55
51	-3.39	-2.50	-3.27	-1.60	-2.80	-1.55
52	-3.63	-2.81	-3.46	-1.92	-3.01	-1.55
53	-3.91	-3.17	-3.70	-2.28	-3.26	-1.55
54	-4.20	-3.58	-4.00	-2.67	-3.54	-1.55
55	-4.49	-4.00	-4.34	-3.07	-3.85	-1.55
56	-4.78	-4.42	-4.72	-3.45	-4.18	-1.55
57	-5.04	-4.82	-5.11	-3.79	-4.52	-1.55
58	-5.26	-5.19	-5.49	-4.10	-4.87	-1.55
59	-5.46	-5.51	-5.85	-4.35	-5.19	-1.55
60	-5.62	-5.79	-6.17	-4.56	-5.49	-1.55
61	-5.73	-6.01	-6.42	-4.73	-5.75	-1.55
62	-5.79	-6.19	-6.61	-4.84	-5.94	-1.55
63	-5.80	-6.31	-6.71	-4.90	-6.06	-1.55
64	-5.75	-6.37	-6.72	-4.89	-6.10	-1.55
65	-5.63	-6.37	-6.65	-4.82	-6.05	-1.55
66	-5.46	-6.30	-6.50	-4.69	-5.91	-1.55
67	-5.22	-6.17	-6.29	-4.51	-5.70	-1.54
68	-4.95	-5.98	-6.01	-4.27	-5.43	-1.54
69	-4.64	-5.75	-5.69	-3.99	-5.12	-1.54
70	-4.32	-5.48	-5.34	-3.69	-4.77	-1.54
71	-3.99	-5.19	-4.97	-3.38	-4.41	-1.54
72	-3.67	-4.89	-4.62	-3.07	-4.05	-1.54
