	GLOBAL	GLOBAL
	Right Knee Angles_X_RHS_RHS	Right Knee Angles_X_RHS_RHS
	P2D	P2D
	PROCESSED	PROCESSED
ITEM	1	2
1	3.32	3.91
2	4.74	4.05
3	6.15	4.20
4	7.52	4.37
5	8.84	4.52
6	10.13	4.65
7	11.36	4.75
8	12.50	4.81
9	13.50	4.84
10	14.32	4.85
11	14.92	4.84
12	15.28	4.83
13	15.45	4.82
14	15.43	4.82
15	15.28	4.83
16	15.02	4.85
17	14.68	4.86
18	14.27	4.87
19	13.79	4.86
20	13.26	4.85
21	12.68	4.82
22	12.05	4.79
23	11.38	4.74
24	10.70	4.68
25	9.99	4.62
26	9.29	4.56
27	8.59	4.50
28	7.91	4.44
29	7.25	4.41
30	6.64	4.40
31	6.06	4.41
32	5.55	4.44
33	5.09	4.49
34	4.71	4.55
35	4.40	4.60
36	4.18	4.66
37	4.05	4.70
38	4.02	4.73
39	4.08	4.75
40	4.24	4.77
41	4.50	4.78
42	4.86	4.79
43	5.34	4.79
44	5.92	4.79
45	6.63	4.78
46	7.45	4.76
47	8.40	4.73
48	9.47	4.71
49	10.69	4.69
50	12.06	4.67
51	13.59	4.67
52	15.31	4.67
53	17.23	4.67
54	19.35	4.67
55	21.70	4.67
56	24.28	4.66
57	27.07	4.65
58	30.07	4.62
59	33.24	4.59
60	36.54	4.54
61	39.93	4.48
62	43.32	4.43
63	46.62	4.37
64	49.58	4.16
65	52.38	4.02
66	54.85	3.89
67	56.80	3.76
68	58.49	3.72
69	59.78	3.75
70	60.66	3.83
71	61.12	3.99
72	61.27	4.15
73	61.03	4.29
74	60.39	4.49
75	59.52	4.60
76	58.35	4.74
77	56.90	4.90
78	55.16	5.08
79	53.15	5.24
80	50.85	5.38
81	48.25	5.47
82	45.35	5.51
83	42.17	5.47
84	38.72	5.38
85	35.03	5.25
86	31.15	5.09
87	27.13	4.94
88	23.04	4.79
89	18.95	4.64
90	14.98	4.51
91	11.24	4.40
92	7.84	4.30
93	4.90	4.23
94	2.52	4.17
95	0.79	4.11
96	-0.24	4.07
97	-0.58	4.04
98	-0.30	4.03
99	0.49	4.04
100	1.65	4.07
101	3.02	4.11
