	GLOBAL	GLOBAL
	Right Knee Angles_Z_RHS_RHS	Right Knee Angles_Z_RHS_RHS
	P2D	P2D
	PROCESSED	PROCESSED
ITEM	1	2
1	-18.85	7.58
2	-18.89	7.34
3	-18.76	7.09
4	-18.44	6.88
5	-17.95	6.74
6	-17.35	6.69
7	-16.70	6.74
8	-16.08	6.87
9	-15.52	7.03
10	-15.09	7.23
11	-14.84	7.45
12	-14.80	7.69
13	-14.98	7.92
14	-15.32	8.12
15	-15.76	8.25
16	-16.22	8.31
17	-16.60	8.30
18	-16.87	8.27
19	-17.00	8.25
20	-17.02	8.28
21	-16.95	8.35
22	-16.87	8.46
23	-16.80	8.59
24	-16.79	8.74
25	-16.86	8.88
26	-16.99	9.01
27	-17.20	9.13
28	-17.45	9.22
29	-17.71	9.28
30	-17.98	9.31
31	-18.21	9.32
32	-18.40	9.31
33	-18.55	9.27
34	-18.64	9.21
35	-18.67	9.14
36	-18.65	9.08
37	-18.57	9.03
38	-18.46	8.98
39	-18.31	8.94
40	-18.13	8.89
41	-17.91	8.85
42	-17.64	8.82
43	-17.32	8.82
44	-16.97	8.85
45	-16.61	8.91
46	-16.25	9.02
47	-15.93	9.15
48	-15.68	9.30
49	-15.52	9.45
50	-15.48	9.59
51	-15.59	9.73
52	-15.87	9.85
53	-16.35	9.98
54	-17.02	10.12
55	-17.87	10.28
56	-18.86	10.46
57	-19.92	10.64
58	-20.95	10.80
59	-21.85	10.91
60	-22.50	10.95
61	-22.84	10.88
62	-22.82	10.69
63	-22.45	10.42
64	-22.00	10.20
65	-21.30	9.86
66	-20.56	9.58
67	-19.97	9.47
68	-19.44	9.41
69	-19.06	9.44
70	-18.84	9.51
71	-18.81	9.62
72	-18.82	9.71
73	-18.97	9.74
74	-19.24	9.75
75	-19.50	9.61
76	-19.75	9.44
77	-20.00	9.26
78	-20.23	9.08
79	-20.48	8.91
80	-20.74	8.79
81	-21.05	8.70
82	-21.41	8.63
83	-21.80	8.56
84	-22.18	8.48
85	-22.49	8.38
86	-22.69	8.25
87	-22.74	8.08
88	-22.60	7.87
89	-22.26	7.65
90	-21.75	7.42
91	-21.12	7.23
92	-20.44	7.15
93	-19.77	7.21
94	-19.20	7.42
95	-18.75	7.71
96	-18.46	8.01
97	-18.32	8.24
98	-18.31	8.35
99	-18.39	8.33
100	-18.52	8.17
101	-18.63	7.90
