	GLOBAL	GLOBAL
	Right Pelvic Angles_Z_RHS_RHS	Right Pelvic Angles_Z_RHS_RHS
	P2D	P2D
	PROCESSED	PROCESSED
ITEM	1	2
1	3.90	2.10
2	3.89	2.13
3	3.82	2.15
4	3.71	2.17
5	3.56	2.18
6	3.38	2.19
7	3.20	2.20
8	3.03	2.20
9	2.88	2.20
10	2.77	2.20
11	2.71	2.20
12	2.71	2.19
13	2.77	2.17
14	2.87	2.15
15	3.00	2.11
16	3.14	2.07
17	3.28	2.01
18	3.39	1.95
19	3.47	1.88
20	3.51	1.82
21	3.48	1.75
22	3.41	1.69
23	3.28	1.63
24	3.10	1.59
25	2.89	1.55
26	2.64	1.51
27	2.37	1.49
28	2.08	1.47
29	1.78	1.46
30	1.48	1.45
31	1.17	1.46
32	0.86	1.47
33	0.55	1.50
34	0.23	1.52
35	-0.09	1.56
36	-0.42	1.60
37	-0.76	1.65
38	-1.12	1.70
39	-1.49	1.75
40	-1.87	1.80
41	-2.26	1.85
42	-2.65	1.90
43	-3.03	1.94
44	-3.40	1.97
45	-3.74	1.99
46	-4.05	2.00
47	-4.31	2.00
48	-4.52	2.00
49	-4.69	2.00
50	-4.80	2.01
51	-4.87	2.03
52	-4.89	2.06
53	-4.88	2.11
54	-4.83	2.17
55	-4.76	2.24
56	-4.68	2.32
57	-4.58	2.39
58	-4.49	2.46
59	-4.42	2.51
60	-4.37	2.54
61	-4.35	2.57
62	-4.38	2.58
63	-4.43	2.59
64	-4.52	2.60
65	-4.63	2.60
66	-4.74	2.61
67	-4.84	2.60
68	-4.92	2.59
69	-4.97	2.57
70	-4.97	2.54
71	-4.93	2.49
72	-4.84	2.43
73	-4.71	2.36
74	-4.53	2.29
75	-4.32	2.21
76	-4.09	2.14
77	-3.82	2.09
78	-3.54	2.04
79	-3.25	2.00
80	-2.95	1.97
81	-2.64	1.94
82	-2.32	1.91
83	-2.00	1.88
84	-1.68	1.84
85	-1.35	1.80
86	-1.01	1.76
87	-0.66	1.72
88	-0.30	1.68
89	0.08	1.64
90	0.47	1.61
91	0.87	1.59
92	1.28	1.59
93	1.69	1.60
94	2.08	1.62
95	2.45	1.65
96	2.79	1.69
97	3.07	1.73
98	3.31	1.77
99	3.48	1.81
100	3.60	1.84
101	3.67	1.86
