	Gait FB - IOR 2.c3d	Gait FB - IOR 3.c3d	Gait FB - IOR 4.c3d	Static.c3d
	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X
1	-0.3	-0.0	1.3	7.4
2	-1.4	-1.0	0.2	7.4
3	-2.6	-2.2	-0.9	7.4
4	-3.7	-3.3	-1.9	7.4
5	-4.4	-4.1	-2.7	7.4
6	-4.7	-4.4	-3.0	7.4
7	-4.4	-4.1	-2.9	7.4
8	-3.7	-3.4	-2.4	7.4
9	-2.7	-2.4	-1.5	7.4
10	-1.5	-1.1	-0.5	7.4
11	-0.3	0.2	0.5	7.4
12	0.9	1.5	1.5	7.4
13	1.9	2.6	2.4	7.4
14	2.8	3.6	3.3	7.4
15	3.5	4.5	4.0	7.4
16	4.2	5.3	4.6	7.4
17	4.7	5.9	5.2	7.4
18	5.2	6.5	5.7	7.4
19	5.5	7.0	6.1	7.4
20	5.8	7.4	6.4	7.4
21	6.0	7.7	6.7	7.4
22	6.1	8.0	7.0	7.4
23	6.2	8.3	7.2	7.4
24	6.3	8.5	7.4	7.4
25	6.4	8.7	7.6	7.4
26	6.5	8.9	7.8	7.4
27	6.7	9.1	8.0	7.4
28	6.9	9.2	8.2	7.4
29	7.3	9.4	8.5	7.4
30	7.6	9.6	8.7	7.4
31	8.0	9.8	9.0	7.4
32	8.4	9.9	9.3	7.4
33	8.8	10.1	9.6	7.4
34	9.3	10.3	9.9	7.4
35	9.7	10.4	10.3	7.4
36	10.1	10.6	10.6	7.4
37	10.4	10.7	10.9	7.4
38	10.7	10.8	11.1	7.4
39	10.9	11.0	11.3	7.4
40	11.1	11.1	11.5	7.4
41	11.2	11.3	11.7	7.4
42	11.3	11.5	11.8	7.4
43	11.4	11.6	11.9	7.4
44	11.5	11.8	12.0	7.4
45	11.5	12.0	12.0	7.4
46	11.5	12.1	12.0	7.4
47	11.4	12.2	11.9	7.4
48	11.3	12.2	11.7	7.4
49	11.1	12.1	11.4	7.4
50	10.7	11.8	11.0	7.4
51	10.1	11.3	10.4	7.4
52	9.4	10.6	9.5	7.4
53	8.4	9.6	8.4	7.4
54	7.0	8.4	7.1	7.4
55	5.4	6.7	5.3	7.4
56	3.3	4.7	3.2	7.4
57	0.8	2.2	0.7	7.4
58	-2.1	-0.6	-2.1	7.4
59	-5.2	-3.8	-5.3	7.4
60	-8.6	-7.1	-8.6	7.4
61	-11.8	-10.3	-11.7	7.4
62	-14.6	-13.2	-14.4	7.4
63	-16.7	-15.3	-16.5	7.4
64	-18.0	-16.7	-17.7	7.4
65	-18.3	-17.1	-18.1	7.4
66	-17.9	-16.7	-17.7	7.4
67	-16.8	-15.7	-16.7	7.4
68	-15.3	-14.2	-15.3	7.4
69	-13.6	-12.4	-13.6	7.4
70	-11.8	-10.6	-11.8	7.4
71	-9.9	-8.6	-9.8	7.4
72	-8.1	-6.7	-7.9	7.4
73	-6.4	-4.9	-6.0	7.4
74	-4.7	-3.2	-4.2	7.4
75	-3.1	-1.6	-2.5	7.4
76	-1.7	-0.2	-1.1	7.4
77	-0.5	0.9	0.1	7.4
78	0.5	2.0	1.1	7.4
79	1.4	2.8	1.9	7.4
80	2.1	3.5	2.5	7.4
81	2.6	4.0	3.0	7.4
82	3.0	4.5	3.4	7.4
83	3.2	4.8	3.6	7.4
84	3.3	5.0	3.7	7.4
85	3.3	5.1	3.8	7.4
86	3.2	5.2	3.8	7.4
87	3.0	5.1	3.7	7.4
88	2.7	5.0	3.6	7.4
89	2.5	4.8	3.4	7.4
90	2.2	4.6	3.3	7.4
91	2.0	4.3	3.1	7.4
92	1.9	4.1	2.9	7.4
93	1.7	3.8	2.8	7.4
94	1.7	3.5	2.6	7.4
95	1.6	3.2	2.5	7.4
96	1.7	3.0	2.4	7.4
97	1.7	2.8	2.2	7.4
98	1.7	2.4	1.8	7.4
99	1.5	1.9	1.3	7.4
100	1.0	1.1	0.5	7.4
101	0.2	-0.0	-0.5	7.4
