	Gait LB - IOR 5.c3d	Gait LB - IOR 5.c3d	Gait LB - IOR 6.c3d	Gait LB - IOR 7.c3d	Gait LB - IOR 8.c3d	Static.c3d
	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y
1	3.19	4.25	3.46	1.47	2.95	0.46
2	2.24	3.84	3.02	1.15	2.59	0.46
3	1.29	3.32	2.58	0.83	2.19	0.46
4	0.36	2.69	2.16	0.50	1.76	0.46
5	-0.56	1.93	1.71	0.12	1.25	0.46
6	-1.48	1.04	1.18	-0.37	0.62	0.46
7	-2.36	0.05	0.54	-0.99	-0.14	0.46
8	-3.15	-1.00	-0.23	-1.70	-1.03	0.46
9	-3.82	-1.99	-1.07	-2.46	-1.96	0.46
10	-4.31	-2.86	-1.90	-3.19	-2.87	0.46
11	-4.62	-3.52	-2.64	-3.83	-3.66	0.46
12	-4.78	-3.97	-3.25	-4.32	-4.28	0.46
13	-4.81	-4.22	-3.68	-4.67	-4.71	0.46
14	-4.76	-4.31	-3.94	-4.87	-4.96	0.46
15	-4.64	-4.29	-4.07	-4.97	-5.07	0.46
16	-4.47	-4.21	-4.08	-4.98	-5.06	0.46
17	-4.27	-4.10	-4.02	-4.94	-4.99	0.46
18	-4.04	-3.99	-3.91	-4.88	-4.87	0.46
19	-3.79	-3.89	-3.79	-4.80	-4.73	0.46
20	-3.54	-3.80	-3.67	-4.71	-4.59	0.46
21	-3.29	-3.72	-3.57	-4.64	-4.45	0.46
22	-3.05	-3.64	-3.49	-4.57	-4.32	0.46
23	-2.83	-3.57	-3.44	-4.51	-4.19	0.46
