	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Static.c3d
	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z
1	9.92	9.28	5.64
2	9.43	8.82	5.64
3	8.81	8.27	5.64
4	8.10	7.68	5.64
5	7.33	7.04	5.64
6	6.54	6.38	5.64
7	5.77	5.70	5.64
8	5.06	5.00	5.64
9	4.46	4.32	5.64
10	3.99	3.71	5.64
11	3.67	3.22	5.64
12	3.50	2.90	5.64
13	3.44	2.75	5.64
14	3.47	2.75	5.64
15	3.53	2.88	5.64
16	3.63	3.09	5.64
17	3.73	3.33	5.64
18	3.83	3.57	5.64
19	3.90	3.79	5.64
20	3.96	3.96	5.64
21	4.00	4.09	5.64
22	4.02	4.18	5.64
23	4.04	4.24	5.64
24	4.04	4.27	5.64
25	4.01	4.30	5.64
26	3.96	4.32	5.64
27	3.90	4.34	5.64
28	3.83	4.38	5.64
29	3.80	4.44	5.64
30	3.81	4.51	5.64
31	3.87	4.58	5.64
32	3.94	4.66	5.64
33	4.00	4.71	5.64
34	4.02	4.75	5.64
35	4.02	4.77	5.64
36	4.03	4.81	5.64
37	4.06	4.87	5.64
38	4.13	4.95	5.64
39	4.20	5.03	5.64
40	4.26	5.06	5.64
41	4.30	5.04	5.64
42	4.29	4.97	5.64
43	4.23	4.87	5.64
44	4.14	4.76	5.64
45	4.02	4.68	5.64
46	3.93	4.65	5.64
47	3.89	4.67	5.64
48	3.92	4.74	5.64
49	4.04	4.88	5.64
50	4.26	5.09	5.64
51	4.58	5.37	5.64
52	4.99	5.74	5.64
53	5.49	6.21	5.64
54	6.09	6.79	5.64
55	6.79	7.50	5.64
56	7.63	8.36	5.64
57	8.63	9.40	5.64
58	9.79	10.62	5.64
59	11.08	11.97	5.64
60	12.38	13.35	5.64
61	13.54	14.59	5.64
62	14.36	15.50	5.64
63	14.69	15.91	5.64
64	14.47	15.75	5.64
65	13.76	15.07	5.64
66	12.73	14.01	5.64
67	11.53	12.77	5.64
68	10.34	11.54	5.64
69	9.26	10.44	5.64
70	8.38	9.55	5.64
71	7.77	8.92	5.64
72	7.45	8.55	5.64
73	7.42	8.44	5.64
74	7.60	8.53	5.64
75	7.91	8.78	5.64
76	8.25	9.10	5.64
77	8.53	9.40	5.64
78	8.67	9.59	5.64
79	8.64	9.60	5.64
80	8.43	9.39	5.64
81	8.07	8.99	5.64
82	7.61	8.50	5.64
83	7.12	8.03	5.65
84	6.67	7.65	5.65
85	6.37	7.40	5.65
86	6.28	7.32	5.65
87	6.47	7.45	5.65
88	6.96	7.80	5.65
89	7.67	8.31	5.65
90	8.47	8.89	5.65
91	9.22	9.44	5.65
92	9.79	9.86	5.65
93	10.15	10.10	5.65
94	10.31	10.15	5.65
95	10.34	10.04	5.65
96	10.31	9.81	5.65
97	10.23	9.49	5.65
98	10.11	9.15	5.65
99	9.93	8.84	5.65
100	9.66	8.61	5.65
101	9.28	8.47	5.65
