	Gait LB - IOR 5.c3d	Gait LB - IOR 5.c3d	Gait LB - IOR 6.c3d	Gait LB - IOR 7.c3d	Gait LB - IOR 8.c3d	Static.c3d
	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X
1	19.39	20.09	19.28	19.63	19.59	-0.00
2	16.46	17.78	16.84	17.23	17.34	-0.00
3	13.50	15.25	14.28	14.70	14.91	-0.00
4	10.70	12.66	11.78	12.18	12.45	-0.00
5	8.21	10.16	9.47	9.83	10.08	-0.00
6	6.14	7.89	7.43	7.74	7.91	-0.00
7	4.54	5.95	5.70	5.96	6.01	-0.00
8	3.38	4.39	4.29	4.53	4.42	-0.00
9	2.62	3.21	3.19	3.43	3.16	-0.00
10	2.17	2.39	2.36	2.63	2.20	-0.00
11	1.95	1.88	1.77	2.09	1.52	-0.00
12	1.86	1.59	1.37	1.75	1.08	-0.00
13	1.86	1.46	1.12	1.55	0.80	-0.00
14	1.90	1.43	0.97	1.45	0.65	-0.00
15	1.94	1.44	0.89	1.39	0.58	-0.00
16	1.98	1.47	0.85	1.36	0.55	-0.00
17	2.02	1.49	0.84	1.34	0.53	-0.00
18	2.05	1.50	0.83	1.31	0.52	-0.00
19	2.08	1.48	0.82	1.26	0.50	-0.00
20	2.11	1.44	0.80	1.21	0.47	-0.00
21	2.13	1.39	0.77	1.14	0.44	-0.00
22	2.14	1.33	0.73	1.06	0.39	-0.00
23	2.15	1.26	0.68	0.98	0.34	-0.00
24	2.14	1.20	0.61	0.90	0.29	-0.00
25	2.12	1.13	0.55	0.82	0.23	-0.00
26	2.08	1.05	0.48	0.75	0.17	-0.00
27	2.03	0.97	0.41	0.68	0.11	-0.00
28	1.96	0.88	0.35	0.61	0.04	-0.00
29	1.86	0.76	0.29	0.54	-0.03	-0.00
30	1.74	0.63	0.24	0.48	-0.11	-0.00
31	1.60	0.48	0.19	0.41	-0.19	-0.00
32	1.44	0.31	0.14	0.33	-0.28	-0.00
33	1.26	0.13	0.08	0.24	-0.37	-0.00
34	1.07	-0.06	0.02	0.13	-0.47	-0.00
35	0.87	-0.27	-0.06	-0.00	-0.58	-0.00
36	0.66	-0.50	-0.16	-0.17	-0.70	-0.00
37	0.43	-0.76	-0.28	-0.37	-0.85	-0.00
38	0.19	-1.06	-0.43	-0.61	-1.03	-0.00
39	-0.07	-1.40	-0.62	-0.92	-1.25	-0.00
40	-0.37	-1.81	-0.86	-1.29	-1.52	-0.00
41	-0.73	-2.29	-1.15	-1.74	-1.87	-0.00
42	-1.16	-2.86	-1.50	-2.29	-2.30	-0.00
43	-1.69	-3.54	-1.94	-2.94	-2.83	-0.00
44	-2.32	-4.33	-2.47	-3.72	-3.48	-0.00
45	-3.09	-5.26	-3.12	-4.63	-4.26	-0.00
46	-4.00	-6.32	-3.89	-5.70	-5.18	-0.00
47	-5.07	-7.55	-4.80	-6.94	-6.26	-0.00
48	-6.34	-8.96	-5.88	-8.38	-7.50	-0.00
49	-7.83	-10.58	-7.14	-10.06	-8.94	-0.00
50	-9.58	-12.45	-8.61	-12.01	-10.59	-0.00
51	-11.63	-14.61	-10.35	-14.31	-12.51	0.00
52	-14.04	-17.11	-12.39	-16.99	-14.73	0.00
53	-16.86	-20.02	-14.79	-20.12	-17.32	0.00
54	-20.12	-23.38	-17.60	-23.73	-20.35	0.00
55	-23.85	-27.22	-20.86	-27.83	-23.85	0.00
56	-28.04	-31.55	-24.59	-32.38	-27.87	0.00
57	-32.63	-36.31	-28.78	-37.26	-32.38	0.00
58	-37.48	-41.35	-33.36	-42.28	-37.31	0.00
59	-42.40	-46.46	-38.21	-47.18	-42.48	0.00
60	-47.14	-51.35	-43.12	-51.70	-47.64	0.00
61	-51.44	-55.72	-47.84	-55.57	-52.48	0.00
62	-55.04	-59.33	-52.09	-58.64	-56.70	0.00
63	-57.79	-62.01	-55.64	-60.80	-60.08	0.00
64	-59.62	-63.68	-58.31	-62.05	-62.45	0.00
65	-60.52	-64.36	-60.01	-62.44	-63.79	0.00
66	-60.58	-64.15	-60.75	-62.04	-64.14	0.00
67	-59.90	-63.18	-60.59	-60.92	-63.58	0.00
68	-58.58	-61.56	-59.63	-59.17	-62.25	0.00
69	-56.73	-59.40	-57.98	-56.88	-60.26	0.00
70	-54.41	-56.80	-55.75	-54.13	-57.74	0.00
71	-51.72	-53.81	-53.02	-50.99	-54.78	0.00
72	-48.71	-50.52	-49.89	-47.55	-51.47	0.00
73	-45.45	-46.97	-46.44	-43.90	-47.89	0.00
74	-42.01	-43.24	-42.75	-40.10	-44.13	0.00
75	-38.45	-39.38	-38.90	-36.22	-40.26	0.00
76	-34.79	-35.43	-34.97	-32.32	-36.32	0.00
77	-31.06	-31.42	-31.00	-28.43	-32.34	0.00
78	-27.28	-27.36	-27.04	-24.58	-28.36	0.00
79	-23.45	-23.28	-23.11	-20.82	-24.39	0.00
80	-19.57	-19.19	-19.24	-17.16	-20.45	0.00
81	-15.66	-15.12	-15.47	-13.65	-16.54	0.00
82	-11.73	-11.11	-11.85	-10.33	-12.69	0.00
83	-7.80	-7.19	-8.41	-7.23	-8.93	0.00
84	-3.89	-3.39	-5.21	-4.36	-5.26	0.00
85	-0.06	0.26	-2.29	-1.73	-1.71	0.00
86	3.66	3.74	0.36	0.72	1.70	0.00
87	7.22	7.04	2.76	3.04	4.95	0.00
88	10.57	10.14	4.98	5.29	8.01	0.00
89	13.67	13.03	7.10	7.54	10.86	0.00
90	16.47	15.70	9.22	9.81	13.47	0.00
91	18.95	18.09	11.39	12.08	15.83	0.00
92	21.07	20.16	13.60	14.29	17.90	0.00
93	22.79	21.83	15.80	16.35	19.66	0.00
94	24.10	23.03	17.90	18.14	21.07	0.00
95	24.95	23.72	19.75	19.57	22.08	0.00
96	25.33	23.86	21.24	20.53	22.64	0.00
97	25.22	23.44	22.24	20.97	22.69	0.00
98	24.62	22.48	22.67	20.85	22.22	0.00
99	23.55	21.01	22.49	20.18	21.23	0.00
100	22.02	19.10	21.70	18.98	19.75	0.00
101	20.09	16.83	20.34	17.35	17.85	0.00
