	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Static.c3d
	Right Foot Progression	Right Foot Progression	Right Foot Progression
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z
1	-19.13	-15.87	-22.87
2	-19.17	-15.95	-22.87
3	-19.21	-16.05	-22.87
4	-19.19	-16.12	-22.87
5	-19.08	-16.09	-22.87
6	-18.83	-15.90	-22.87
7	-18.44	-15.55	-22.87
8	-17.94	-15.07	-22.87
9	-17.42	-14.57	-22.87
10	-16.95	-14.10	-22.87
11	-16.57	-13.73	-22.87
12	-16.30	-13.44	-22.87
13	-16.12	-13.24	-22.87
14	-16.01	-13.11	-22.87
15	-15.94	-13.03	-22.87
16	-15.91	-13.00	-22.87
17	-15.91	-13.00	-22.87
18	-15.92	-13.02	-22.87
19	-15.95	-13.06	-22.87
20	-15.99	-13.11	-22.87
21	-16.04	-13.18	-22.87
22	-16.11	-13.26	-22.87
23	-16.19	-13.35	-22.87
24	-16.27	-13.44	-22.87
25	-16.37	-13.54	-22.87
26	-16.47	-13.63	-22.87
27	-16.57	-13.71	-22.87
28	-16.68	-13.78	-22.87
29	-16.78	-13.84	-22.87
30	-16.88	-13.89	-22.87
31	-16.97	-13.94	-22.87
32	-17.05	-14.00	-22.87
33	-17.12	-14.06	-22.87
34	-17.18	-14.12	-22.87
35	-17.23	-14.18	-22.87
36	-17.27	-14.24	-22.87
37	-17.32	-14.29	-22.87
38	-17.37	-14.33	-22.87
39	-17.43	-14.36	-22.87
40	-17.49	-14.39	-22.87
41	-17.55	-14.41	-22.87
42	-17.62	-14.43	-22.87
43	-17.68	-14.45	-22.87
44	-17.74	-14.47	-22.87
45	-17.80	-14.47	-22.87
46	-17.83	-14.44	-22.87
47	-17.84	-14.39	-22.87
48	-17.79	-14.29	-22.87
49	-17.69	-14.15	-22.87
50	-17.51	-13.97	-22.87
51	-17.26	-13.76	-22.87
52	-16.95	-13.54	-22.87
53	-16.61	-13.33	-22.87
54	-16.23	-13.12	-22.87
55	-15.84	-12.94	-22.87
56	-15.43	-12.77	-22.87
57	-14.99	-12.60	-22.87
58	-14.52	-12.40	-22.87
59	-13.98	-12.16	-22.87
60	-13.38	-11.87	-22.87
61	-12.78	-11.55	-22.87
62	-12.26	-11.30	-22.87
63	-11.96	-11.22	-22.87
64	-12.03	-11.46	-22.87
65	-12.53	-12.09	-22.87
66	-13.46	-13.10	-22.87
67	-14.70	-14.40	-22.87
68	-16.11	-15.83	-22.87
69	-17.52	-17.25	-22.87
70	-18.80	-18.51	-22.87
71	-19.85	-19.55	-22.87
72	-20.63	-20.30	-22.87
73	-21.11	-20.77	-22.87
74	-21.33	-20.96	-22.87
75	-21.33	-20.91	-22.87
76	-21.16	-20.69	-22.87
77	-20.89	-20.34	-22.87
78	-20.54	-19.91	-22.87
79	-20.18	-19.45	-22.87
80	-19.80	-18.98	-22.87
81	-19.42	-18.52	-22.87
82	-19.02	-18.07	-22.87
83	-18.59	-17.60	-22.87
84	-18.08	-17.09	-22.87
85	-17.47	-16.51	-22.87
86	-16.76	-15.85	-22.87
87	-15.97	-15.10	-22.87
88	-15.15	-14.30	-22.87
89	-14.40	-13.51	-22.87
90	-13.79	-12.79	-22.87
91	-13.40	-12.20	-22.87
92	-13.27	-11.80	-22.87
93	-13.40	-11.64	-22.87
94	-13.73	-11.74	-22.87
95	-14.19	-12.07	-22.87
96	-14.69	-12.58	-22.87
97	-15.13	-13.17	-22.87
98	-15.47	-13.75	-22.87
99	-15.68	-14.21	-22.87
100	-15.80	-14.53	-22.87
101	-15.87	-14.68	-22.87
