	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Static.c3d
	Right Hip Angles	Right Hip Angles	Right Hip Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X
1	38.77	35.08	54.88
2	39.07	35.35	54.88
3	39.32	35.54	54.88
4	39.55	35.66	54.88
5	39.79	35.70	54.88
6	40.05	35.67	54.88
7	40.30	35.56	54.88
8	40.50	35.36	54.88
9	40.57	35.06	54.88
10	40.47	34.64	54.88
11	40.18	34.11	54.88
12	39.69	33.47	54.88
13	39.02	32.73	54.88
14	38.19	31.90	54.88
15	37.24	31.01	54.88
16	36.17	30.05	54.88
17	35.02	29.04	54.88
18	33.79	27.99	54.88
19	32.50	26.89	54.88
20	31.16	25.75	54.88
21	29.78	24.57	54.88
22	28.35	23.34	54.88
23	26.88	22.07	54.88
24	25.38	20.75	54.88
25	23.86	19.40	54.89
26	22.32	18.02	54.89
27	20.78	16.63	54.89
28	19.26	15.24	54.89
29	17.77	13.87	54.89
30	16.31	12.53	54.89
31	14.88	11.20	54.89
32	13.48	9.91	54.89
33	12.09	8.62	54.89
34	10.70	7.35	54.89
35	9.32	6.08	54.89
36	7.94	4.82	54.89
37	6.57	3.59	54.89
38	5.22	2.41	54.89
39	3.90	1.30	54.89
40	2.65	0.27	54.89
41	1.48	-0.66	54.89
42	0.41	-1.50	54.89
43	-0.54	-2.24	54.89
44	-1.38	-2.92	54.89
45	-2.13	-3.54	54.89
46	-2.81	-4.12	54.89
47	-3.44	-4.68	54.89
48	-4.03	-5.23	54.89
49	-4.61	-5.76	54.89
50	-5.18	-6.27	54.89
51	-5.72	-6.72	54.89
52	-6.20	-7.08	54.89
53	-6.59	-7.33	54.89
54	-6.83	-7.41	54.89
55	-6.88	-7.31	54.89
56	-6.71	-6.99	54.89
57	-6.30	-6.45	54.89
58	-5.63	-5.65	54.89
59	-4.71	-4.61	54.89
60	-3.56	-3.34	54.89
61	-2.18	-1.85	54.89
62	-0.62	-0.18	54.89
63	1.09	1.63	54.89
64	2.93	3.54	54.89
65	4.85	5.54	54.89
66	6.83	7.57	54.89
67	8.85	9.62	54.89
68	10.87	11.67	54.89
69	12.86	13.69	54.89
70	14.79	15.65	54.89
71	16.63	17.53	54.89
72	18.36	19.30	54.89
73	19.97	20.92	54.89
74	21.47	22.41	54.89
75	22.87	23.77	54.89
76	24.20	25.01	54.89
77	25.48	26.17	54.89
78	26.71	27.26	54.89
79	27.90	28.29	54.89
80	29.03	29.25	54.89
81	30.11	30.14	54.89
82	31.10	30.94	54.89
83	31.99	31.63	54.89
84	32.75	32.19	54.89
85	33.35	32.60	54.89
86	33.78	32.84	54.89
87	34.04	32.90	54.89
88	34.14	32.81	54.89
89	34.12	32.58	54.89
90	33.99	32.26	54.89
91	33.80	31.89	54.89
92	33.59	31.53	54.89
93	33.42	31.24	54.89
94	33.33	31.05	54.89
95	33.33	31.01	54.89
96	33.44	31.13	54.89
97	33.66	31.39	54.89
98	33.97	31.77	54.89
99	34.35	32.20	54.89
100	34.73	32.63	54.89
101	35.08	33.01	54.89
