	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Static.c3d
	Right Hip Angles	Right Hip Angles	Right Hip Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z
1	-2.72	2.66	1.57
2	-2.26	2.63	1.57
3	-1.64	2.72	1.57
4	-0.89	2.96	1.57
5	-0.03	3.38	1.57
6	0.89	3.96	1.57
7	1.79	4.67	1.57
8	2.55	5.40	1.57
9	3.06	6.05	1.57
10	3.25	6.52	1.57
11	3.14	6.78	1.57
12	2.79	6.85	1.57
13	2.32	6.79	1.57
14	1.88	6.66	1.57
15	1.60	6.54	1.57
16	1.52	6.47	1.57
17	1.67	6.48	1.57
18	1.99	6.58	1.58
19	2.42	6.76	1.58
20	2.95	6.99	1.58
21	3.52	7.24	1.58
22	4.15	7.53	1.58
23	4.84	7.88	1.58
24	5.60	8.32	1.58
25	6.44	8.87	1.58
26	7.33	9.53	1.58
27	8.23	10.27	1.58
28	9.10	11.03	1.58
29	9.87	11.76	1.58
30	10.49	12.39	1.58
31	10.93	12.86	1.58
32	11.19	13.13	1.58
33	11.27	13.19	1.58
34	11.22	13.09	1.58
35	11.08	12.88	1.58
36	10.87	12.62	1.58
37	10.62	12.32	1.58
38	10.35	12.00	1.58
39	10.09	11.69	1.58
40	9.86	11.42	1.58
41	9.69	11.22	1.58
42	9.60	11.12	1.58
43	9.61	11.13	1.58
44	9.72	11.23	1.58
45	9.92	11.41	1.58
46	10.17	11.59	1.58
47	10.41	11.73	1.58
48	10.57	11.75	1.58
49	10.59	11.62	1.58
50	10.44	11.34	1.58
51	10.13	10.94	1.58
52	9.71	10.47	1.58
53	9.24	9.99	1.58
54	8.79	9.57	1.58
55	8.42	9.25	1.57
56	8.16	9.04	1.57
57	8.00	8.92	1.57
58	7.93	8.84	1.57
59	7.89	8.73	1.57
60	7.81	8.54	1.57
61	7.65	8.21	1.57
62	7.37	7.71	1.57
63	7.00	7.06	1.57
64	6.58	6.31	1.57
65	6.16	5.56	1.57
66	5.80	4.89	1.57
67	5.51	4.39	1.57
68	5.28	4.06	1.57
69	5.09	3.83	1.57
70	4.92	3.68	1.57
71	4.77	3.61	1.57
72	4.65	3.61	1.57
73	4.57	3.66	1.57
74	4.53	3.74	1.57
75	4.52	3.80	1.57
76	4.51	3.84	1.57
77	4.51	3.83	1.57
78	4.53	3.78	1.57
79	4.58	3.74	1.57
80	4.68	3.72	1.57
81	4.85	3.77	1.57
82	5.10	3.91	1.57
83	5.44	4.16	1.57
84	5.87	4.56	1.57
85	6.36	5.10	1.56
86	6.90	5.74	1.56
87	7.41	6.41	1.56
88	7.82	7.03	1.56
89	8.04	7.49	1.56
90	8.00	7.69	1.56
91	7.68	7.61	1.56
92	7.10	7.23	1.56
93	6.33	6.62	1.56
94	5.49	5.90	1.56
95	4.70	5.18	1.56
96	4.03	4.56	1.56
97	3.53	4.08	1.56
98	3.18	3.72	1.56
99	2.93	3.42	1.56
100	2.76	3.14	1.56
101	2.66	2.85	1.56
