	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Static.c3d
	Right Knee Angles	Right Knee Angles	Right Knee Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y
1	1.32	1.11	3.59
2	1.52	1.23	3.59
3	1.76	1.36	3.59
4	2.06	1.51	3.59
5	2.41	1.68	3.59
6	2.81	1.89	3.59
7	3.25	2.13	3.59
8	3.71	2.40	3.59
9	4.15	2.66	3.59
10	4.50	2.89	3.59
11	4.72	3.08	3.59
12	4.81	3.21	3.59
13	4.79	3.30	3.59
14	4.72	3.38	3.59
15	4.67	3.46	3.59
16	4.65	3.55	3.59
17	4.69	3.63	3.59
18	4.74	3.71	3.59
19	4.79	3.77	3.59
20	4.81	3.78	3.59
21	4.78	3.74	3.59
22	4.71	3.66	3.59
23	4.60	3.54	3.59
24	4.47	3.42	3.59
25	4.33	3.29	3.59
26	4.18	3.18	3.59
27	4.03	3.07	3.59
28	3.87	2.97	3.59
29	3.71	2.88	3.59
30	3.54	2.78	3.59
31	3.36	2.68	3.59
32	3.18	2.57	3.59
33	3.00	2.46	3.59
34	2.83	2.36	3.58
35	2.69	2.28	3.58
36	2.57	2.24	3.58
37	2.47	2.23	3.58
38	2.40	2.23	3.58
39	2.34	2.25	3.58
40	2.29	2.27	3.58
41	2.24	2.28	3.58
42	2.20	2.27	3.58
43	2.16	2.26	3.58
44	2.12	2.24	3.58
45	2.09	2.22	3.58
46	2.08	2.21	3.58
47	2.07	2.20	3.58
48	2.08	2.19	3.58
49	2.08	2.18	3.58
50	2.08	2.16	3.58
51	2.05	2.12	3.58
52	2.01	2.08	3.58
53	1.96	2.03	3.58
54	1.91	2.00	3.58
55	1.89	2.02	3.58
56	1.93	2.10	3.58
57	2.04	2.29	3.58
58	2.25	2.57	3.58
59	2.53	2.92	3.58
60	2.84	3.30	3.58
61	3.10	3.61	3.58
62	3.24	3.77	3.58
63	3.23	3.75	3.58
64	3.07	3.53	3.58
65	2.81	3.16	3.58
66	2.52	2.76	3.58
67	2.25	2.41	3.58
68	2.05	2.14	3.58
69	1.93	1.97	3.58
70	1.88	1.88	3.58
71	1.92	1.89	3.58
72	2.03	2.00	3.58
73	2.22	2.18	3.58
74	2.44	2.41	3.58
75	2.66	2.62	3.58
76	2.84	2.78	3.58
77	2.96	2.84	3.58
78	3.02	2.81	3.57
79	3.03	2.70	3.57
80	3.00	2.54	3.57
81	2.97	2.37	3.57
82	2.94	2.22	3.57
83	2.94	2.12	3.57
84	2.96	2.09	3.57
85	2.99	2.14	3.57
86	3.01	2.24	3.57
87	2.98	2.34	3.57
88	2.88	2.40	3.57
89	2.67	2.38	3.57
90	2.38	2.26	3.57
91	2.04	2.05	3.57
92	1.68	1.79	3.57
93	1.36	1.53	3.57
94	1.11	1.30	3.57
95	0.94	1.13	3.57
96	0.86	1.02	3.57
97	0.83	0.96	3.57
98	0.86	0.96	3.57
99	0.92	1.00	3.57
100	1.01	1.07	3.57
101	1.11	1.15	3.57
