	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Static.c3d
	Right Knee Angles	Right Knee Angles	Right Knee Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X
1	8.91	8.99	60.97
2	10.78	10.84	60.97
3	12.70	12.73	60.97
4	14.66	14.55	60.97
5	16.69	16.29	60.97
6	18.79	17.93	60.97
7	20.95	19.49	60.97
8	23.09	20.96	60.97
9	25.11	22.30	60.97
10	26.94	23.48	60.97
11	28.51	24.45	60.97
12	29.78	25.19	60.97
13	30.73	25.70	60.97
14	31.36	25.99	60.97
15	31.69	26.05	60.97
16	31.72	25.91	60.97
17	31.50	25.59	60.97
18	31.06	25.12	60.97
19	30.43	24.53	60.97
20	29.64	23.84	60.97
21	28.72	23.09	60.97
22	27.68	22.29	60.97
23	26.56	21.43	60.97
24	25.35	20.52	60.97
25	24.10	19.57	60.97
26	22.81	18.58	60.97
27	21.52	17.56	60.97
28	20.25	16.53	60.97
29	19.02	15.50	60.97
30	17.83	14.48	60.97
31	16.68	13.47	60.97
32	15.55	12.46	60.97
33	14.44	11.47	60.97
34	13.35	10.49	60.97
35	12.27	9.53	60.97
36	11.22	8.61	60.97
37	10.22	7.78	60.97
38	9.31	7.06	60.98
39	8.50	6.49	60.98
40	7.86	6.09	60.98
41	7.39	5.87	60.98
42	7.12	5.84	60.98
43	7.04	5.96	60.98
44	7.14	6.23	60.98
45	7.38	6.62	60.98
46	7.75	7.10	60.98
47	8.22	7.65	60.98
48	8.77	8.26	60.98
49	9.42	8.94	60.98
50	10.15	9.70	60.98
51	10.99	10.55	60.98
52	11.96	11.54	60.98
53	13.09	12.72	60.98
54	14.45	14.16	60.98
55	16.08	15.91	60.98
56	18.04	18.03	60.98
57	20.38	20.56	60.98
58	23.13	23.51	60.98
59	26.27	26.85	60.98
60	29.77	30.51	60.98
61	33.55	34.42	60.98
62	37.51	38.44	60.98
63	41.52	42.47	60.98
64	45.46	46.37	60.98
65	49.20	50.02	60.98
66	52.64	53.31	60.98
67	55.70	56.18	60.98
68	58.33	58.59	60.98
69	60.50	60.53	60.98
70	62.20	61.99	60.97
71	63.44	63.01	60.97
72	64.22	63.58	60.97
73	64.56	63.73	60.97
74	64.48	63.48	60.97
75	63.99	62.85	60.97
76	63.14	61.86	60.97
77	61.94	60.57	60.97
78	60.44	58.98	60.97
79	58.64	57.11	60.97
80	56.56	54.98	60.97
81	54.20	52.59	60.97
82	51.55	49.92	60.97
83	48.59	46.97	60.97
84	45.31	43.72	60.97
85	41.73	40.18	60.97
86	37.88	36.34	60.97
87	33.82	32.28	60.97
88	29.64	28.06	60.97
89	25.44	23.81	60.97
90	21.34	19.64	60.97
91	17.45	15.69	60.97
92	13.89	12.12	60.97
93	10.78	9.05	60.97
94	8.23	6.61	60.97
95	6.32	4.89	60.97
96	5.12	3.94	60.97
97	4.67	3.74	60.97
98	4.94	4.25	60.97
99	5.85	5.34	60.97
100	7.26	6.87	60.97
101	8.99	8.68	60.97
