	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Static.c3d
	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y
1	-1.33	-0.81	2.10
2	-1.03	-0.54	2.10
3	-0.67	-0.20	2.10
4	-0.23	0.19	2.10
5	0.27	0.63	2.10
6	0.86	1.13	2.10
7	1.50	1.68	2.10
8	2.20	2.26	2.10
9	2.92	2.88	2.10
10	3.62	3.49	2.10
11	4.27	4.09	2.09
12	4.83	4.65	2.09
13	5.28	5.15	2.09
14	5.61	5.57	2.09
15	5.82	5.89	2.09
16	5.91	6.11	2.09
17	5.90	6.21	2.09
18	5.79	6.20	2.09
19	5.61	6.08	2.09
20	5.36	5.86	2.09
21	5.07	5.57	2.09
22	4.75	5.24	2.09
23	4.42	4.89	2.09
24	4.10	4.55	2.09
25	3.79	4.22	2.09
26	3.49	3.92	2.09
27	3.19	3.65	2.09
28	2.91	3.41	2.09
29	2.64	3.20	2.09
30	2.40	3.01	2.09
31	2.18	2.85	2.09
32	1.99	2.71	2.09
33	1.85	2.58	2.09
34	1.74	2.48	2.09
35	1.68	2.40	2.09
36	1.64	2.34	2.09
37	1.63	2.29	2.09
38	1.63	2.26	2.09
39	1.63	2.24	2.09
40	1.64	2.24	2.09
41	1.64	2.25	2.09
42	1.64	2.27	2.09
43	1.63	2.31	2.09
44	1.62	2.36	2.09
45	1.62	2.40	2.08
46	1.62	2.43	2.08
47	1.63	2.43	2.08
48	1.61	2.40	2.08
49	1.57	2.32	2.08
50	1.47	2.18	2.08
51	1.32	1.98	2.08
52	1.09	1.74	2.08
53	0.79	1.45	2.08
54	0.44	1.12	2.08
55	0.02	0.76	2.08
56	-0.43	0.38	2.08
57	-0.91	-0.03	2.08
58	-1.39	-0.45	2.08
59	-1.85	-0.89	2.08
60	-2.29	-1.33	2.08
61	-2.68	-1.76	2.08
62	-3.02	-2.19	2.08
63	-3.32	-2.60	2.08
64	-3.57	-2.97	2.08
65	-3.77	-3.30	2.08
66	-3.91	-3.57	2.08
67	-3.97	-3.75	2.08
68	-3.96	-3.84	2.08
69	-3.86	-3.83	2.08
70	-3.70	-3.71	2.08
71	-3.48	-3.52	2.08
72	-3.24	-3.25	2.08
73	-2.99	-2.94	2.08
74	-2.74	-2.62	2.08
75	-2.51	-2.29	2.08
76	-2.29	-1.99	2.08
77	-2.09	-1.72	2.08
78	-1.90	-1.48	2.08
79	-1.71	-1.29	2.08
80	-1.54	-1.14	2.08
81	-1.37	-1.03	2.08
82	-1.21	-0.96	2.08
83	-1.07	-0.92	2.08
84	-0.94	-0.91	2.07
85	-0.82	-0.93	2.07
86	-0.73	-0.96	2.07
87	-0.66	-1.02	2.07
88	-0.60	-1.08	2.07
89	-0.58	-1.14	2.07
90	-0.58	-1.20	2.07
91	-0.61	-1.26	2.07
92	-0.68	-1.31	2.07
93	-0.78	-1.35	2.07
94	-0.90	-1.38	2.07
95	-1.03	-1.38	2.07
96	-1.14	-1.35	2.07
97	-1.22	-1.26	2.07
98	-1.23	-1.12	2.07
99	-1.17	-0.93	2.07
100	-1.03	-0.69	2.07
101	-0.81	-0.41	2.07
