	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Static.c3d
	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X
1	10.20	8.34	21.52
2	10.20	8.26	21.52
3	10.23	8.21	21.52
4	10.29	8.18	21.52
5	10.39	8.19	21.52
6	10.49	8.20	21.52
7	10.57	8.21	21.52
8	10.62	8.19	21.52
9	10.61	8.14	21.52
10	10.55	8.06	21.52
11	10.46	7.98	21.53
12	10.36	7.90	21.53
13	10.25	7.84	21.53
14	10.17	7.80	21.53
15	10.10	7.81	21.53
16	10.06	7.85	21.53
17	10.04	7.92	21.53
18	10.02	8.00	21.53
19	10.02	8.08	21.53
20	10.02	8.16	21.53
21	10.02	8.20	21.53
22	10.02	8.22	21.53
23	10.01	8.20	21.53
24	10.00	8.16	21.53
25	9.98	8.09	21.53
26	9.95	8.00	21.53
27	9.92	7.92	21.53
28	9.88	7.84	21.53
29	9.85	7.77	21.53
30	9.83	7.73	21.53
31	9.81	7.70	21.53
32	9.80	7.68	21.53
33	9.79	7.68	21.53
34	9.78	7.69	21.53
35	9.78	7.71	21.53
36	9.77	7.72	21.53
37	9.75	7.73	21.53
38	9.73	7.74	21.53
39	9.70	7.74	21.53
40	9.66	7.76	21.53
41	9.63	7.77	21.53
42	9.62	7.80	21.53
43	9.62	7.82	21.53
44	9.65	7.86	21.53
45	9.70	7.89	21.53
46	9.77	7.92	21.53
47	9.85	7.95	21.53
48	9.93	7.97	21.53
49	10.01	7.99	21.53
50	10.07	8.02	21.53
51	10.12	8.05	21.53
52	10.16	8.10	21.53
53	10.20	8.17	21.53
54	10.26	8.26	21.53
55	10.33	8.35	21.53
56	10.40	8.43	21.53
57	10.45	8.48	21.53
58	10.47	8.49	21.53
59	10.45	8.46	21.53
60	10.40	8.41	21.53
61	10.31	8.35	21.53
62	10.22	8.29	21.53
63	10.13	8.25	21.53
64	10.07	8.24	21.53
65	10.05	8.28	21.53
66	10.07	8.37	21.53
67	10.12	8.50	21.53
68	10.20	8.66	21.53
69	10.27	8.84	21.53
70	10.31	9.00	21.53
71	10.30	9.13	21.53
72	10.24	9.21	21.53
73	10.14	9.24	21.53
74	9.99	9.21	21.53
75	9.83	9.15	21.53
76	9.66	9.07	21.53
77	9.51	8.98	21.53
78	9.39	8.92	21.53
79	9.31	8.87	21.53
80	9.27	8.85	21.53
81	9.27	8.87	21.53
82	9.29	8.90	21.53
83	9.33	8.94	21.53
84	9.38	8.99	21.53
85	9.43	9.02	21.53
86	9.46	9.03	21.53
87	9.48	9.00	21.53
88	9.48	8.95	21.53
89	9.45	8.88	21.53
90	9.39	8.79	21.53
91	9.31	8.69	21.53
92	9.21	8.60	21.53
93	9.11	8.52	21.53
94	9.00	8.45	21.53
95	8.91	8.42	21.53
96	8.82	8.41	21.53
97	8.73	8.42	21.53
98	8.64	8.43	21.54
99	8.54	8.43	21.54
100	8.44	8.40	21.54
101	8.34	8.35	21.54
