	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC
	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	0.0463	0.0390	0.0352	0.0369	0.0415	0.0376	0.0400	0.0413	0.0386	0.0354	0.0392	0.0443
2	0.0423	0.0369	0.0345	0.0361	0.0421	0.0359	0.0390	0.0416	0.0378	0.0349	0.0366	0.0443
3	0.0408	0.0372	0.0360	0.0373	0.0446	0.0367	0.0405	0.0442	0.0393	0.0371	0.0372	0.0443
4	0.0420	0.0398	0.0383	0.0400	0.0466	0.0393	0.0430	0.0462	0.0411	0.0391	0.0402	0.0443
5	0.0446	0.0415	0.0397	0.0416	0.0478	0.0411	0.0444	0.0473	0.0423	0.0402	0.0421	0.0443
6	0.0462	0.0426	0.0406	0.0422	0.0485	0.0421	0.0452	0.0478	0.0429	0.0409	0.0430	0.0443
7	0.0472	0.0433	0.0411	0.0427	0.0487	0.0427	0.0456	0.0478	0.0431	0.0410	0.0433	0.0443
8	0.0476	0.0435	0.0412	0.0427	0.0488	0.0427	0.0456	0.0478	0.0431	0.0410	0.0431	0.0443
9	0.0477	0.0437	0.0413	0.0430	0.0490	0.0427	0.0457	0.0479	0.0432	0.0411	0.0429	0.0443
10	0.0477	0.0438	0.0414	0.0435	0.0491	0.0427	0.0458	0.0480	0.0433	0.0411	0.0429	0.0443
11	0.0479	0.0439	0.0415	0.0437	0.0492	0.0429	0.0460	0.0481	0.0434	0.0413	0.0430	0.0443
12	0.0481	0.0438	0.0416	0.0440	0.0494	0.0431	0.0461	0.0484	0.0435	0.0415	0.0432	0.0443
13	0.0482	0.0438	0.0418	0.0443	0.0495	0.0433	0.0462	0.0485	0.0436	0.0416	0.0434	0.0443
14	0.0484	0.0438	0.0419	0.0445	0.0496	0.0435	0.0464	0.0487	0.0437	0.0418	0.0436	0.0443
15	0.0486	0.0439	0.0421	0.0446	0.0498	0.0437	0.0465	0.0488	0.0438	0.0419	0.0438	0.0443
16	0.0487	0.0440	0.0423	0.0447	0.0499	0.0439	0.0466	0.0489	0.0439	0.0420	0.0439	0.0443
17	0.0489	0.0441	0.0424	0.0448	0.0500	0.0441	0.0468	0.0490	0.0440	0.0421	0.0442	0.0443
18	0.0491	0.0444	0.0425	0.0448	0.0502	0.0443	0.0470	0.0491	0.0441	0.0422	0.0443	0.0443
19	0.0493	0.0446	0.0427	0.0449	0.0503	0.0444	0.0472	0.0492	0.0442	0.0422	0.0445	0.0443
20	0.0494	0.0449	0.0428	0.0450	0.0505	0.0446	0.0474	0.0493	0.0444	0.0423	0.0446	0.0443
21	0.0496	0.0453	0.0429	0.0451	0.0506	0.0449	0.0476	0.0494	0.0445	0.0424	0.0447	0.0443
22	0.0498	0.0455	0.0430	0.0453	0.0507	0.0451	0.0478	0.0496	0.0446	0.0424	0.0448	0.0443
23	0.0501	0.0458	0.0433	0.0454	0.0508	0.0456	0.0479	0.0497	0.0448	0.0426	0.0449	0.0443
24	0.0503	0.0460	0.0435	0.0457	0.0509	0.0458	0.0480	0.0499	0.0451	0.0428	0.0450	0.0443
25	0.0506	0.0462	0.0438	0.0459	0.0510	0.0460	0.0482	0.0500	0.0454	0.0431	0.0451	0.0443
26	0.0508	0.0465	0.0439	0.0461	0.0512	0.0462	0.0484	0.0502	0.0456	0.0434	0.0453	0.0443
27	0.0510	0.0468	0.0441	0.0464	0.0514	0.0464	0.0487	0.0504	0.0458	0.0435	0.0455	0.0443
28	0.0512	0.0470	0.0443	0.0466	0.0516	0.0466	0.0490	0.0505	0.0460	0.0437	0.0457	0.0443
29	0.0514	0.0473	0.0445	0.0468	0.0519	0.0469	0.0492	0.0507	0.0462	0.0439	0.0459	0.0443
30	0.0516	0.0476	0.0448	0.0471	0.0522	0.0472	0.0495	0.0509	0.0464	0.0441	0.0461	0.0443
31	0.0519	0.0478	0.0451	0.0474	0.0524	0.0476	0.0498	0.0511	0.0467	0.0443	0.0463	0.0443
32	0.0522	0.0480	0.0453	0.0477	0.0525	0.0479	0.0501	0.0514	0.0469	0.0445	0.0464	0.0443
33	0.0524	0.0480	0.0455	0.0480	0.0527	0.0482	0.0504	0.0516	0.0472	0.0447	0.0467	0.0443
34	0.0527	0.0479	0.0458	0.0483	0.0529	0.0486	0.0506	0.0519	0.0474	0.0450	0.0469	0.0443
35	0.0531	0.0480	0.0461	0.0486	0.0531	0.0490	0.0510	0.0521	0.0477	0.0452	0.0472	0.0443
36	0.0534	0.0481	0.0464	0.0489	0.0533	0.0494	0.0513	0.0524	0.0480	0.0454	0.0474	0.0443
