	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
	Left Ankle Angles	Left Ankle Angles	Left Ankle Angles	Left Ankle Angles	Left Ankle Angles	Left Ankle Angles	Left Ankle Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X
1	7.10	2.53	1.53	5.32	1.04	3.97	5.59
2	6.72	1.84	0.70	4.50	0.37	3.13	5.59
3	6.11	0.95	-0.10	3.47	-0.30	2.07	5.59
4	5.27	-0.02	-0.77	2.34	-0.89	0.87	5.59
5	4.27	-0.98	-1.25	1.21	-1.32	-0.36	5.59
6	3.20	-1.79	-1.51	0.21	-1.53	-1.49	5.59
7	2.20	-2.38	-1.53	-0.54	-1.49	-2.39	5.59
8	1.38	-2.69	-1.34	-1.00	-1.22	-2.98	5.59
9	0.78	-2.74	-0.97	-1.13	-0.74	-3.24	5.59
10	0.45	-2.55	-0.45	-0.98	-0.10	-3.16	5.59
11	0.37	-2.18	0.15	-0.60	0.64	-2.80	5.59
12	0.50	-1.68	0.81	-0.04	1.43	-2.24	5.59
13	0.81	-1.10	1.49	0.62	2.21	-1.54	5.59
14	1.24	-0.50	2.15	1.32	2.97	-0.79	5.59
15	1.76	0.10	2.79	2.02	3.67	-0.05	5.59
16	2.33	0.66	3.38	2.69	4.30	0.64	5.59
17	2.90	1.18	3.93	3.30	4.86	1.25	5.59
18	3.46	1.65	4.43	3.85	5.36	1.79	5.59
19	3.97	2.07	4.89	4.33	5.79	2.25	5.59
20	4.44	2.44	5.31	4.76	6.16	2.64	5.59
21	4.85	2.78	5.69	5.13	6.49	2.96	5.59
22	5.20	3.10	6.04	5.45	6.79	3.25	5.59
23	5.50	3.39	6.36	5.73	7.05	3.50	5.59
24	5.76	3.68	6.66	5.98	7.28	3.75	5.59
25	5.98	3.96	6.95	6.20	7.49	3.99	5.59
26	6.17	4.24	7.22	6.40	7.68	4.24	5.59
27	6.34	4.52	7.48	6.60	7.85	4.50	5.59
28	6.49	4.81	7.74	6.81	8.00	4.76	5.59
29	6.63	5.10	8.01	7.01	8.14	5.03	5.59
30	6.77	5.41	8.29	7.23	8.27	5.31	5.59
31	6.93	5.73	8.58	7.45	8.40	5.60	5.59
32	7.11	6.08	8.88	7.69	8.53	5.90	5.59
33	7.32	6.45	9.20	7.95	8.68	6.21	5.59
34	7.57	6.83	9.54	8.23	8.86	6.56	5.59
35	7.87	7.24	9.90	8.54	9.08	6.93	5.59
36	8.21	7.67	10.28	8.89	9.34	7.35	5.59
37	8.61	8.13	10.68	9.29	9.66	7.81	5.59
38	9.07	8.61	11.11	9.74	10.05	8.34	5.59
39	9.59	9.15	11.56	10.24	10.52	8.92	5.59
40	10.17	9.74	12.03	10.79	11.06	9.56	5.59
41	10.81	10.38	12.52	11.37	11.66	10.26	5.59
42	11.51	11.08	13.01	11.97	12.31	11.00	5.59
43	12.25	11.82	13.49	12.57	12.98	11.78	5.59
44	13.02	12.58	13.94	13.14	13.65	12.59	5.59
45	13.80	13.36	14.35	13.65	14.29	13.41	5.59
46	14.57	14.13	14.70	14.08	14.88	14.22	5.59
47	15.30	14.85	14.96	14.40	15.39	14.99	5.59
48	15.97	15.49	15.12	14.59	15.80	15.66	5.59
49	16.55	16.01	15.14	14.63	16.11	16.20	5.59
50	17.02	16.37	14.97	14.48	16.28	16.55	5.59
51	17.34	16.53	14.55	14.10	16.30	16.67	5.59
52	17.48	16.44	13.83	13.45	16.11	16.49	5.59
53	17.40	16.04	12.73	12.46	15.68	15.95	5.59
54	17.03	15.26	11.20	11.07	14.93	14.99	5.59
55	16.31	14.06	9.20	9.22	13.82	13.56	5.59
56	15.17	12.38	6.73	6.89	12.28	11.60	5.59
57	13.55	10.21	3.86	4.12	10.29	9.13	5.59
58	11.42	7.57	0.72	1.02	7.86	6.19	5.59
59	8.80	4.58	-2.52	-2.27	5.07	2.90	5.59
