	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 8.c3d
	Left Ankle Moment	Left Ankle Moment	Left Ankle Moment	Left Ankle Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y
1	0.0045	0.0018	-0.0182	0.0014
2	-0.0085	-0.0410	-0.1023	-0.0014
3	-0.0698	-0.0881	-0.1550	-0.0569
4	-0.0788	-0.0796	-0.1372	-0.0544
5	-0.0572	-0.0572	-0.1476	-0.0185
6	-0.0484	-0.0683	-0.2055	-0.0360
7	-0.0556	-0.0632	-0.2012	-0.0458
8	-0.0477	-0.0413	-0.1605	-0.0287
9	-0.0293	-0.0185	-0.1309	-0.0101
10	-0.0172	-0.0099	-0.1259	-0.0014
11	-0.0182	-0.0098	-0.1397	0.0033
12	-0.0237	-0.0161	-0.1666	0.0018
13	-0.0268	-0.0246	-0.1922	-0.0025
14	-0.0076	-0.0280	-0.2048	-0.0063
15	0.0145	-0.0264	-0.2075	-0.0092
16	0.0302	-0.0226	-0.2081	-0.0047
17	0.0462	-0.0204	-0.2105	0.0094
18	0.0614	-0.0205	-0.2132	0.0273
19	0.0745	-0.0206	-0.2128	0.0452
20	0.0857	-0.0187	-0.2090	0.0533
21	0.0937	-0.0141	-0.2014	0.0502
22	0.0988	-0.0081	-0.1915	0.0391
23	0.1017	-0.0022	-0.1805	0.0221
24	0.1024	0.0038	-0.1692	0.0016
25	0.1016	0.0095	-0.1590	-0.0060
26	0.0995	0.0150	-0.1500	-0.0043
27	0.0974	0.0201	-0.1423	-0.0036
28	0.0963	0.0248	-0.1359	-0.0031
29	0.0975	0.0296	-0.1306	-0.0026
30	0.1021	0.0344	-0.1262	-0.0014
31	0.1094	0.0395	-0.1223	0.0003
32	0.1190	0.0447	-0.1192	0.0025
33	0.1305	0.0500	-0.1151	0.0050
34	0.1431	0.0554	-0.1117	0.0076
35	0.1566	0.0609	-0.1088	0.0100
36	0.1701	0.0661	-0.1062	0.0143
37	0.1848	0.0713	-0.1033	0.0275
38	0.2017	0.0769	-0.1005	0.0393
39	0.2210	0.0837	-0.0973	0.0471
40	0.2416	0.0926	-0.0933	0.0535
41	0.2629	0.1036	-0.0888	0.0551
42	0.2891	0.1172	-0.0830	0.0520
43	0.3288	0.1329	-0.0748	0.0500
44	0.3752	0.1503	-0.0636	0.0574
45	0.4197	0.1687	-0.0511	0.0687
46	0.4621	0.1878	-0.0361	0.0814
47	0.4989	0.2071	-0.0191	0.0961
48	0.5262	0.2259	0.0011	0.1122
49	0.5415	0.2437	0.0246	0.1295
50	0.5456	0.2594	0.0497	0.1471
51	0.5395	0.2723	0.0746	0.1655
52	0.5261	0.2817	0.0978	0.1838
53	0.4808	0.2850	0.1182	0.1969
54	0.3517	0.2795	0.1315	0.2056
55	0.2705	0.2685	0.1389	0.2109
56	0.2243	0.2523	0.1406	0.2096
57	0.2079	0.2274	0.1342	0.2004
58	0.1951	0.1923	0.1182	0.1828
59	0.1728	0.1472	0.0902	0.1553
60	0.1395	0.0953	0.0541	0.1166
61	0.0956	0.0464	0.0214	0.0695
62	0.0481	0.0111	-0.0045	0.0257
63	0.0103	-0.0023	-0.0097	-0.0020
64	-0.0051	-0.0041	-0.0108	-0.0049
65	-0.0053	-0.0058	-0.0061	-0.0053
66	-0.0062	-0.0071	-0.0070	-0.0078
67	-0.0069	-0.0076	-0.0069	-0.0079
68	-0.0073	-0.0075	-0.0065	-0.0076
69	-0.0072	-0.0070	-0.0061	-0.0070
70	-0.0067	-0.0063	-0.0057	-0.0064
71	-0.0059	-0.0056	-0.0054	-0.0059
72	-0.0051	-0.0050	-0.0051	-0.0055
73	-0.0043	-0.0044	-0.0047	-0.0051
74	-0.0035	-0.0039	-0.0042	-0.0047
75	-0.0028	-0.0034	-0.0036	-0.0042
76	-0.0022	-0.0030	-0.0029	-0.0036
77	-0.0017	-0.0025	-0.0023	-0.0030
78	-0.0012	-0.0020	-0.0017	-0.0024
79	-0.0009	-0.0015	-0.0014	-0.0019
80	-0.0007	-0.0012	-0.0013	-0.0017
81	-0.0006	-0.0010	-0.0015	-0.0017
82	-0.0007	-0.0009	-0.0020	-0.0019
83	-0.0009	-0.0010	-0.0025	-0.0021
84	-0.0012	-0.0011	-0.0029	-0.0024
85	-0.0015	-0.0012	-0.0032	-0.0027
86	-0.0017	-0.0014	-0.0033	-0.0029
87	-0.0019	-0.0015	-0.0031	-0.0030
88	-0.0019	-0.0016	-0.0027	-0.0030
89	-0.0019	-0.0016	-0.0020	-0.0028
90	-0.0017	-0.0015	-0.0010	-0.0022
91	-0.0014	-0.0012	0.0001	-0.0014
92	-0.0008	-0.0006	0.0015	-0.0002
93	0.0001	0.0001	0.0028	0.0012
94	0.0011	0.0009	0.0040	0.0023
95	0.0021	0.0016	0.0047	0.0028
96	0.0026	0.0020	0.0047	0.0025
97	0.0025	0.0019	0.0039	0.0015
98	0.0018	0.0015	0.0026	0.0002
99	0.0006	0.0010	0.0010	-0.0009
100	-0.0007	0.0005	-0.0003	-0.0016
101	-0.0016	0.0002	-0.0012	-0.0017
