	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
	Left Ankle Angles	Left Ankle Angles	Left Ankle Angles	Left Ankle Angles	Left Ankle Angles	Left Ankle Angles	Left Ankle Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y
1	-0.93	-3.25	-3.52	-1.33	-4.50	-0.65	-1.27
2	-2.22	-4.22	-3.99	-2.45	-5.03	-1.83	-1.27
3	-3.70	-5.12	-4.33	-3.62	-5.47	-3.02	-1.27
4	-5.17	-5.80	-4.49	-4.67	-5.74	-4.02	-1.27
5	-6.45	-6.20	-4.48	-5.45	-5.83	-4.73	-1.27
6	-7.41	-6.33	-4.36	-5.91	-5.75	-5.12	-1.27
7	-8.03	-6.24	-4.20	-6.10	-5.59	-5.25	-1.27
8	-8.32	-6.03	-4.06	-6.10	-5.40	-5.19	-1.27
9	-8.37	-5.77	-3.96	-6.01	-5.22	-5.06	-1.27
10	-8.27	-5.54	-3.94	-5.92	-5.09	-4.92	-1.27
11	-8.12	-5.38	-3.97	-5.86	-5.02	-4.82	-1.27
12	-7.96	-5.28	-4.05	-5.86	-4.99	-4.76	-1.27
13	-7.82	-5.25	-4.14	-5.90	-4.99	-4.75	-1.27
14	-7.72	-5.27	-4.24	-5.97	-5.00	-4.77	-1.27
15	-7.63	-5.30	-4.32	-6.05	-5.00	-4.81	-1.27
16	-7.56	-5.33	-4.37	-6.11	-4.99	-4.84	-1.27
17	-7.48	-5.35	-4.40	-6.15	-4.96	-4.87	-1.27
18	-7.39	-5.35	-4.39	-6.15	-4.92	-4.89	-1.27
19	-7.28	-5.34	-4.37	-6.13	-4.85	-4.88	-1.27
20	-7.16	-5.30	-4.32	-6.07	-4.78	-4.87	-1.27
21	-7.03	-5.26	-4.27	-5.99	-4.71	-4.83	-1.27
22	-6.91	-5.20	-4.20	-5.89	-4.63	-4.79	-1.27
23	-6.79	-5.12	-4.13	-5.77	-4.55	-4.75	-1.27
24	-6.68	-5.04	-4.05	-5.64	-4.47	-4.69	-1.27
25	-6.60	-4.94	-3.97	-5.51	-4.39	-4.63	-1.27
26	-6.53	-4.84	-3.88	-5.38	-4.32	-4.56	-1.27
27	-6.51	-4.75	-3.79	-5.25	-4.24	-4.49	-1.27
28	-6.52	-4.66	-3.68	-5.14	-4.17	-4.40	-1.27
29	-6.56	-4.60	-3.58	-5.05	-4.10	-4.31	-1.27
30	-6.62	-4.56	-3.46	-4.97	-4.02	-4.21	-1.27
31	-6.69	-4.53	-3.35	-4.90	-3.93	-4.11	-1.27
32	-6.75	-4.51	-3.24	-4.82	-3.83	-4.02	-1.27
33	-6.77	-4.48	-3.13	-4.73	-3.72	-3.93	-1.27
34	-6.75	-4.43	-3.02	-4.63	-3.60	-3.85	-1.27
35	-6.68	-4.36	-2.90	-4.51	-3.47	-3.77	-1.28
36	-6.56	-4.26	-2.76	-4.37	-3.33	-3.69	-1.28
37	-6.41	-4.13	-2.61	-4.22	-3.19	-3.60	-1.28
38	-6.22	-3.97	-2.42	-4.05	-3.04	-3.50	-1.28
39	-6.00	-3.77	-2.20	-3.85	-2.87	-3.36	-1.28
40	-5.77	-3.53	-1.93	-3.63	-2.68	-3.20	-1.28
41	-5.52	-3.25	-1.62	-3.37	-2.45	-2.98	-1.28
42	-5.26	-2.93	-1.23	-3.07	-2.19	-2.72	-1.28
43	-4.98	-2.58	-0.78	-2.72	-1.87	-2.40	-1.28
44	-4.67	-2.19	-0.25	-2.30	-1.50	-2.02	-1.28
45	-4.32	-1.76	0.36	-1.82	-1.07	-1.57	-1.28
46	-3.89	-1.27	1.05	-1.26	-0.57	-1.05	-1.28
47	-3.38	-0.71	1.81	-0.63	-0.01	-0.44	-1.28
48	-2.78	-0.07	2.63	0.09	0.61	0.25	-1.28
49	-2.07	0.67	3.50	0.89	1.28	1.04	-1.28
