	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
	Left Ankle Angles	Left Ankle Angles	Left Ankle Angles	Left Ankle Angles	Left Ankle Angles	Left Ankle Angles	Left Ankle Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z
1	-0.46	-1.11	-0.81	-0.37	-1.00	-0.01	-0.43
2	-0.47	-1.34	-1.06	-0.39	-1.10	-0.16	-0.43
3	-0.64	-1.63	-1.44	-0.59	-1.31	-0.43	-0.43
4	-0.97	-1.96	-1.89	-0.97	-1.61	-0.82	-0.43
5	-1.47	-2.31	-2.35	-1.48	-1.96	-1.33	-0.43
6	-2.10	-2.67	-2.77	-2.06	-2.32	-1.90	-0.43
7	-2.78	-2.99	-3.11	-2.64	-2.65	-2.46	-0.43
8	-3.44	-3.27	-3.36	-3.15	-2.92	-2.96	-0.43
9	-3.99	-3.49	-3.55	-3.57	-3.11	-3.36	-0.43
10	-4.40	-3.64	-3.67	-3.89	-3.20	-3.66	-0.43
11	-4.67	-3.73	-3.75	-4.12	-3.19	-3.87	-0.43
12	-4.83	-3.77	-3.77	-4.29	-3.09	-4.02	-0.43
13	-4.90	-3.76	-3.75	-4.40	-2.92	-4.11	-0.43
14	-4.91	-3.73	-3.67	-4.46	-2.68	-4.17	-0.43
15	-4.88	-3.66	-3.56	-4.45	-2.39	-4.18	-0.43
16	-4.81	-3.55	-3.41	-4.37	-2.07	-4.12	-0.43
17	-4.70	-3.42	-3.27	-4.22	-1.76	-3.99	-0.43
18	-4.56	-3.26	-3.14	-4.01	-1.47	-3.77	-0.43
19	-4.40	-3.08	-3.06	-3.75	-1.21	-3.47	-0.43
20	-4.21	-2.89	-3.02	-3.48	-1.00	-3.10	-0.43
21	-4.01	-2.70	-3.04	-3.22	-0.84	-2.68	-0.43
22	-3.82	-2.52	-3.07	-2.99	-0.72	-2.22	-0.43
23	-3.63	-2.36	-3.11	-2.80	-0.62	-1.78	-0.43
24	-3.45	-2.21	-3.12	-2.64	-0.53	-1.35	-0.43
25	-3.28	-2.05	-3.08	-2.50	-0.44	-0.98	-0.43
26	-3.11	-1.88	-2.97	-2.36	-0.33	-0.65	-0.44
27	-2.92	-1.70	-2.81	-2.23	-0.20	-0.37	-0.44
28	-2.73	-1.50	-2.62	-2.10	-0.04	-0.12	-0.44
29	-2.53	-1.29	-2.41	-1.98	0.13	0.12	-0.44
30	-2.33	-1.10	-2.20	-1.84	0.30	0.37	-0.44
31	-2.14	-0.93	-2.01	-1.68	0.47	0.61	-0.44
32	-1.95	-0.78	-1.85	-1.50	0.63	0.86	-0.44
33	-1.77	-0.66	-1.71	-1.29	0.77	1.08	-0.44
34	-1.58	-0.56	-1.60	-1.06	0.91	1.28	-0.44
35	-1.39	-0.46	-1.49	-0.82	1.03	1.44	-0.44
36	-1.18	-0.35	-1.40	-0.60	1.14	1.58	-0.44
37	-0.96	-0.23	-1.31	-0.38	1.25	1.69	-0.44
38	-0.73	-0.10	-1.22	-0.19	1.36	1.78	-0.44
39	-0.50	0.04	-1.11	-0.01	1.45	1.85	-0.44
40	-0.29	0.18	-0.98	0.15	1.52	1.89	-0.44
41	-0.10	0.31	-0.83	0.30	1.57	1.91	-0.44
42	0.08	0.41	-0.65	0.42	1.59	1.91	-0.44
43	0.24	0.48	-0.43	0.53	1.59	1.86	-0.44
44	0.40	0.52	-0.19	0.63	1.57	1.80	-0.44
45	0.54	0.52	0.06	0.71	1.53	1.71	-0.44
46	0.68	0.51	0.31	0.78	1.47	1.62	-0.44
47	0.79	0.48	0.55	0.85	1.41	1.55	-0.44
48	0.88	0.46	0.78	0.92	1.34	1.50	-0.44
49	0.95	0.46	1.01	1.02	1.27	1.49	-0.44
50	1.02	0.50	1.28	1.16	1.21	1.53	-0.44
51	1.10	0.60	1.62	1.38	1.18	1.66	-0.44
