	Static.c3d
	Left Elbow Angles
	LINK_MODEL_BASED
	ORIGINAL
ITEM	X
1	26.6
2	26.6
3	26.6
4	26.6
5	26.6
6	26.6
7	26.6
8	26.6
9	26.6
10	26.6
11	26.6
12	26.6
13	26.6
14	26.6
15	26.6
16	26.6
17	26.6
18	26.6
19	26.6
20	26.6
21	26.6
22	26.6
23	26.6
24	26.6
25	26.6
26	26.6
27	26.6
28	26.6
29	26.6
30	26.6
31	26.6
32	26.6
33	26.6
34	26.6
35	26.6
36	26.6
37	26.6
38	26.6
39	26.6
40	26.6
41	26.6
42	26.6
43	26.6
44	26.6
45	26.6
46	26.6
47	26.6
48	26.6
49	26.6
50	26.6
51	26.6
52	26.6
53	26.6
54	26.6
55	26.6
56	26.6
57	26.6
58	26.6
59	26.6
60	26.6
61	26.6
62	26.6
63	26.6
64	26.6
65	26.6
66	26.6
67	26.6
68	26.6
69	26.6
70	26.6
71	26.6
72	26.6
73	26.6
74	26.6
75	26.6
76	26.6
77	26.6
78	26.6
79	26.6
80	26.6
81	26.6
82	26.6
83	26.6
84	26.6
85	26.6
86	26.6
87	26.6
88	26.5
89	26.5
90	26.5
91	26.5
92	26.5
93	26.5
94	26.5
95	26.5
96	26.5
97	26.5
98	26.5
99	26.5
100	26.5
101	26.5
