	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X
1	26.35	21.10	18.91	25.73	18.08	25.69	0.00
2	24.46	19.06	16.59	23.35	16.07	23.16	0.00
3	22.20	16.69	14.24	20.65	13.87	20.29	0.00
4	19.71	14.22	12.00	17.83	11.66	17.29	0.00
5	17.16	11.82	9.99	15.07	9.60	14.34	0.00
6	14.67	9.64	8.25	12.51	7.80	11.61	0.00
7	12.36	7.76	6.81	10.26	6.31	9.20	0.00
8	10.29	6.22	5.67	8.36	5.13	7.18	0.00
9	8.50	5.02	4.80	6.82	4.25	5.58	0.00
10	7.00	4.14	4.15	5.62	3.61	4.39	0.00
11	5.78	3.53	3.69	4.73	3.17	3.58	0.00
12	4.82	3.13	3.36	4.09	2.87	3.08	0.00
13	4.10	2.90	3.12	3.63	2.65	2.80	0.00
14	3.57	2.77	2.94	3.32	2.47	2.68	0.00
15	3.19	2.71	2.80	3.08	2.31	2.64	0.00
16	2.94	2.68	2.67	2.90	2.15	2.64	0.00
17	2.78	2.65	2.54	2.74	1.98	2.65	0.00
18	2.66	2.62	2.41	2.58	1.80	2.64	0.00
19	2.57	2.57	2.27	2.43	1.61	2.62	0.00
20	2.49	2.51	2.11	2.27	1.41	2.57	0.00
21	2.40	2.43	1.95	2.12	1.23	2.50	0.00
22	2.31	2.35	1.79	1.96	1.05	2.42	0.00
23	2.20	2.27	1.63	1.80	0.89	2.32	0.00
24	2.08	2.18	1.47	1.64	0.74	2.23	0.00
25	1.96	2.10	1.31	1.48	0.61	2.14	0.00
26	1.82	2.02	1.15	1.32	0.48	2.06	0.00
27	1.69	1.93	1.01	1.16	0.36	1.98	0.00
28	1.55	1.83	0.87	1.00	0.24	1.91	0.00
29	1.41	1.73	0.74	0.85	0.13	1.84	0.00
30	1.28	1.62	0.62	0.70	0.01	1.77	0.00
31	1.16	1.51	0.49	0.55	-0.11	1.70	0.00
32	1.06	1.39	0.36	0.40	-0.23	1.63	0.00
33	0.99	1.28	0.21	0.25	-0.35	1.54	0.00
34	0.94	1.17	0.05	0.10	-0.48	1.45	0.00
35	0.91	1.06	-0.13	-0.06	-0.62	1.34	0.00
36	0.88	0.94	-0.33	-0.22	-0.77	1.22	0.00
37	0.85	0.81	-0.56	-0.40	-0.94	1.08	0.00
38	0.81	0.66	-0.81	-0.59	-1.11	0.92	0.00
39	0.75	0.50	-1.11	-0.80	-1.30	0.74	0.00
40	0.66	0.33	-1.44	-1.05	-1.50	0.54	0.00
41	0.52	0.13	-1.83	-1.34	-1.73	0.31	0.00
42	0.33	-0.10	-2.28	-1.68	-1.99	0.05	0.00
43	0.09	-0.37	-2.82	-2.11	-2.30	-0.26	0.00
44	-0.22	-0.69	-3.46	-2.64	-2.68	-0.63	0.00
45	-0.60	-1.09	-4.23	-3.31	-3.16	-1.09	0.00
46	-1.06	-1.58	-5.14	-4.13	-3.76	-1.64	0.00
47	-1.62	-2.19	-6.23	-5.13	-4.50	-2.34	0.00
48	-2.29	-2.94	-7.52	-6.35	-5.41	-3.22	0.00
49	-3.10	-3.88	-9.06	-7.80	-6.51	-4.32	0.00
50	-4.07	-5.03	-10.89	-9.52	-7.83	-5.69	0.00
51	-5.24	-6.46	-13.05	-11.54	-9.41	-7.36	-0.00
52	-6.66	-8.19	-15.62	-13.94	-11.29	-9.40	-0.00
53	-8.37	-10.30	-18.65	-16.75	-13.51	-11.85	-0.00
54	-10.45	-12.85	-22.20	-20.04	-16.15	-14.78	-0.00
55	-12.98	-15.90	-26.29	-23.85	-19.24	-18.25	-0.00
56	-16.01	-19.51	-30.92	-28.22	-22.82	-22.32	-0.00
57	-19.62	-23.70	-36.01	-33.10	-26.92	-26.99	-0.00
58	-23.82	-28.43	-41.44	-38.39	-31.48	-32.21	-0.00
59	-28.60	-33.60	-46.98	-43.91	-36.43	-37.87	-0.00
60	-33.86	-39.01	-52.39	-49.45	-41.61	-43.76	-0.00
61	-39.45	-44.40	-57.37	-54.74	-46.82	-49.61	-0.00
62	-45.12	-49.47	-61.68	-59.53	-51.83	-55.16	-0.00
63	-50.61	-53.94	-65.12	-63.58	-56.40	-60.14	-0.00
64	-55.61	-57.60	-67.57	-66.72	-60.33	-64.32	-0.00
65	-59.86	-60.27	-68.98	-68.82	-63.47	-67.55	-0.00
66	-63.14	-61.90	-69.40	-69.86	-65.70	-69.72	-0.00
67	-65.32	-62.54	-68.93	-69.88	-67.00	-70.78	-0.00
68	-66.35	-62.30	-67.72	-69.03	-67.38	-70.80	-0.00
69	-66.33	-61.36	-65.93	-67.46	-66.92	-69.88	-0.00
70	-65.38	-59.88	-63.71	-65.35	-65.74	-68.17	-0.00
71	-63.73	-58.02	-61.16	-62.84	-63.95	-65.83	-0.00
72	-61.56	-55.86	-58.35	-60.02	-61.68	-62.98	-0.00
73	-59.04	-53.43	-55.33	-56.92	-59.03	-59.71	-0.00
74	-56.26	-50.75	-52.12	-53.57	-56.07	-56.11	-0.00
75	-53.27	-47.82	-48.74	-50.00	-52.87	-52.24	-0.00
76	-50.11	-44.65	-45.19	-46.22	-49.46	-48.17	-0.00
77	-46.77	-41.27	-41.48	-42.26	-45.89	-43.96	-0.00
78	-43.26	-37.70	-37.64	-38.15	-42.19	-39.67	-0.00
79	-39.59	-34.00	-33.67	-33.91	-38.37	-35.34	-0.00
80	-35.77	-30.19	-29.61	-29.57	-34.46	-31.01	-0.00
81	-31.82	-26.34	-25.48	-25.18	-30.50	-26.69	-0.00
82	-27.76	-22.46	-21.30	-20.77	-26.48	-22.40	-0.00
83	-23.62	-18.61	-17.10	-16.39	-22.42	-18.17	-0.00
84	-19.44	-14.79	-12.90	-12.09	-18.34	-14.01	-0.00
85	-15.25	-11.03	-8.71	-7.91	-14.24	-9.94	-0.00
86	-11.07	-7.36	-4.54	-3.87	-10.15	-6.00	-0.00
87	-6.93	-3.80	-0.42	0.02	-6.10	-2.22	-0.00
88	-2.84	-0.36	3.63	3.77	-2.13	1.38	-0.00
