	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
	Left Foot Progression	Left Foot Progression	Left Foot Progression	Left Foot Progression	Left Foot Progression	Left Foot Progression	Left Foot Progression
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z
1	-16.53	-14.57	-13.03	-14.60	-10.64	-12.55	-14.82
2	-16.07	-14.95	-12.70	-14.12	-10.43	-12.64	-14.82
3	-15.64	-15.31	-12.50	-13.76	-10.34	-12.71	-14.82
4	-15.25	-15.59	-12.40	-13.51	-10.32	-12.72	-14.82
5	-14.92	-15.76	-12.36	-13.33	-10.32	-12.64	-14.82
6	-14.66	-15.82	-12.34	-13.22	-10.33	-12.48	-14.82
7	-14.45	-15.80	-12.33	-13.15	-10.34	-12.28	-14.82
8	-14.29	-15.74	-12.32	-13.09	-10.34	-12.08	-14.82
9	-14.16	-15.67	-12.31	-13.03	-10.34	-11.91	-14.82
10	-14.04	-15.61	-12.30	-12.97	-10.35	-11.77	-14.82
11	-13.93	-15.56	-12.29	-12.89	-10.36	-11.68	-14.82
12	-13.81	-15.53	-12.29	-12.81	-10.37	-11.63	-14.82
13	-13.70	-15.51	-12.31	-12.73	-10.39	-11.60	-14.82
14	-13.61	-15.51	-12.35	-12.66	-10.41	-11.60	-14.82
15	-13.54	-15.53	-12.40	-12.60	-10.43	-11.61	-14.82
16	-13.48	-15.55	-12.46	-12.56	-10.46	-11.62	-14.82
17	-13.45	-15.58	-12.53	-12.55	-10.49	-11.63	-14.82
18	-13.44	-15.60	-12.60	-12.54	-10.53	-11.66	-14.82
19	-13.44	-15.63	-12.66	-12.56	-10.57	-11.68	-14.82
20	-13.46	-15.65	-12.72	-12.57	-10.61	-11.71	-14.82
21	-13.48	-15.67	-12.77	-12.60	-10.66	-11.73	-14.82
22	-13.50	-15.68	-12.82	-12.63	-10.70	-11.76	-14.82
23	-13.52	-15.70	-12.87	-12.66	-10.75	-11.79	-14.82
24	-13.55	-15.70	-12.92	-12.70	-10.80	-11.81	-14.82
25	-13.57	-15.71	-12.99	-12.74	-10.85	-11.83	-14.82
26	-13.60	-15.73	-13.07	-12.79	-10.91	-11.85	-14.82
27	-13.64	-15.74	-13.15	-12.85	-10.98	-11.87	-14.82
28	-13.70	-15.77	-13.24	-12.93	-11.07	-11.90	-14.82
29	-13.76	-15.81	-13.33	-13.01	-11.16	-11.93	-14.82
30	-13.84	-15.85	-13.43	-13.10	-11.26	-11.97	-14.82
31	-13.92	-15.90	-13.52	-13.20	-11.37	-12.04	-14.82
32	-13.99	-15.96	-13.61	-13.30	-11.48	-12.12	-14.82
33	-14.07	-16.01	-13.71	-13.39	-11.59	-12.21	-14.82
34	-14.14	-16.07	-13.81	-13.49	-11.70	-12.32	-14.82
35	-14.21	-16.13	-13.91	-13.59	-11.81	-12.42	-14.82
36	-14.28	-16.20	-14.02	-13.70	-11.91	-12.52	-14.82
37	-14.36	-16.27	-14.14	-13.81	-12.00	-12.62	-14.82
38	-14.43	-16.35	-14.27	-13.93	-12.09	-12.71	-14.82
39	-14.51	-16.43	-14.40	-14.05	-12.18	-12.80	-14.82
40	-14.58	-16.51	-14.53	-14.17	-12.27	-12.88	-14.82
41	-14.65	-16.59	-14.65	-14.29	-12.35	-12.97	-14.82
42	-14.72	-16.66	-14.75	-14.40	-12.44	-13.05	-14.82
43	-14.79	-16.74	-14.84	-14.50	-12.51	-13.13	-14.82
