	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 8.c3d
	Left GRF	Left GRF	Left GRF	Left GRF
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X
1	0.0014	-0.0034	-0.0073	0.0028
2	-0.0057	-0.0205	-0.0327	0.0025
3	-0.0254	-0.0288	-0.0392	-0.0102
4	-0.0291	-0.0208	-0.0327	0.0017
5	-0.0227	-0.0210	-0.0348	0.0147
6	-0.0276	-0.0230	-0.0306	0.0154
7	-0.0298	-0.0011	-0.0083	0.0468
8	-0.0087	0.0281	0.0047	0.0663
9	0.0133	0.0352	-0.0024	0.0531
10	0.0199	0.0323	-0.0057	0.0362
11	0.0183	0.0338	0.0037	0.0374
12	0.0203	0.0439	0.0237	0.0501
13	0.0294	0.0565	0.0432	0.0595
14	0.0431	0.0651	0.0545	0.0646
15	0.0530	0.0696	0.0599	0.0703
16	0.0567	0.0726	0.0628	0.0752
17	0.0568	0.0733	0.0619	0.0760
18	0.0554	0.0703	0.0562	0.0734
19	0.0519	0.0650	0.0488	0.0699
20	0.0464	0.0605	0.0434	0.0662
21	0.0414	0.0585	0.0411	0.0625
22	0.0392	0.0584	0.0407	0.0597
23	0.0396	0.0591	0.0413	0.0581
24	0.0412	0.0604	0.0420	0.0564
25	0.0435	0.0616	0.0417	0.0541
26	0.0455	0.0610	0.0397	0.0516
27	0.0461	0.0585	0.0365	0.0493
28	0.0443	0.0546	0.0332	0.0471
29	0.0409	0.0506	0.0305	0.0447
30	0.0369	0.0472	0.0289	0.0426
31	0.0333	0.0448	0.0285	0.0413
32	0.0307	0.0435	0.0290	0.0408
33	0.0294	0.0430	0.0303	0.0408
34	0.0292	0.0430	0.0318	0.0407
35	0.0299	0.0432	0.0331	0.0402
36	0.0309	0.0433	0.0338	0.0393
37	0.0315	0.0432	0.0340	0.0380
38	0.0316	0.0430	0.0337	0.0366
39	0.0312	0.0426	0.0330	0.0351
40	0.0305	0.0422	0.0320	0.0335
41	0.0298	0.0417	0.0309	0.0319
42	0.0291	0.0413	0.0297	0.0306
43	0.0286	0.0407	0.0284	0.0297
44	0.0281	0.0402	0.0273	0.0294
45	0.0276	0.0396	0.0263	0.0294
46	0.0271	0.0392	0.0255	0.0298
47	0.0265	0.0390	0.0251	0.0306
48	0.0259	0.0390	0.0250	0.0316
49	0.0254	0.0392	0.0251	0.0328
50	0.0251	0.0397	0.0256	0.0338
51	0.0251	0.0404	0.0265	0.0347
52	0.0253	0.0412	0.0275	0.0354
53	0.0257	0.0422	0.0288	0.0362
54	0.0263	0.0432	0.0304	0.0369
55	0.0270	0.0442	0.0321	0.0377
56	0.0277	0.0450	0.0336	0.0383
57	0.0283	0.0457	0.0350	0.0387
58	0.0290	0.0462	0.0363	0.0389
59	0.0296	0.0467	0.0376	0.0390
60	0.0300	0.0472	0.0389	0.0392
61	0.0302	0.0477	0.0401	0.0400
62	0.0303	0.0482	0.0414	0.0414
63	0.0304	0.0485	0.0429	0.0431
64	0.0307	0.0487	0.0445	0.0448
65	0.0309	0.0490	0.0464	0.0462
66	0.0310	0.0497	0.0485	0.0471
67	0.0314	0.0505	0.0505	0.0471
68	0.0321	0.0514	0.0521	0.0462
69	0.0331	0.0524	0.0532	0.0447
70	0.0342	0.0532	0.0536	0.0428
71	0.0353	0.0534	0.0539	0.0404
72	0.0364	0.0536	0.0542	0.0374
73	0.0371	0.0537	0.0545	0.0345
74	0.0376	0.0536	0.0550	0.0321
75	0.0385	0.0535	0.0555	0.0302
76	0.0397	0.0534	0.0557	0.0285
77	0.0407	0.0530	0.0551	0.0270
78	0.0417	0.0521	0.0539	0.0267
79	0.0426	0.0505	0.0520	0.0252
80	0.0431	0.0482	0.0500	0.0207
81	0.0429	0.0452	0.0483	0.0151
82	0.0420	0.0422	0.0454	0.0106
83	0.0403	0.0383	0.0401	0.0065
84	0.0376	0.0325	0.0343	0.0020
85	0.0349	0.0258	0.0302	-0.0030
86	0.0313	0.0205	0.0271	-0.0078
87	0.0257	0.0168	0.0236	-0.0119
88	0.0194	0.0129	0.0192	-0.0150
89	0.0151	0.0083	0.0142	-0.0165
90	0.0130	0.0033	0.0092	-0.0159
91	0.0121	-0.0010	0.0047	-0.0129
92	0.0111	-0.0041	0.0014	-0.0079
93	0.0095	-0.0055	-0.0000	-0.0015
94	0.0070	-0.0051	0.0012	0.0051
95	0.0039	-0.0029	0.0048	0.0088
96	0.0006	0.0008	0.0091	0.0071
97	-0.0020	0.0053	0.0093	0.0052
98	-0.0037	0.0076	0.0073	0.0046
99	-0.0045	0.0067	0.0042	-0.0002
100	-0.0046	0.0049	-0.0003	0.0000
101	-0.0034	0.0032	0.0000	0.0000
