	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 8.c3d
	Left GRF	Left GRF	Left GRF	Left GRF
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z
1	0.0359	0.1124	0.1975	0.0260
2	0.2550	0.3613	0.4232	0.2583
3	0.4220	0.4395	0.4489	0.4159
4	0.4582	0.4445	0.4422	0.4044
5	0.4762	0.4769	0.4657	0.4196
6	0.5267	0.5278	0.5083	0.4914
7	0.5619	0.5995	0.5919	0.6188
8	0.6132	0.6798	0.6779	0.7128
9	0.6797	0.7319	0.7388	0.7748
10	0.7313	0.7424	0.7597	0.7868
11	0.7474	0.7023	0.7269	0.7572
12	0.7320	0.6578	0.6877	0.7295
13	0.7090	0.6356	0.6663	0.7101
14	0.7018	0.6292	0.6546	0.6988
15	0.7018	0.6354	0.6545	0.7012
16	0.7071	0.6572	0.6734	0.7174
17	0.7226	0.6921	0.7090	0.7430
18	0.7491	0.7337	0.7546	0.7737
19	0.7819	0.7790	0.8053	0.8081
20	0.8140	0.8250	0.8542	0.8413
21	0.8366	0.8645	0.8921	0.8668
22	0.8498	0.8916	0.9170	0.8854
23	0.8570	0.9069	0.9349	0.9002
24	0.8605	0.9173	0.9518	0.9110
25	0.8620	0.9278	0.9695	0.9194
26	0.8635	0.9406	0.9877	0.9289
27	0.8663	0.9555	1.0044	0.9394
28	0.8704	0.9716	1.0182	0.9495
29	0.8755	0.9872	1.0282	0.9569
30	0.8804	0.9996	1.0337	0.9605
31	0.8840	1.0064	1.0338	0.9608
32	0.8854	1.0066	1.0285	0.9584
33	0.8842	1.0017	1.0189	0.9542
34	0.8806	0.9938	1.0058	0.9488
35	0.8752	0.9839	0.9899	0.9427
36	0.8685	0.9724	0.9721	0.9352
37	0.8612	0.9595	0.9532	0.9241
38	0.8540	0.9451	0.9334	0.9103
39	0.8470	0.9296	0.9126	0.8975
40	0.8399	0.9138	0.8925	0.8872
41	0.8325	0.8987	0.8749	0.8805
42	0.8248	0.8848	0.8605	0.8778
43	0.8171	0.8725	0.8490	0.8789
44	0.8097	0.8622	0.8402	0.8832
45	0.8028	0.8544	0.8341	0.8895
46	0.7967	0.8491	0.8309	0.8961
47	0.7919	0.8465	0.8300	0.9016
48	0.7881	0.8465	0.8309	0.9059
49	0.7851	0.8486	0.8327	0.9092
50	0.7827	0.8522	0.8349	0.9127
51	0.7808	0.8568	0.8373	0.9179
52	0.7792	0.8618	0.8401	0.9259
53	0.7778	0.8668	0.8438	0.9367
54	0.7766	0.8714	0.8489	0.9482
55	0.7752	0.8760	0.8558	0.9577
56	0.7736	0.8810	0.8651	0.9643
57	0.7717	0.8875	0.8764	0.9692
58	0.7698	0.8960	0.8893	0.9739
59	0.7684	0.9065	0.9030	0.9795
60	0.7678	0.9180	0.9169	0.9854
61	0.7680	0.9295	0.9306	0.9907
62	0.7685	0.9405	0.9451	0.9949
63	0.7690	0.9516	0.9608	0.9986
64	0.7689	0.9635	0.9775	1.0022
65	0.7686	0.9768	0.9948	1.0042
66	0.7686	0.9915	1.0119	1.0036
67	0.7680	1.0074	1.0286	1.0017
68	0.7644	1.0239	1.0451	0.9996
69	0.7581	1.0405	1.0617	0.9976
70	0.7520	1.0559	1.0776	0.9955
71	0.7470	1.0689	1.0907	0.9930
72	0.7431	1.0790	1.0991	0.9887
73	0.7397	1.0853	1.1026	0.9819
74	0.7362	1.0873	1.1006	0.9726
75	0.7322	1.0846	1.0927	0.9607
76	0.7272	1.0774	1.0789	0.9465
77	0.7207	1.0656	1.0593	0.9294
78	0.7126	1.0496	1.0349	0.9053
79	0.7031	1.0298	1.0066	0.8742
80	0.6927	1.0067	0.9722	0.8395
81	0.6811	0.9781	0.9315	0.8014
82	0.6675	0.9422	0.8866	0.7591
83	0.6513	0.9007	0.8392	0.7126
84	0.6369	0.8563	0.7894	0.6623
85	0.6553	0.8097	0.7369	0.6088
86	0.6924	0.7603	0.6813	0.5525
87	0.7069	0.7072	0.6229	0.4929
88	0.6917	0.6505	0.5607	0.4292
89	0.6700	0.5897	0.4939	0.3604
90	0.6351	0.5243	0.4206	0.2847
91	0.5900	0.4537	0.3391	0.2037
92	0.5420	0.3769	0.2498	0.1269
93	0.4933	0.2942	0.1602	0.0694
94	0.4420	0.2085	0.0865	0.0410
95	0.3857	0.1295	0.0441	0.0330
96	0.3229	0.0726	0.0319	0.0277
97	0.2520	0.0444	0.0285	0.0209
98	0.1751	0.0350	0.0241	0.0145
99	0.1019	0.0291	0.0134	-0.0005
100	0.0457	0.0211	-0.0011	0.0001
101	0.0134	0.0124	0.0000	0.0000
