	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d
	Left Gastrocnemius medial	Left Gastrocnemius medial	Left Gastrocnemius medial	Left Gastrocnemius medial	Left Gastrocnemius medial	Left Gastrocnemius medial	Left Gastrocnemius medial	Left Gastrocnemius medial	Left Gastrocnemius medial	Left Gastrocnemius medial
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X
1	14.9	17.9	16.2	32.8	16.7	22.2	18.4	18.3	23.1	19.4
2	27.6	19.5	23.3	31.6	20.6	29.3	19.3	22.1	24.5	28.3
3	28.2	22.0	25.5	35.0	27.9	30.5	27.1	22.8	26.9	34.6
4	30.7	24.5	30.0	34.8	28.9	32.1	29.2	25.2	28.2	39.6
5	31.2	28.1	31.3	34.7	32.3	43.2	30.8	26.2	29.6	39.8
6	31.9	30.5	32.3	28.6	33.3	45.7	31.9	28.8	28.3	39.1
7	32.7	26.8	29.9	31.2	35.8	44.0	29.7	24.5	28.7	42.2
8	29.4	29.1	28.7	31.5	33.6	41.3	29.9	25.3	27.9	34.9
9	33.5	29.0	25.8	28.6	32.6	41.2	22.6	25.5	28.2	31.0
10	32.5	27.5	26.4	26.7	30.2	40.4	23.7	23.2	26.2	30.9
11	39.0	25.1	28.6	26.2	31.4	29.3	18.0	23.4	26.4	30.6
12	38.4	22.4	27.0	24.6	28.7	24.6	18.2	26.1	22.0	25.7
13	37.9	26.8	25.9	19.7	27.0	22.0	17.5	23.8	19.4	23.9
14	34.8	24.2	25.2	18.8	26.5	20.9	17.7	22.8	18.8	23.1
15	30.1	21.6	22.6	18.8	25.1	21.2	18.6	21.9	18.3	21.3
16	28.4	19.5	23.6	17.3	25.9	20.1	18.2	21.1	16.3	18.6
17	17.7	20.9	21.0	13.8	22.8	19.1	17.4	17.3	9.2	13.8
18	17.0	18.6	21.6	13.0	22.1	15.6	16.4	11.7	10.3	13.1
19	13.8	13.2	21.4	12.8	21.3	16.3	15.0	12.3	10.3	12.6
20	11.0	14.9	21.0	11.9	22.1	16.2	18.0	14.3	9.9	13.0
21	18.3	15.8	21.2	9.3	23.6	15.4	17.2	18.3	13.7	13.4
22	18.0	16.7	18.8	10.5	24.2	15.7	16.7	20.2	13.8	11.6
23	18.7	15.6	17.2	12.4	24.6	16.4	16.8	20.4	12.6	14.0
24	19.4	16.1	18.4	12.7	24.8	17.1	17.2	19.2	12.7	14.0
25	19.4	14.3	19.7	15.7	25.5	16.0	16.9	18.0	13.4	12.7
26	18.5	13.2	21.1	18.3	25.3	17.1	12.3	17.3	12.7	12.4
27	14.1	14.5	20.0	17.8	24.4	18.2	10.1	17.4	12.6	14.5
28	16.9	15.8	20.0	17.4	25.4	17.5	10.2	16.5	14.4	14.5
29	16.4	16.3	19.6	16.5	25.6	17.2	11.4	18.2	14.8	15.0
30	15.9	17.9	17.4	16.8	31.0	17.4	16.7	20.1	16.2	16.7
31	16.6	19.2	20.1	17.1	30.8	18.5	16.6	19.9	17.8	16.7
32	18.4	18.1	20.3	17.0	29.7	17.0	16.6	19.7	18.2	15.8
33	23.6	16.3	19.3	17.0	30.8	17.5	20.5	16.3	19.0	14.4
34	23.3	16.4	18.6	18.7	27.9	17.3	21.4	17.9	19.3	12.7
35	23.5	14.7	20.2	19.1	26.2	20.4	20.1	21.2	19.1	11.0
36	24.1	12.7	18.9	21.0	20.1	19.7	16.5	21.2	17.5	12.2
37	25.0	14.0	18.9	16.4	21.0	20.7	18.4	21.7	22.8	12.3
38	25.8	15.6	18.4	15.8	22.9	21.6	21.1	21.8	20.4	12.2
39	22.9	14.8	19.1	17.4	22.6	23.1	17.8	23.6	19.6	12.6
40	24.2	17.4	20.0	15.8	25.7	25.0	18.6	17.5	20.7	13.6
41	27.0	19.8	22.1	15.2	25.4	22.9	19.3	18.9	20.9	15.4
42	30.7	21.0	24.5	12.6	26.5	23.2	22.5	18.4	18.9	15.6
43	31.9	20.4	25.2	13.3	24.3	19.3	24.1	19.7	18.4	16.1
44	31.9	19.9	24.8	13.4	24.4	22.0	26.8	21.5	24.4	17.0
45	31.3	20.4	24.7	12.2	22.2	25.3	26.3	21.2	24.4	16.7
46	30.1	18.1	30.8	19.5	19.5	23.0	27.8	25.9	22.5	16.6
47	27.2	17.3	30.9	23.6	19.3	23.1	27.4	33.2	22.7	17.0
48	23.0	17.0	29.2	30.7	18.1	24.0	27.7	32.7	24.0	15.8
49	23.8	16.9	30.9	31.5	20.2	27.2	27.4	32.9	23.5	14.4
50	28.6	17.0	32.9	32.8	26.4	21.9	25.7	35.6	21.8	21.2
51	32.4	16.6	31.8	33.5	33.1	22.1	29.1	36.5	22.6	34.9
52	31.9	15.1	27.8	32.0	36.0	23.2	27.4	36.1	23.0	35.9
53	34.0	22.5	26.4	33.6	39.9	25.2	30.7	37.7	20.6	37.5
54	39.4	27.1	25.3	29.4	40.5	23.3	29.8	38.3	20.0	41.0
55	39.2	30.6	19.3	32.7	39.7	32.3	34.3	38.8	20.7	43.1
56	36.2	31.3	22.8	41.2	37.9	41.2	38.1	37.8	43.6	38.8
57	31.8	31.0	25.9	42.5	32.8	41.3	37.6	41.4	46.9	38.5
58	34.3	31.9	34.4	51.6	30.6	40.8	36.0	37.0	49.7	38.9
59	39.9	38.3	44.6	56.8	28.9	40.0	35.0	36.1	57.5	45.2
60	36.2	36.4	47.1	58.0	30.6	41.4	32.9	36.7	61.1	48.9
61	40.2	40.5	47.7	55.9	29.9	32.1	35.5	38.1	57.0	42.4
62	44.2	44.7	44.8	54.5	33.7	26.1	34.6	30.6	50.1	43.3
63	44.5	44.0	44.1	59.3	33.7	32.8	35.6	35.6	56.3	44.3
64	44.2	45.5	33.2	49.8	34.4	34.0	39.7	35.5	63.2	36.0
65	39.4	41.3	24.1	50.3	33.2	38.5	42.1	32.2	60.4	31.3
66	42.6	45.0	32.1	52.5	29.6	43.5	47.8	38.8	61.2	31.9
67	44.7	41.2	33.6	51.2	35.1	43.2	48.4	38.1	60.2	32.9
68	41.9	46.1	37.7	51.1	36.1	51.8	51.1	38.6	58.4	31.9
69	42.9	47.8	48.7	44.2	39.8	52.0	49.2	35.6	48.9	32.8
70	43.9	52.1	48.8	42.6	38.5	52.6	44.4	37.8	34.1	39.3
71	47.6	48.8	48.9	33.2	38.0	51.0	43.6	33.0	28.3	43.9
