	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 8.c3d
	Left Hip Moment	Left Hip Moment	Left Hip Moment	Left Hip Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y
1	0.0735	0.0693	0.0290	0.0570
2	0.0442	-0.0247	-0.0652	-0.0418
3	0.0758	0.0706	0.0866	0.0390
4	0.1057	0.0059	-0.0123	0.0867
5	0.0702	0.1585	0.1374	0.2320
6	0.3073	0.3289	0.2256	0.3565
7	0.3484	0.2897	0.1649	0.2279
8	0.3381	0.3401	0.2596	0.3113
9	0.4396	0.4472	0.3973	0.4261
10	0.5371	0.5184	0.4678	0.4976
11	0.5819	0.5862	0.5304	0.5773
12	0.6172	0.6188	0.5530	0.6141
13	0.6327	0.6367	0.5617	0.6374
14	0.6789	0.6801	0.5942	0.6568
15	0.7427	0.7233	0.6277	0.6719
16	0.7918	0.7594	0.6532	0.6942
17	0.8291	0.7734	0.6561	0.7092
18	0.8361	0.7586	0.6365	0.7257
19	0.8206	0.7363	0.6153	0.7418
20	0.8034	0.7210	0.6024	0.7458
21	0.7929	0.7144	0.5991	0.7467
22	0.7905	0.7129	0.6033	0.7515
23	0.7893	0.7114	0.6059	0.7529
24	0.7805	0.7066	0.6001	0.7447
25	0.7646	0.6982	0.5859	0.7350
26	0.7458	0.6875	0.5648	0.7256
27	0.7271	0.6769	0.5435	0.7157
28	0.7106	0.6656	0.5246	0.7092
29	0.6965	0.6550	0.5082	0.7125
30	0.6868	0.6475	0.4969	0.7248
31	0.6820	0.6455	0.4922	0.7410
32	0.6834	0.6487	0.4908	0.7592
33	0.6904	0.6572	0.4952	0.7768
34	0.7005	0.6690	0.5017	0.7920
35	0.7122	0.6815	0.5118	0.8093
36	0.7223	0.6921	0.5245	0.8299
37	0.7328	0.7022	0.5377	0.8529
38	0.7438	0.7150	0.5506	0.8693
39	0.7557	0.7306	0.5628	0.8787
40	0.7699	0.7466	0.5741	0.8857
41	0.7825	0.7597	0.5888	0.8944
42	0.8002	0.7791	0.6095	0.9027
43	0.8336	0.8054	0.6358	0.9099
44	0.8754	0.8365	0.6616	0.9160
45	0.9174	0.8640	0.6792	0.9129
46	0.9534	0.8811	0.6876	0.9058
47	0.9828	0.8910	0.6930	0.8975
48	1.0073	0.8918	0.6937	0.8761
49	1.0162	0.8845	0.6912	0.8463
50	1.0121	0.8621	0.6728	0.8103
51	0.9888	0.8219	0.6374	0.7678
52	0.9469	0.7661	0.5933	0.7313
53	0.8663	0.7006	0.5498	0.6567
54	0.7001	0.5984	0.4671	0.5558
55	0.5306	0.5029	0.3886	0.4776
56	0.4145	0.4340	0.3367	0.3965
57	0.3625	0.3492	0.2720	0.3102
58	0.3154	0.2512	0.1922	0.2260
59	0.2431	0.1603	0.1096	0.1507
60	0.1509	0.0909	0.0451	0.0938
61	0.0629	0.0541	0.0273	0.0589
62	-0.0033	0.0531	0.0475	0.0471
63	-0.0438	0.0288	0.0251	0.0386
64	-0.0381	-0.0163	-0.0330	-0.0103
65	-0.0626	-0.0596	-0.0932	-0.0313
66	-0.0742	-0.0676	-0.0877	-0.0783
67	-0.0760	-0.0647	-0.0801	-0.0755
68	-0.0708	-0.0605	-0.0684	-0.0744
69	-0.0625	-0.0562	-0.0560	-0.0711
70	-0.0530	-0.0512	-0.0456	-0.0657
71	-0.0421	-0.0451	-0.0384	-0.0588
72	-0.0294	-0.0377	-0.0340	-0.0514
73	-0.0150	-0.0294	-0.0307	-0.0439
74	0.0000	-0.0211	-0.0272	-0.0366
75	0.0139	-0.0138	-0.0233	-0.0300
76	0.0249	-0.0079	-0.0192	-0.0238
77	0.0325	-0.0032	-0.0155	-0.0178
78	0.0374	0.0011	-0.0122	-0.0117
79	0.0407	0.0055	-0.0096	-0.0068
80	0.0432	0.0097	-0.0084	-0.0043
81	0.0449	0.0128	-0.0094	-0.0050
82	0.0448	0.0144	-0.0132	-0.0084
83	0.0413	0.0147	-0.0193	-0.0130
84	0.0343	0.0143	-0.0262	-0.0175
85	0.0253	0.0136	-0.0322	-0.0212
86	0.0167	0.0120	-0.0357	-0.0242
87	0.0104	0.0089	-0.0365	-0.0266
88	0.0059	0.0037	-0.0356	-0.0282
89	0.0012	-0.0035	-0.0337	-0.0289
90	-0.0059	-0.0116	-0.0313	-0.0286
91	-0.0159	-0.0192	-0.0280	-0.0270
92	-0.0270	-0.0247	-0.0226	-0.0234
93	-0.0351	-0.0269	-0.0140	-0.0170
94	-0.0369	-0.0260	-0.0020	-0.0085
95	-0.0321	-0.0221	0.0125	0.0013
96	-0.0229	-0.0149	0.0278	0.0122
97	-0.0120	-0.0027	0.0417	0.0242
98	-0.0003	0.0169	0.0533	0.0385
99	0.0133	0.0442	0.0624	0.0556
100	0.0292	0.0740	0.0692	0.0728
101	0.0463	0.0973	0.0715	0.0822
