	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y
1	-1.46	-4.83	-3.96	-3.27	-3.99	-5.34	-1.89
2	-1.24	-4.47	-3.38	-2.73	-3.61	-4.88	-1.89
3	-1.00	-4.08	-2.78	-2.16	-3.19	-4.34	-1.89
4	-0.74	-3.66	-2.18	-1.57	-2.75	-3.75	-1.89
5	-0.47	-3.20	-1.60	-0.98	-2.29	-3.12	-1.89
6	-0.18	-2.70	-1.06	-0.43	-1.83	-2.48	-1.89
7	0.11	-2.19	-0.55	0.08	-1.40	-1.84	-1.89
8	0.40	-1.66	-0.08	0.54	-1.01	-1.23	-1.89
9	0.70	-1.15	0.35	0.93	-0.65	-0.66	-1.89
10	0.99	-0.66	0.74	1.27	-0.34	-0.14	-1.89
11	1.27	-0.22	1.09	1.57	-0.09	0.33	-1.89
12	1.55	0.18	1.41	1.83	0.12	0.75	-1.89
13	1.83	0.53	1.67	2.07	0.28	1.13	-1.89
14	2.11	0.83	1.88	2.29	0.40	1.48	-1.89
15	2.37	1.07	2.02	2.47	0.48	1.78	-1.89
16	2.61	1.25	2.08	2.62	0.52	2.03	-1.89
17	2.81	1.37	2.08	2.70	0.53	2.21	-1.89
18	2.97	1.44	2.00	2.72	0.52	2.34	-1.89
19	3.06	1.45	1.86	2.66	0.49	2.39	-1.89
20	3.09	1.41	1.68	2.54	0.45	2.38	-1.89
21	3.06	1.31	1.48	2.36	0.40	2.31	-1.89
22	2.97	1.17	1.26	2.14	0.36	2.18	-1.89
23	2.84	1.00	1.05	1.90	0.33	2.02	-1.89
24	2.68	0.81	0.84	1.65	0.31	1.84	-1.89
25	2.50	0.61	0.64	1.40	0.31	1.64	-1.89
26	2.32	0.41	0.46	1.17	0.31	1.44	-1.89
27	2.15	0.22	0.28	0.96	0.33	1.24	-1.89
28	1.99	0.05	0.12	0.78	0.36	1.07	-1.89
29	1.84	-0.09	-0.02	0.63	0.39	0.92	-1.89
30	1.72	-0.19	-0.13	0.51	0.43	0.80	-1.89
31	1.61	-0.26	-0.21	0.42	0.47	0.71	-1.89
32	1.53	-0.29	-0.26	0.36	0.51	0.65	-1.89
33	1.47	-0.28	-0.27	0.33	0.56	0.62	-1.89
34	1.43	-0.24	-0.26	0.32	0.61	0.62	-1.89
35	1.42	-0.16	-0.23	0.34	0.66	0.65	-1.89
36	1.42	-0.05	-0.18	0.38	0.72	0.71	-1.89
37	1.45	0.08	-0.11	0.43	0.78	0.78	-1.89
38	1.50	0.23	-0.04	0.49	0.84	0.88	-1.89
39	1.56	0.38	0.04	0.56	0.89	0.99	-1.89
40	1.64	0.53	0.12	0.63	0.95	1.11	-1.89
41	1.72	0.67	0.20	0.69	0.99	1.24	-1.89
42	1.81	0.81	0.28	0.75	1.03	1.37	-1.89
43	1.90	0.93	0.34	0.80	1.05	1.49	-1.89
44	1.99	1.03	0.38	0.82	1.07	1.60	-1.89
45	2.06	1.11	0.38	0.83	1.06	1.68	-1.89
46	2.11	1.14	0.35	0.80	1.04	1.72	-1.89
47	2.14	1.14	0.26	0.74	0.98	1.72	-1.89
48	2.12	1.07	0.11	0.62	0.89	1.65	-1.89
