	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X
1	19.32	15.97	19.55	19.83	19.23	19.00	-10.49
2	19.27	15.93	19.43	19.76	19.26	19.19	-10.49
3	19.15	15.89	19.23	19.65	19.25	19.35	-10.49
4	18.92	15.78	18.93	19.45	19.14	19.42	-10.49
5	18.56	15.57	18.52	19.15	18.92	19.38	-10.49
6	18.08	15.23	17.98	18.73	18.56	19.19	-10.49
7	17.51	14.75	17.34	18.20	18.06	18.86	-10.49
8	16.88	14.14	16.61	17.58	17.43	18.37	-10.49
9	16.22	13.40	15.81	16.86	16.70	17.74	-10.49
10	15.53	12.54	14.95	16.07	15.89	16.98	-10.49
11	14.82	11.60	14.06	15.21	15.01	16.11	-10.49
12	14.09	10.60	13.15	14.29	14.09	15.14	-10.49
13	13.32	9.55	12.22	13.34	13.14	14.11	-10.49
14	12.51	8.49	11.29	12.36	12.18	13.02	-10.49
15	11.65	7.42	10.35	11.35	11.22	11.91	-10.49
16	10.74	6.36	9.40	10.32	10.25	10.79	-10.49
17	9.79	5.31	8.43	9.27	9.27	9.68	-10.49
18	8.80	4.26	7.44	8.20	8.29	8.58	-10.49
19	7.78	3.24	6.44	7.10	7.28	7.51	-10.49
20	6.74	2.23	5.42	5.99	6.25	6.46	-10.49
21	5.67	1.24	4.38	4.87	5.18	5.42	-10.49
22	4.59	0.28	3.33	3.74	4.06	4.39	-10.49
23	3.49	-0.65	2.27	2.62	2.90	3.37	-10.49
24	2.40	-1.54	1.20	1.51	1.70	2.36	-10.49
25	1.30	-2.39	0.13	0.42	0.46	1.37	-10.49
26	0.22	-3.20	-0.96	-0.66	-0.79	0.39	-10.49
27	-0.86	-3.98	-2.05	-1.72	-2.06	-0.58	-10.49
28	-1.92	-4.74	-3.16	-2.78	-3.33	-1.55	-10.49
29	-2.97	-5.49	-4.28	-3.84	-4.61	-2.50	-10.49
30	-4.02	-6.24	-5.41	-4.92	-5.89	-3.47	-10.49
31	-5.08	-7.01	-6.56	-6.02	-7.16	-4.46	-10.49
32	-6.14	-7.82	-7.73	-7.16	-8.44	-5.48	-10.49
33	-7.23	-8.66	-8.89	-8.33	-9.71	-6.54	-10.49
34	-8.33	-9.56	-10.06	-9.53	-10.96	-7.64	-10.49
35	-9.45	-10.50	-11.21	-10.74	-12.19	-8.77	-10.49
36	-10.57	-11.49	-12.34	-11.96	-13.36	-9.91	-10.49
37	-11.68	-12.50	-13.43	-13.15	-14.47	-11.06	-10.49
38	-12.75	-13.53	-14.49	-14.31	-15.51	-12.21	-10.49
39	-13.78	-14.54	-15.51	-15.41	-16.46	-13.33	-10.49
40	-14.75	-15.53	-16.49	-16.44	-17.32	-14.42	-10.49
41	-15.65	-16.46	-17.42	-17.40	-18.12	-15.46	-10.49
42	-16.49	-17.33	-18.32	-18.30	-18.85	-16.44	-10.49
43	-17.26	-18.12	-19.18	-19.14	-19.53	-17.36	-10.49
44	-17.96	-18.82	-19.99	-19.93	-20.18	-18.20	-10.49
45	-18.61	-19.43	-20.74	-20.67	-20.81	-18.96	-10.49
46	-19.20	-19.97	-21.43	-21.36	-21.42	-19.63	-10.49
47	-19.73	-20.44	-22.05	-22.01	-22.00	-20.21	-10.49
