	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles	Left Hip Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z
1	-7.14	-3.87	-5.01	-4.50	-2.23	-3.45	-4.37
2	-7.03	-4.38	-4.77	-4.50	-2.43	-4.02	-4.37
3	-6.83	-4.84	-4.39	-4.45	-2.62	-4.52	-4.37
4	-6.48	-5.13	-3.90	-4.25	-2.74	-4.83	-4.37
5	-5.95	-5.20	-3.34	-3.88	-2.72	-4.85	-4.37
6	-5.28	-5.04	-2.79	-3.38	-2.58	-4.59	-4.37
7	-4.58	-4.72	-2.33	-2.87	-2.36	-4.12	-4.37
8	-3.97	-4.33	-2.01	-2.45	-2.13	-3.56	-4.37
9	-3.55	-3.97	-1.84	-2.22	-1.95	-3.03	-4.37
10	-3.39	-3.68	-1.79	-2.19	-1.87	-2.61	-4.37
11	-3.47	-3.47	-1.80	-2.32	-1.90	-2.33	-4.37
12	-3.71	-3.32	-1.85	-2.54	-2.02	-2.16	-4.37
13	-4.00	-3.19	-1.89	-2.76	-2.21	-2.03	-4.37
14	-4.26	-3.06	-1.90	-2.93	-2.45	-1.88	-4.37
15	-4.41	-2.89	-1.89	-3.03	-2.70	-1.69	-4.37
16	-4.44	-2.69	-1.85	-3.04	-2.94	-1.48	-4.37
17	-4.35	-2.47	-1.79	-2.98	-3.17	-1.28	-4.37
18	-4.18	-2.22	-1.70	-2.87	-3.38	-1.15	-4.37
19	-3.94	-1.95	-1.59	-2.72	-3.54	-1.10	-4.37
20	-3.64	-1.67	-1.43	-2.53	-3.64	-1.13	-4.37
21	-3.31	-1.39	-1.23	-2.30	-3.66	-1.25	-4.37
22	-2.94	-1.13	-1.00	-2.04	-3.62	-1.42	-4.37
23	-2.56	-0.92	-0.76	-1.75	-3.51	-1.62	-4.37
24	-2.18	-0.79	-0.54	-1.46	-3.37	-1.81	-4.37
25	-1.83	-0.75	-0.38	-1.19	-3.22	-1.99	-4.37
26	-1.53	-0.80	-0.29	-0.96	-3.10	-2.14	-4.37
27	-1.31	-0.93	-0.28	-0.79	-3.02	-2.26	-4.37
28	-1.17	-1.13	-0.34	-0.68	-3.02	-2.37	-4.37
29	-1.10	-1.37	-0.46	-0.65	-3.08	-2.47	-4.37
30	-1.09	-1.62	-0.61	-0.67	-3.21	-2.58	-4.37
31	-1.11	-1.86	-0.77	-0.74	-3.40	-2.70	-4.37
32	-1.15	-2.09	-0.92	-0.85	-3.63	-2.86	-4.37
33	-1.20	-2.31	-1.08	-1.02	-3.90	-3.03	-4.37
34	-1.26	-2.52	-1.23	-1.23	-4.18	-3.23	-4.37
35	-1.34	-2.74	-1.39	-1.49	-4.46	-3.42	-4.37
36	-1.45	-2.97	-1.57	-1.80	-4.74	-3.61	-4.37
37	-1.58	-3.23	-1.77	-2.15	-5.00	-3.79	-4.37
38	-1.75	-3.51	-2.00	-2.53	-5.24	-3.97	-4.37
39	-1.95	-3.81	-2.27	-2.92	-5.45	-4.15	-4.37
40	-2.17	-4.10	-2.57	-3.30	-5.64	-4.33	-4.37
41	-2.40	-4.39	-2.90	-3.66	-5.79	-4.52	-4.37
42	-2.64	-4.66	-3.28	-3.98	-5.93	-4.70	-4.37
