	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 8.c3d
	Left Knee Moment	Left Knee Moment	Left Knee Moment	Left Knee Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y
1	0.0457	0.0708	0.0798	0.0326
2	0.1090	0.0510	-0.0016	0.0916
3	0.0792	0.0367	0.0025	0.0599
4	0.1150	0.0429	-0.0075	0.1211
5	0.1295	0.2090	0.1310	0.3034
6	0.3341	0.3417	0.1652	0.3782
7	0.3741	0.3204	0.1327	0.2816
8	0.3575	0.3515	0.2172	0.3295
9	0.4206	0.4177	0.3121	0.3951
10	0.4712	0.4505	0.3450	0.4284
11	0.4840	0.4856	0.3699	0.4739
12	0.4954	0.4989	0.3635	0.4922
13	0.4983	0.5028	0.3491	0.5010
14	0.5356	0.5238	0.3562	0.5052
15	0.5821	0.5432	0.3670	0.5052
16	0.6127	0.5589	0.3764	0.5128
17	0.6379	0.5618	0.3732	0.5200
18	0.6449	0.5458	0.3561	0.5308
19	0.6359	0.5233	0.3381	0.5418
20	0.6217	0.5030	0.3242	0.5407
21	0.6066	0.4865	0.3158	0.5323
22	0.5935	0.4728	0.3116	0.5220
23	0.5799	0.4596	0.3062	0.5069
24	0.5617	0.4451	0.2960	0.4848
25	0.5397	0.4294	0.2803	0.4668
26	0.5155	0.4132	0.2603	0.4529
27	0.4911	0.3976	0.2407	0.4399
28	0.4690	0.3826	0.2230	0.4310
29	0.4505	0.3690	0.2075	0.4300
30	0.4379	0.3587	0.1960	0.4362
31	0.4312	0.3531	0.1889	0.4454
32	0.4307	0.3516	0.1841	0.4558
33	0.4350	0.3537	0.1833	0.4656
34	0.4422	0.3579	0.1832	0.4741
35	0.4503	0.3621	0.1846	0.4837
36	0.4569	0.3647	0.1870	0.4953
37	0.4637	0.3659	0.1895	0.5099
38	0.4714	0.3678	0.1915	0.5187
39	0.4803	0.3705	0.1928	0.5215
40	0.4900	0.3735	0.1938	0.5228
41	0.4986	0.3761	0.1974	0.5230
42	0.5135	0.3844	0.2062	0.5205
43	0.5462	0.3995	0.2207	0.5165
44	0.5888	0.4203	0.2381	0.5133
45	0.6317	0.4415	0.2537	0.5053
46	0.6716	0.4586	0.2662	0.4956
47	0.7054	0.4731	0.2779	0.4882
48	0.7308	0.4835	0.2886	0.4785
49	0.7411	0.4901	0.2990	0.4699
50	0.7377	0.4886	0.3026	0.4627
51	0.7183	0.4763	0.2981	0.4549
52	0.6847	0.4542	0.2892	0.4503
53	0.6136	0.4242	0.2801	0.4213
54	0.4512	0.3719	0.2488	0.3738
55	0.3189	0.3218	0.2187	0.3336
56	0.2389	0.2854	0.2000	0.2877
57	0.2133	0.2396	0.1717	0.2366
58	0.1967	0.1849	0.1314	0.1852
59	0.1649	0.1291	0.0823	0.1363
60	0.1162	0.0775	0.0354	0.0917
61	0.0591	0.0398	0.0131	0.0541
62	0.0056	0.0245	0.0124	0.0312
63	-0.0299	0.0077	0.0025	0.0173
64	-0.0295	-0.0120	-0.0188	-0.0038
65	-0.0339	-0.0302	-0.0369	-0.0113
66	-0.0351	-0.0340	-0.0342	-0.0320
67	-0.0345	-0.0324	-0.0313	-0.0299
68	-0.0325	-0.0289	-0.0270	-0.0280
69	-0.0292	-0.0248	-0.0224	-0.0253
70	-0.0250	-0.0212	-0.0187	-0.0225
71	-0.0204	-0.0184	-0.0164	-0.0203
72	-0.0159	-0.0165	-0.0151	-0.0188
73	-0.0116	-0.0151	-0.0140	-0.0176
74	-0.0077	-0.0137	-0.0124	-0.0163
75	-0.0039	-0.0120	-0.0103	-0.0147
76	-0.0002	-0.0100	-0.0080	-0.0128
77	0.0031	-0.0079	-0.0059	-0.0106
78	0.0058	-0.0058	-0.0044	-0.0083
79	0.0079	-0.0038	-0.0039	-0.0063
80	0.0092	-0.0020	-0.0048	-0.0051
81	0.0096	-0.0005	-0.0074	-0.0050
82	0.0090	0.0006	-0.0118	-0.0064
83	0.0074	0.0012	-0.0176	-0.0090
84	0.0049	0.0013	-0.0241	-0.0124
85	0.0017	0.0008	-0.0299	-0.0159
86	-0.0014	-0.0002	-0.0336	-0.0187
87	-0.0039	-0.0016	-0.0339	-0.0200
88	-0.0052	-0.0032	-0.0304	-0.0198
89	-0.0055	-0.0052	-0.0232	-0.0184
90	-0.0051	-0.0076	-0.0136	-0.0164
91	-0.0047	-0.0102	-0.0032	-0.0136
92	-0.0047	-0.0121	0.0072	-0.0095
93	-0.0045	-0.0123	0.0173	-0.0035
94	-0.0031	-0.0101	0.0267	0.0033
95	-0.0006	-0.0061	0.0346	0.0090
96	0.0022	-0.0016	0.0392	0.0125
97	0.0033	0.0031	0.0393	0.0144
98	0.0018	0.0089	0.0350	0.0164
99	-0.0014	0.0177	0.0282	0.0201
100	-0.0032	0.0295	0.0219	0.0259
101	-0.0001	0.0404	0.0184	0.0302
