	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y
1	2.60	2.55	2.30	2.69	2.68	2.76	2.75
2	2.58	2.51	2.25	2.67	2.65	2.72	2.75
3	2.56	2.46	2.23	2.65	2.61	2.63	2.75
4	2.55	2.41	2.27	2.62	2.57	2.50	2.75
5	2.57	2.40	2.38	2.63	2.56	2.38	2.75
6	2.63	2.43	2.55	2.69	2.61	2.31	2.75
7	2.75	2.53	2.78	2.82	2.73	2.31	2.75
8	2.91	2.69	3.02	3.00	2.91	2.42	2.75
9	3.10	2.88	3.26	3.21	3.15	2.60	2.75
10	3.29	3.11	3.47	3.43	3.41	2.86	2.75
11	3.47	3.35	3.65	3.63	3.67	3.14	2.75
12	3.62	3.59	3.78	3.80	3.92	3.45	2.75
13	3.75	3.82	3.88	3.95	4.14	3.74	2.75
14	3.86	4.04	3.93	4.05	4.32	4.01	2.75
15	3.95	4.23	3.96	4.12	4.46	4.24	2.75
16	4.02	4.38	3.95	4.16	4.54	4.42	2.75
17	4.06	4.49	3.93	4.17	4.58	4.53	2.75
18	4.09	4.55	3.89	4.16	4.58	4.57	2.75
19	4.10	4.57	3.85	4.14	4.55	4.55	2.75
20	4.10	4.54	3.80	4.11	4.51	4.48	2.75
21	4.08	4.49	3.76	4.07	4.45	4.39	2.75
22	4.05	4.40	3.72	4.04	4.39	4.29	2.75
23	4.00	4.31	3.68	3.99	4.32	4.20	2.75
24	3.94	4.20	3.66	3.95	4.25	4.12	2.75
25	3.87	4.09	3.63	3.90	4.17	4.06	2.75
26	3.79	3.98	3.61	3.85	4.08	4.01	2.75
27	3.70	3.89	3.60	3.80	3.98	3.97	2.75
28	3.61	3.80	3.59	3.75	3.86	3.94	2.75
29	3.52	3.73	3.59	3.70	3.74	3.90	2.75
30	3.43	3.66	3.60	3.66	3.62	3.86	2.75
31	3.36	3.61	3.61	3.63	3.52	3.83	2.75
32	3.29	3.58	3.62	3.59	3.44	3.79	2.75
33	3.24	3.55	3.62	3.57	3.38	3.76	2.75
34	3.21	3.53	3.62	3.55	3.35	3.74	2.75
35	3.20	3.52	3.62	3.55	3.34	3.73	2.75
36	3.21	3.52	3.61	3.56	3.37	3.74	2.75
37	3.24	3.53	3.61	3.60	3.41	3.75	2.75
38	3.29	3.57	3.61	3.65	3.48	3.78	2.75
39	3.36	3.62	3.62	3.72	3.56	3.83	2.75
40	3.44	3.68	3.64	3.81	3.65	3.88	2.75
41	3.53	3.76	3.66	3.91	3.74	3.93	2.75
42	3.62	3.84	3.69	4.00	3.82	3.98	2.75
43	3.71	3.91	3.71	4.08	3.90	4.03	2.75
44	3.79	3.97	3.72	4.14	3.95	4.07	2.75
45	3.85	4.01	3.72	4.17	3.98	4.09	2.75
46	3.89	4.03	3.70	4.16	3.98	4.09	2.75
47	3.90	4.02	3.65	4.11	3.94	4.07	2.75
48	3.88	3.98	3.57	4.02	3.88	4.03	2.75
49	3.83	3.92	3.47	3.90	3.78	3.96	2.75
50	3.75	3.83	3.36	3.77	3.67	3.87	2.75
51	3.66	3.72	3.24	3.61	3.53	3.76	2.75
52	3.56	3.59	3.14	3.46	3.37	3.61	2.75
53	3.45	3.44	3.04	3.32	3.22	3.44	2.75
54	3.35	3.29	2.96	3.19	3.07	3.26	2.75
55	3.26	3.13	2.87	3.07	2.91	3.07	2.75
56	3.19	2.96	2.73	2.93	2.76	2.87	2.75
57	3.11	2.77	2.50	2.74	2.57	2.66	2.75
58	3.02	2.55	2.13	2.45	2.35	2.42	2.75
59	2.87	2.26	1.61	2.03	2.06	2.14	2.75
60	2.64	1.89	0.97	1.48	1.69	1.79	2.75
61	2.29	1.46	0.29	0.85	1.25	1.38	2.75
62	1.82	1.00	-0.35	0.22	0.78	0.94	2.75
63	1.28	0.56	-0.85	-0.33	0.32	0.53	2.75
64	0.73	0.20	-1.17	-0.73	-0.09	0.20	2.75
65	0.28	-0.03	-1.30	-0.95	-0.40	0.01	2.75
66	-0.03	-0.13	-1.29	-1.00	-0.61	-0.04	2.75
67	-0.16	-0.11	-1.19	-0.93	-0.72	0.03	2.75
68	-0.14	-0.03	-1.06	-0.80	-0.75	0.17	2.75
69	-0.02	0.08	-0.94	-0.69	-0.74	0.32	2.75
70	0.13	0.17	-0.84	-0.61	-0.71	0.43	2.75
71	0.25	0.22	-0.75	-0.59	-0.67	0.48	2.75
72	0.31	0.26	-0.64	-0.58	-0.64	0.44	2.75
73	0.30	0.30	-0.48	-0.57	-0.60	0.35	2.75
74	0.26	0.39	-0.26	-0.51	-0.55	0.24	2.75
75	0.21	0.57	0.03	-0.36	-0.47	0.17	2.75
76	0.20	0.88	0.39	-0.12	-0.35	0.19	2.75
77	0.27	1.32	0.83	0.23	-0.16	0.33	2.75
78	0.44	1.89	1.31	0.69	0.09	0.60	2.75
79	0.71	2.55	1.82	1.22	0.40	0.97	2.75
80	1.09	3.26	2.33	1.80	0.78	1.44	2.75
81	1.54	3.95	2.83	2.39	1.21	1.95	2.75
82	2.04	4.57	3.29	2.94	1.66	2.48	2.75
83	2.54	5.09	3.69	3.41	2.13	2.98	2.75
84	2.99	5.45	4.03	3.77	2.57	3.44	2.75
85	3.37	5.66	4.28	4.00	2.97	3.82	2.75
86	3.65	5.70	4.45	4.11	3.31	4.12	2.75
87	3.83	5.60	4.53	4.10	3.58	4.33	2.75
88	3.92	5.38	4.53	4.02	3.77	4.45	2.75
89	3.93	5.07	4.46	3.88	3.88	4.46	2.75
90	3.90	4.72	4.33	3.70	3.91	4.37	2.75
91	3.82	4.35	4.14	3.51	3.86	4.20	2.75
92	3.71	4.00	3.93	3.31	3.76	3.96	2.75
93	3.57	3.68	3.69	3.13	3.62	3.70	2.75
