	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X
1	2.71	2.74	5.36	3.53	5.05	2.89	-0.65
2	4.00	3.96	6.81	4.93	6.59	4.72	-0.65
3	5.37	5.34	8.28	6.41	8.31	6.65	-0.65
4	6.67	6.73	9.69	7.86	10.06	8.52	-0.65
5	7.85	8.05	10.97	9.24	11.73	10.24	-0.65
6	8.89	9.24	12.09	10.52	13.24	11.78	-0.65
7	9.81	10.28	13.01	11.69	14.53	13.11	-0.65
8	10.66	11.14	13.74	12.74	15.59	14.21	-0.65
9	11.45	11.78	14.26	13.65	16.41	15.05	-0.65
10	12.17	12.21	14.60	14.40	17.00	15.64	-0.65
11	12.80	12.41	14.77	14.96	17.39	15.99	-0.65
12	13.32	12.39	14.79	15.34	17.60	16.09	-0.65
13	13.71	12.17	14.69	15.53	17.67	15.97	-0.65
14	13.93	11.80	14.50	15.56	17.62	15.65	-0.65
15	14.01	11.30	14.23	15.44	17.47	15.18	-0.65
16	13.93	10.72	13.90	15.19	17.24	14.58	-0.65
17	13.73	10.08	13.54	14.84	16.95	13.89	-0.65
18	13.42	9.42	13.15	14.41	16.61	13.14	-0.65
19	13.01	8.74	12.73	13.90	16.20	12.35	-0.65
20	12.53	8.06	12.29	13.33	15.72	11.52	-0.65
21	11.98	7.39	11.80	12.70	15.16	10.68	-0.65
22	11.37	6.72	11.28	12.03	14.52	9.83	-0.65
23	10.72	6.07	10.70	11.31	13.79	8.97	-0.65
24	10.03	5.44	10.08	10.56	12.97	8.11	-0.65
25	9.29	4.83	9.40	9.78	12.08	7.26	-0.65
26	8.51	4.24	8.68	8.98	11.13	6.42	-0.65
27	7.70	3.67	7.92	8.16	10.12	5.59	-0.65
28	6.86	3.13	7.13	7.33	9.08	4.76	-0.65
29	5.99	2.60	6.33	6.48	8.01	3.93	-0.65
30	5.09	2.09	5.52	5.63	6.93	3.11	-0.65
31	4.18	1.59	4.72	4.77	5.86	2.29	-0.65
32	3.26	1.10	3.95	3.91	4.80	1.49	-0.65
33	2.35	0.62	3.21	3.05	3.78	0.70	-0.65
34	1.45	0.13	2.53	2.24	2.82	-0.05	-0.65
35	0.59	-0.34	1.92	1.47	1.94	-0.74	-0.65
36	-0.22	-0.79	1.39	0.78	1.17	-1.36	-0.65
37	-0.94	-1.21	0.96	0.19	0.54	-1.89	-0.65
38	-1.55	-1.56	0.62	-0.27	0.05	-2.31	-0.65
39	-2.01	-1.82	0.40	-0.59	-0.26	-2.59	-0.65
40	-2.30	-1.96	0.31	-0.74	-0.39	-2.74	-0.65
41	-2.40	-1.96	0.35	-0.74	-0.35	-2.73	-0.65
42	-2.32	-1.78	0.53	-0.57	-0.14	-2.56	-0.65
43	-2.04	-1.43	0.88	-0.24	0.22	-2.20	-0.65
44	-1.58	-0.90	1.39	0.26	0.73	-1.65	-0.65
45	-0.95	-0.19	2.08	0.91	1.38	-0.90	-0.65
46	-0.16	0.70	2.97	1.72	2.15	0.06	-0.65
47	0.76	1.76	4.06	2.70	3.05	1.24	-0.65
48	1.83	2.99	5.36	3.85	4.09	2.63	-0.65
49	3.03	4.40	6.87	5.19	5.29	4.22	-0.65
50	4.37	5.98	8.61	6.72	6.68	6.02	-0.65
51	5.88	7.76	10.57	8.47	8.28	8.01	-0.65
52	7.58	9.77	12.79	10.45	10.12	10.21	-0.65
53	9.50	12.01	15.26	12.69	12.24	12.61	-0.65
54	11.66	14.53	18.03	15.21	14.64	15.23	-0.65
55	14.10	17.35	21.10	18.04	17.34	18.11	-0.65
56	16.85	20.49	24.50	21.20	20.36	21.26	-0.65
57	19.93	23.95	28.21	24.70	23.66	24.69	-0.65
58	23.34	27.71	32.20	28.52	27.24	28.40	-0.65
59	27.08	31.73	36.40	32.60	31.04	32.35	-0.65
60	31.11	35.95	40.72	36.86	35.00	36.50	-0.65
61	35.38	40.27	45.05	41.20	39.05	40.77	-0.65
62	39.79	44.61	49.27	45.49	43.09	45.07	-0.65
63	44.24	48.86	53.29	49.64	47.03	49.27	-0.65
64	48.61	52.94	57.02	53.56	50.80	53.28	-0.65
65	52.81	56.77	60.39	57.16	54.31	57.00	-0.65
66	56.72	60.26	63.36	60.40	57.51	60.37	-0.65
67	60.30	63.38	65.89	63.23	60.36	63.33	-0.65
68	63.48	66.07	67.97	65.63	62.82	65.85	-0.65
69	66.22	68.32	69.58	67.55	64.88	67.90	-0.65
70	68.51	70.10	70.73	68.99	66.52	69.46	-0.65
71	70.30	71.41	71.43	69.92	67.75	70.55	-0.65
72	71.62	72.27	71.68	70.35	68.56	71.17	-0.65
73	72.44	72.70	71.52	70.30	68.98	71.37	-0.65
74	72.79	72.71	70.96	69.80	69.01	71.15	-0.65
75	72.68	72.32	70.02	68.87	68.66	70.56	-0.65
76	72.12	71.55	68.71	67.54	67.96	69.62	-0.65
77	71.15	70.42	67.04	65.84	66.91	68.35	-0.65
78	69.77	68.95	65.04	63.79	65.52	66.75	-0.65
79	68.01	67.14	62.71	61.40	63.80	64.85	-0.65
80	65.87	65.02	60.05	58.70	61.74	62.65	-0.65
81	63.38	62.59	57.10	55.69	59.36	60.15	-0.65
82	60.55	59.89	53.85	52.39	56.66	57.37	-0.65
83	57.40	56.93	50.34	48.83	53.66	54.29	-0.65
84	53.95	53.73	46.59	45.03	50.38	50.94	-0.65
85	50.22	50.34	42.63	41.00	46.84	47.31	-0.65
86	46.23	46.77	38.50	36.79	43.07	43.43	-0.65
87	42.01	43.07	34.25	32.41	39.11	39.32	-0.65
88	37.59	39.28	29.92	27.91	35.02	35.02	-0.65
89	33.00	35.43	25.59	23.35	30.85	30.60	-0.65
90	28.31	31.58	21.33	18.83	26.67	26.13	-0.65
91	23.61	27.79	17.23	14.45	22.59	21.72	-0.65
