	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 8.c3d
	Left Knee Moment	Left Knee Moment	Left Knee Moment	Left Knee Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X
1	-0.1018	-0.2198	-0.3327	-0.0228
2	-0.5224	-0.3976	-0.3433	-0.5106
3	0.0647	0.1511	0.1888	0.1230
4	0.1252	-0.1190	-0.1834	0.0879
5	-0.2731	-0.2813	-0.3407	-0.2838
6	-0.1753	-0.0871	-0.1808	-0.1024
7	-0.1795	-0.2329	-0.3608	-0.2927
8	-0.3213	-0.3217	-0.4289	-0.4122
9	-0.4141	-0.4228	-0.5264	-0.5115
10	-0.4968	-0.4748	-0.5536	-0.5389
11	-0.5158	-0.4725	-0.5373	-0.5004
12	-0.5118	-0.4597	-0.5248	-0.4618
13	-0.4956	-0.4541	-0.5315	-0.4327
14	-0.4509	-0.4689	-0.5642	-0.4340
15	-0.4335	-0.5071	-0.6184	-0.4573
16	-0.4496	-0.5484	-0.6673	-0.4735
17	-0.4535	-0.5721	-0.6936	-0.4754
18	-0.4392	-0.5785	-0.7014	-0.4709
19	-0.4224	-0.5842	-0.7053	-0.4695
20	-0.4186	-0.5985	-0.7131	-0.4709
21	-0.4301	-0.6176	-0.7204	-0.4678
22	-0.4484	-0.6300	-0.7178	-0.4529
23	-0.4627	-0.6278	-0.7018	-0.4280
24	-0.4677	-0.6135	-0.6756	-0.3972
25	-0.4651	-0.5929	-0.6458	-0.3736
26	-0.4606	-0.5733	-0.6161	-0.3599
27	-0.4584	-0.5578	-0.5892	-0.3523
28	-0.4582	-0.5464	-0.5671	-0.3507
29	-0.4580	-0.5409	-0.5509	-0.3539
30	-0.4564	-0.5395	-0.5386	-0.3593
31	-0.4543	-0.5414	-0.5287	-0.3675
32	-0.4519	-0.5464	-0.5211	-0.3800
33	-0.4509	-0.5530	-0.5172	-0.3953
34	-0.4525	-0.5615	-0.5166	-0.4097
35	-0.4566	-0.5728	-0.5186	-0.4240
36	-0.4639	-0.5843	-0.5243	-0.4406
37	-0.4743	-0.5946	-0.5334	-0.4630
38	-0.4876	-0.6043	-0.5461	-0.4827
39	-0.5023	-0.6148	-0.5621	-0.4939
40	-0.5200	-0.6276	-0.5787	-0.4920
41	-0.5409	-0.6398	-0.5925	-0.4750
42	-0.5600	-0.6502	-0.5994	-0.4456
43	-0.5723	-0.6520	-0.5954	-0.4117
44	-0.5791	-0.6406	-0.5774	-0.3833
45	-0.5824	-0.6145	-0.5436	-0.3541
46	-0.5803	-0.5784	-0.5027	-0.3257
47	-0.5781	-0.5363	-0.4587	-0.2960
48	-0.5794	-0.4909	-0.4102	-0.2637
49	-0.5831	-0.4439	-0.3623	-0.2303
50	-0.5889	-0.3923	-0.3108	-0.1972
51	-0.5908	-0.3382	-0.2552	-0.1670
52	-0.5884	-0.2775	-0.1954	-0.1365
53	-0.5561	-0.2179	-0.1360	-0.1066
54	-0.4557	-0.1544	-0.0730	-0.0696
55	-0.3614	-0.0889	-0.0083	-0.0318
56	-0.2712	-0.0301	0.0448	0.0103
57	-0.1973	0.0196	0.0873	0.0504
58	-0.1278	0.0525	0.1092	0.0814
59	-0.0611	0.0583	0.0924	0.0901
60	-0.0202	0.0267	0.0228	0.0516
61	-0.0301	-0.0021	-0.0216	-0.0058
62	-0.0740	0.0615	0.0589	0.0144
63	-0.0789	0.0848	0.0893	0.0957
64	-0.0508	0.0306	0.0236	0.0451
65	-0.0669	-0.0305	-0.0630	0.0063
66	-0.0611	-0.0264	-0.0341	-0.0540
67	-0.0423	-0.0088	-0.0146	-0.0271
68	-0.0188	0.0056	0.0008	-0.0088
69	0.0010	0.0136	0.0085	0.0029
70	0.0132	0.0160	0.0087	0.0079
71	0.0176	0.0139	0.0037	0.0072
72	0.0161	0.0092	-0.0027	0.0029
73	0.0117	0.0036	-0.0075	-0.0021
74	0.0071	-0.0012	-0.0094	-0.0057
75	0.0035	-0.0045	-0.0087	-0.0075
76	0.0014	-0.0070	-0.0068	-0.0086
77	-0.0002	-0.0094	-0.0055	-0.0103
78	-0.0021	-0.0124	-0.0063	-0.0134
79	-0.0052	-0.0163	-0.0097	-0.0181
80	-0.0095	-0.0210	-0.0154	-0.0239
81	-0.0147	-0.0267	-0.0230	-0.0304
82	-0.0205	-0.0329	-0.0314	-0.0368
83	-0.0264	-0.0392	-0.0398	-0.0427
84	-0.0321	-0.0449	-0.0468	-0.0478
85	-0.0375	-0.0499	-0.0517	-0.0516
86	-0.0428	-0.0542	-0.0542	-0.0540
87	-0.0481	-0.0583	-0.0550	-0.0550
88	-0.0536	-0.0627	-0.0559	-0.0559
89	-0.0596	-0.0685	-0.0592	-0.0599
90	-0.0671	-0.0778	-0.0677	-0.0710
91	-0.0787	-0.0928	-0.0838	-0.0920
92	-0.0972	-0.1146	-0.1084	-0.1223
93	-0.1235	-0.1418	-0.1390	-0.1560
94	-0.1554	-0.1697	-0.1703	-0.1830
95	-0.1863	-0.1910	-0.1943	-0.1926
96	-0.2076	-0.1972	-0.2027	-0.1776
97	-0.2112	-0.1821	-0.1899	-0.1373
98	-0.1920	-0.1447	-0.1551	-0.0768
99	-0.1498	-0.0934	-0.1028	-0.0096
100	-0.0919	-0.0448	-0.0437	0.0427
101	-0.0338	-0.0138	0.0053	0.0624
