	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z
1	-12.03	-11.57	-9.04	-11.48	-10.54	-11.47	-12.60
2	-11.74	-11.10	-8.70	-10.99	-10.00	-10.77	-12.60
3	-11.49	-10.64	-8.52	-10.57	-9.50	-10.05	-12.60
4	-11.34	-10.24	-8.52	-10.28	-9.07	-9.38	-12.60
5	-11.34	-9.96	-8.66	-10.16	-8.76	-8.86	-12.60
6	-11.46	-9.83	-8.88	-10.18	-8.60	-8.53	-12.60
7	-11.66	-9.81	-9.11	-10.29	-8.56	-8.42	-12.60
8	-11.85	-9.88	-9.30	-10.39	-8.62	-8.49	-12.60
9	-11.95	-9.97	-9.41	-10.41	-8.73	-8.68	-12.60
10	-11.91	-10.07	-9.47	-10.33	-8.87	-8.90	-12.60
11	-11.73	-10.19	-9.49	-10.17	-9.00	-9.13	-12.60
12	-11.46	-10.34	-9.52	-9.98	-9.15	-9.35	-12.60
13	-11.18	-10.55	-9.58	-9.83	-9.31	-9.60	-12.60
14	-10.96	-10.85	-9.68	-9.78	-9.49	-9.91	-12.60
15	-10.84	-11.22	-9.80	-9.82	-9.68	-10.27	-12.60
16	-10.85	-11.66	-9.92	-9.98	-9.88	-10.68	-12.60
17	-10.98	-12.13	-10.00	-10.20	-10.06	-11.10	-12.60
18	-11.19	-12.62	-10.04	-10.47	-10.22	-11.49	-12.60
19	-11.47	-13.09	-10.02	-10.73	-10.35	-11.83	-12.60
20	-11.77	-13.51	-9.95	-10.98	-10.46	-12.08	-12.60
21	-12.06	-13.87	-9.86	-11.18	-10.55	-12.25	-12.60
22	-12.34	-14.13	-9.77	-11.34	-10.65	-12.34	-12.60
23	-12.57	-14.29	-9.71	-11.44	-10.77	-12.35	-12.60
24	-12.76	-14.32	-9.70	-11.51	-10.90	-12.29	-12.60
25	-12.88	-14.25	-9.72	-11.54	-11.05	-12.19	-12.60
26	-12.94	-14.09	-9.77	-11.54	-11.20	-12.06	-12.60
27	-12.93	-13.85	-9.83	-11.51	-11.34	-11.91	-12.60
28	-12.86	-13.59	-9.89	-11.46	-11.45	-11.76	-12.60
29	-12.74	-13.30	-9.95	-11.39	-11.52	-11.65	-12.60
30	-12.57	-13.02	-10.00	-11.33	-11.54	-11.56	-12.60
31	-12.39	-12.74	-10.04	-11.28	-11.52	-11.50	-12.59
32	-12.19	-12.48	-10.07	-11.26	-11.45	-11.46	-12.59
33	-12.00	-12.24	-10.09	-11.27	-11.35	-11.41	-12.59
34	-11.83	-12.03	-10.11	-11.28	-11.22	-11.36	-12.59
35	-11.68	-11.84	-10.10	-11.26	-11.07	-11.30	-12.59
36	-11.56	-11.67	-10.08	-11.21	-10.90	-11.25	-12.59
37	-11.46	-11.52	-10.04	-11.10	-10.73	-11.20	-12.59
38	-11.38	-11.40	-9.97	-10.93	-10.55	-11.15	-12.59
39	-11.31	-11.30	-9.88	-10.71	-10.35	-11.11	-12.59
40	-11.23	-11.22	-9.76	-10.45	-10.14	-11.05	-12.59
41	-11.14	-11.14	-9.61	-10.15	-9.90	-10.99	-12.59
42	-11.03	-11.06	-9.44	-9.84	-9.63	-10.91	-12.59
43	-10.94	-10.98	-9.25	-9.52	-9.36	-10.80	-12.59
44	-10.84	-10.89	-9.03	-9.20	-9.07	-10.68	-12.59
45	-10.76	-10.78	-8.80	-8.89	-8.80	-10.54	-12.59
46	-10.67	-10.65	-8.55	-8.59	-8.54	-10.39	-12.59
47	-10.57	-10.53	-8.31	-8.31	-8.31	-10.22	-12.59
48	-10.46	-10.40	-8.10	-8.07	-8.11	-10.03	-12.59
49	-10.35	-10.27	-7.96	-7.87	-7.95	-9.83	-12.59
50	-10.24	-10.16	-7.92	-7.74	-7.85	-9.65	-12.59
51	-10.17	-10.09	-8.00	-7.70	-7.82	-9.51	-12.59
52	-10.15	-10.08	-8.22	-7.77	-7.88	-9.45	-12.59
53	-10.20	-10.14	-8.56	-7.97	-8.05	-9.50	-12.59
54	-10.33	-10.30	-8.95	-8.29	-8.33	-9.69	-12.59
55	-10.53	-10.54	-9.34	-8.72	-8.71	-10.00	-12.59
56	-10.80	-10.85	-9.65	-9.19	-9.18	-10.42	-12.59
57	-11.12	-11.18	-9.82	-9.64	-9.69	-10.88	-12.59
58	-11.42	-11.48	-9.84	-10.01	-10.21	-11.31	-12.59
59	-11.68	-11.70	-9.74	-10.26	-10.70	-11.66	-12.59
60	-11.84	-11.83	-9.59	-10.42	-11.12	-11.88	-12.59
61	-11.88	-11.89	-9.49	-10.57	-11.48	-11.99	-12.59
62	-11.83	-11.93	-9.54	-10.80	-11.79	-12.04	-12.59
63	-11.73	-12.02	-9.80	-11.21	-12.09	-12.10	-12.59
64	-11.67	-12.22	-10.30	-11.86	-12.43	-12.27	-12.58
65	-11.73	-12.58	-11.05	-12.76	-12.84	-12.59	-12.58
66	-11.94	-13.12	-12.01	-13.89	-13.36	-13.11	-12.58
67	-12.33	-13.83	-13.12	-15.21	-14.01	-13.83	-12.58
68	-12.88	-14.67	-14.32	-16.63	-14.79	-14.73	-12.58
69	-13.57	-15.60	-15.54	-18.01	-15.66	-15.77	-12.58
70	-14.37	-16.55	-16.71	-19.22	-16.59	-16.90	-12.58
71	-15.24	-17.47	-17.78	-20.20	-17.54	-18.03	-12.58
72	-16.13	-18.28	-18.70	-20.91	-18.44	-19.10	-12.58
73	-17.01	-18.96	-19.46	-21.39	-19.25	-20.02	-12.58
74	-17.84	-19.48	-20.05	-21.65	-19.93	-20.75	-12.58
75	-18.58	-19.82	-20.50	-21.74	-20.45	-21.24	-12.58
76	-19.22	-20.02	-20.85	-21.69	-20.82	-21.49	-12.58
77	-19.75	-20.10	-21.13	-21.53	-21.03	-21.52	-12.58
