	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y
1	-2.61	-2.86	-3.65	-3.64	-2.71	-4.26	-2.05
2	-2.59	-2.73	-3.35	-3.41	-2.54	-4.06	-2.05
3	-2.53	-2.56	-3.01	-3.13	-2.33	-3.80	-2.05
4	-2.42	-2.33	-2.64	-2.81	-2.08	-3.50	-2.05
5	-2.26	-2.06	-2.25	-2.48	-1.81	-3.15	-2.05
6	-2.05	-1.75	-1.85	-2.12	-1.51	-2.77	-2.05
7	-1.80	-1.39	-1.45	-1.77	-1.20	-2.37	-2.05
8	-1.51	-1.02	-1.05	-1.41	-0.89	-1.95	-2.05
9	-1.20	-0.63	-0.68	-1.07	-0.59	-1.52	-2.05
10	-0.87	-0.25	-0.34	-0.74	-0.29	-1.08	-2.05
11	-0.54	0.12	-0.04	-0.43	-0.02	-0.65	-2.05
12	-0.22	0.45	0.21	-0.15	0.22	-0.23	-2.05
13	0.07	0.75	0.38	0.09	0.41	0.16	-2.05
14	0.32	0.99	0.48	0.26	0.56	0.51	-2.05
15	0.52	1.18	0.49	0.38	0.64	0.78	-2.05
16	0.67	1.29	0.41	0.41	0.65	0.98	-2.05
17	0.75	1.33	0.25	0.35	0.61	1.08	-2.05
18	0.75	1.29	0.01	0.22	0.51	1.08	-2.05
19	0.69	1.17	-0.27	-0.00	0.37	1.00	-2.05
20	0.56	0.97	-0.60	-0.29	0.20	0.83	-2.05
21	0.36	0.72	-0.94	-0.64	0.01	0.59	-2.05
22	0.11	0.41	-1.27	-1.02	-0.19	0.31	-2.05
23	-0.18	0.07	-1.60	-1.41	-0.39	-0.01	-2.05
24	-0.49	-0.29	-1.91	-1.81	-0.59	-0.34	-2.05
25	-0.82	-0.64	-2.19	-2.20	-0.77	-0.67	-2.05
26	-1.14	-0.99	-2.44	-2.55	-0.95	-1.00	-2.05
27	-1.44	-1.31	-2.67	-2.87	-1.11	-1.30	-2.05
28	-1.73	-1.60	-2.88	-3.16	-1.26	-1.59	-2.05
29	-1.99	-1.86	-3.05	-3.40	-1.40	-1.84	-2.05
30	-2.21	-2.07	-3.20	-3.59	-1.53	-2.07	-2.05
31	-2.41	-2.24	-3.32	-3.75	-1.65	-2.26	-2.05
32	-2.58	-2.37	-3.41	-3.88	-1.74	-2.42	-2.05
33	-2.71	-2.45	-3.47	-3.97	-1.82	-2.55	-2.05
34	-2.81	-2.49	-3.52	-4.03	-1.88	-2.65	-2.05
35	-2.87	-2.48	-3.54	-4.06	-1.92	-2.72	-2.05
36	-2.89	-2.45	-3.54	-4.06	-1.93	-2.75	-2.05
37	-2.88	-2.39	-3.52	-4.04	-1.92	-2.76	-2.05
38	-2.85	-2.30	-3.48	-3.99	-1.88	-2.73	-2.05
39	-2.78	-2.19	-3.43	-3.91	-1.81	-2.67	-2.05
40	-2.68	-2.06	-3.35	-3.81	-1.72	-2.60	-2.05
41	-2.56	-1.93	-3.25	-3.69	-1.61	-2.50	-2.05
42	-2.42	-1.78	-3.13	-3.54	-1.48	-2.40	-2.05
43	-2.27	-1.64	-3.01	-3.39	-1.34	-2.29	-2.05
44	-2.13	-1.51	-2.88	-3.24	-1.20	-2.19	-2.05
45	-1.99	-1.41	-2.77	-3.11	-1.07	-2.11	-2.05
46	-1.87	-1.34	-2.67	-2.99	-0.96	-2.05	-2.05
47	-1.79	-1.32	-2.60	-2.92	-0.90	-2.03	-2.05
48	-1.76	-1.35	-2.58	-2.88	-0.88	-2.05	-2.05
49	-1.77	-1.41	-2.60	-2.90	-0.92	-2.11	-2.05
50	-1.84	-1.52	-2.67	-2.96	-1.01	-2.23	-2.05
51	-1.96	-1.65	-2.79	-3.07	-1.16	-2.38	-2.05
