	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z
1	4.87	3.41	3.56	3.83	4.57	4.78	2.57
2	4.85	3.25	3.32	3.64	4.42	4.58	2.57
3	4.86	3.06	3.07	3.45	4.25	4.33	2.57
4	4.89	2.87	2.84	3.26	4.07	4.06	2.57
5	4.95	2.65	2.64	3.10	3.89	3.80	2.57
6	5.04	2.43	2.48	2.97	3.74	3.57	2.57
7	5.15	2.22	2.38	2.89	3.63	3.39	2.57
8	5.27	2.01	2.32	2.87	3.57	3.27	2.57
9	5.40	1.83	2.32	2.91	3.56	3.21	2.57
10	5.53	1.69	2.35	3.01	3.61	3.21	2.57
11	5.65	1.61	2.40	3.18	3.70	3.28	2.57
12	5.76	1.59	2.45	3.38	3.84	3.40	2.57
13	5.86	1.64	2.50	3.62	4.00	3.55	2.57
14	5.94	1.74	2.52	3.86	4.18	3.73	2.57
15	6.00	1.88	2.51	4.09	4.34	3.90	2.57
16	6.03	2.02	2.45	4.27	4.49	4.07	2.57
17	6.04	2.16	2.34	4.38	4.62	4.20	2.57
18	6.02	2.27	2.18	4.42	4.70	4.29	2.57
19	5.95	2.33	1.99	4.37	4.74	4.33	2.57
20	5.85	2.34	1.76	4.25	4.74	4.31	2.57
21	5.69	2.28	1.51	4.05	4.69	4.23	2.57
22	5.49	2.17	1.25	3.79	4.62	4.10	2.57
23	5.22	2.00	1.01	3.48	4.51	3.92	2.57
24	4.92	1.80	0.77	3.13	4.39	3.70	2.57
25	4.57	1.56	0.55	2.77	4.26	3.46	2.57
26	4.19	1.30	0.36	2.41	4.12	3.19	2.57
27	3.79	1.03	0.19	2.05	3.98	2.93	2.57
28	3.38	0.75	0.04	1.72	3.85	2.66	2.57
29	2.97	0.48	-0.08	1.41	3.71	2.41	2.57
30	2.55	0.21	-0.19	1.15	3.59	2.17	2.57
31	2.15	-0.03	-0.27	0.93	3.47	1.96	2.57
32	1.75	-0.26	-0.34	0.75	3.37	1.76	2.57
33	1.38	-0.46	-0.40	0.61	3.27	1.59	2.57
34	1.04	-0.62	-0.46	0.50	3.19	1.45	2.57
35	0.74	-0.75	-0.51	0.41	3.11	1.33	2.57
36	0.49	-0.83	-0.56	0.34	3.02	1.25	2.57
37	0.27	-0.89	-0.61	0.27	2.93	1.21	2.57
38	0.10	-0.91	-0.67	0.18	2.82	1.19	2.57
39	-0.03	-0.90	-0.73	0.07	2.68	1.21	2.57
40	-0.13	-0.87	-0.80	-0.06	2.52	1.25	2.57
41	-0.21	-0.83	-0.87	-0.24	2.34	1.31	2.57
42	-0.26	-0.76	-0.95	-0.44	2.15	1.39	2.57
43	-0.30	-0.68	-1.04	-0.66	1.96	1.48	2.57
44	-0.31	-0.58	-1.12	-0.90	1.78	1.58	2.57
45	-0.29	-0.44	-1.20	-1.13	1.64	1.68	2.57
46	-0.24	-0.28	-1.27	-1.35	1.55	1.80	2.57
47	-0.15	-0.09	-1.32	-1.53	1.52	1.92	2.57
48	-0.02	0.10	-1.34	-1.69	1.55	2.04	2.57
49	0.15	0.27	-1.34	-1.81	1.64	2.16	2.57
50	0.34	0.40	-1.30	-1.91	1.78	2.28	2.57
51	0.52	0.46	-1.22	-1.99	1.94	2.37	2.57
52	0.67	0.46	-1.11	-2.06	2.12	2.46	2.57
53	0.78	0.38	-0.96	-2.12	2.29	2.53	2.57
54	0.83	0.25	-0.81	-2.16	2.44	2.59	2.57
55	0.82	0.09	-0.64	-2.19	2.56	2.66	2.57
56	0.76	-0.09	-0.50	-2.20	2.66	2.74	2.57
57	0.65	-0.25	-0.39	-2.19	2.73	2.82	2.57
58	0.52	-0.39	-0.33	-2.17	2.78	2.89	2.57
