	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X
1	-3.14	-6.07	-3.89	-4.57	-3.68	-5.87	-4.66
2	-3.30	-6.17	-4.03	-4.70	-3.90	-6.03	-4.66
3	-3.48	-6.28	-4.16	-4.82	-4.13	-6.18	-4.66
4	-3.68	-6.39	-4.30	-4.96	-4.37	-6.32	-4.66
5	-3.90	-6.52	-4.45	-5.12	-4.61	-6.46	-4.66
6	-4.13	-6.67	-4.59	-5.30	-4.86	-6.59	-4.66
7	-4.36	-6.83	-4.72	-5.49	-5.08	-6.71	-4.66
8	-4.59	-7.01	-4.83	-5.69	-5.29	-6.83	-4.66
9	-4.80	-7.18	-4.91	-5.89	-5.46	-6.93	-4.66
10	-4.97	-7.34	-4.95	-6.06	-5.60	-7.01	-4.66
11	-5.12	-7.46	-4.96	-6.20	-5.70	-7.05	-4.66
12	-5.23	-7.54	-4.94	-6.30	-5.76	-7.07	-4.66
13	-5.31	-7.58	-4.89	-6.36	-5.79	-7.04	-4.66
14	-5.37	-7.58	-4.82	-6.37	-5.80	-6.99	-4.66
15	-5.41	-7.54	-4.75	-6.37	-5.79	-6.90	-4.66
16	-5.44	-7.48	-4.69	-6.34	-5.78	-6.79	-4.66
17	-5.46	-7.42	-4.63	-6.32	-5.76	-6.66	-4.66
18	-5.49	-7.35	-4.60	-6.30	-5.75	-6.51	-4.66
19	-5.53	-7.29	-4.59	-6.28	-5.74	-6.35	-4.66
20	-5.57	-7.22	-4.58	-6.26	-5.74	-6.18	-4.66
21	-5.61	-7.16	-4.58	-6.24	-5.75	-6.00	-4.66
22	-5.65	-7.08	-4.57	-6.21	-5.77	-5.82	-4.66
23	-5.68	-6.98	-4.55	-6.17	-5.78	-5.63	-4.66
24	-5.70	-6.87	-4.51	-6.09	-5.80	-5.44	-4.66
25	-5.70	-6.72	-4.45	-6.00	-5.81	-5.24	-4.66
26	-5.67	-6.56	-4.38	-5.87	-5.80	-5.03	-4.66
27	-5.62	-6.38	-4.29	-5.72	-5.78	-4.81	-4.66
28	-5.54	-6.18	-4.19	-5.56	-5.75	-4.58	-4.66
29	-5.44	-5.98	-4.10	-5.39	-5.71	-4.35	-4.66
30	-5.32	-5.78	-4.01	-5.22	-5.66	-4.13	-4.66
31	-5.19	-5.60	-3.94	-5.07	-5.61	-3.93	-4.66
32	-5.06	-5.45	-3.88	-4.95	-5.57	-3.75	-4.66
33	-4.94	-5.33	-3.84	-4.86	-5.53	-3.61	-4.66
34	-4.84	-5.23	-3.81	-4.80	-5.50	-3.51	-4.66
35	-4.75	-5.17	-3.79	-4.77	-5.46	-3.46	-4.66
36	-4.67	-5.13	-3.79	-4.76	-5.43	-3.44	-4.66
37	-4.61	-5.12	-3.79	-4.77	-5.39	-3.45	-4.66
38	-4.56	-5.14	-3.80	-4.79	-5.34	-3.49	-4.66
39	-4.52	-5.16	-3.81	-4.82	-5.28	-3.55	-4.66
40	-4.49	-5.20	-3.83	-4.84	-5.21	-3.63	-4.66
41	-4.47	-5.25	-3.86	-4.87	-5.15	-3.72	-4.66
42	-4.47	-5.30	-3.91	-4.90	-5.11	-3.83	-4.66
43	-4.49	-5.35	-3.98	-4.94	-5.08	-3.95	-4.66
44	-4.53	-5.40	-4.07	-4.99	-5.09	-4.08	-4.66
45	-4.58	-5.45	-4.18	-5.06	-5.12	-4.22	-4.66
46	-4.64	-5.51	-4.31	-5.15	-5.18	-4.37	-4.66
47	-4.71	-5.57	-4.45	-5.26	-5.27	-4.53	-4.66
48	-4.79	-5.64	-4.60	-5.38	-5.37	-4.69	-4.66
49	-4.87	-5.72	-4.75	-5.52	-5.48	-4.86	-4.66
