	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d
	Left Rectus Femoris	Left Rectus Femoris	Left Rectus Femoris	Left Rectus Femoris	Left Rectus Femoris	Left Rectus Femoris	Left Rectus Femoris	Left Rectus Femoris	Left Rectus Femoris	Left Rectus Femoris
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X
1	4.2	3.2	3.6	3.6	4.3	3.8	4.0	3.1	3.1	4.3
2	2.7	3.8	3.6	4.0	4.0	4.1	4.1	3.0	2.7	4.0
3	2.7	4.1	3.7	5.4	3.8	4.3	4.8	3.3	4.9	3.6
4	3.0	6.0	3.5	5.8	6.3	9.6	5.0	4.5	5.4	5.1
5	4.3	6.0	4.5	5.9	7.5	10.2	5.5	4.8	7.1	5.3
6	5.4	6.5	4.8	6.1	10.3	12.4	5.6	5.4	7.6	6.4
7	5.7	7.3	5.2	5.8	10.5	12.4	5.3	6.0	7.7	6.7
8	6.4	6.8	5.5	5.7	10.6	12.4	4.9	5.8	7.7	6.7
9	7.0	6.2	5.4	4.4	10.9	12.2	4.9	5.7	7.7	6.1
10	7.1	5.6	5.7	4.1	9.4	10.1	5.4	5.3	6.7	5.3
11	7.2	5.4	4.8	3.8	9.0	9.2	4.7	6.5	5.9	4.8
12	6.6	4.9	4.5	3.6	5.4	6.3	5.4	6.6	6.0	4.3
13	6.2	4.0	3.6	3.6	5.9	7.9	5.4	8.3	5.8	4.3
14	5.6	5.0	3.4	3.3	6.3	7.8	5.9	8.4	4.5	5.2
15	5.1	4.8	3.4	3.1	5.7	7.7	5.6	8.5	3.9	5.3
16	5.5	4.6	3.1	3.1	5.4	6.5	6.5	7.5	3.3	5.3
17	4.2	4.5	2.8	3.7	6.5	6.7	5.9	7.0	2.7	5.5
