	GLOBAL	GLOBAL
	Right Ankle Angles_X_RHS_RHS	Right Ankle Angles_X_RHS_RHS
	P2D	P2D
	PROCESSED	PROCESSED
ITEM	1	2
1	-0.13	2.55
2	-0.92	2.59
3	-1.77	2.63
4	-2.54	2.69
5	-3.11	2.76
6	-3.38	2.82
7	-3.35	2.88
8	-3.03	2.92
9	-2.47	2.97
10	-1.73	3.01
11	-0.88	3.05
12	0.04	3.07
13	0.97	3.07
14	1.88	3.06
15	2.72	3.02
16	3.49	2.96
17	4.18	2.90
18	4.78	2.84
19	5.30	2.77
20	5.74	2.71
21	6.14	2.65
22	6.48	2.60
23	6.79	2.54
24	7.08	2.48
25	7.35	2.42
26	7.61	2.37
27	7.86	2.32
28	8.09	2.29
29	8.31	2.28
30	8.50	2.29
31	8.69	2.32
32	8.86	2.35
33	9.03	2.41
34	9.20	2.48
35	9.36	2.56
36	9.53	2.64
37	9.69	2.73
38	9.84	2.83
39	9.98	2.93
40	10.11	3.03
41	10.21	3.14
42	10.27	3.26
43	10.29	3.40
44	10.24	3.54
45	10.12	3.71
46	9.90	3.88
47	9.56	4.08
48	9.07	4.28
49	8.41	4.50
50	7.55	4.74
51	6.44	4.99
52	5.05	5.25
53	3.36	5.52
54	1.36	5.78
55	-0.93	6.02
56	-3.46	6.20
57	-6.12	6.30
58	-8.80	6.30
59	-11.34	6.20
60	-13.61	6.03
61	-15.47	5.85
62	-16.79	5.70
63	-17.52	5.63
64	-17.63	5.62
65	-17.13	5.62
66	-16.14	5.58
67	-14.76	5.48
68	-13.11	5.30
69	-11.31	5.07
70	-9.47	4.81
71	-7.64	4.54
72	-5.91	4.27
73	-4.31	4.03
74	-2.84	3.82
75	-1.53	3.64
76	-0.37	3.49
77	0.64	3.36
78	1.52	3.25
79	2.26	3.15
80	2.88	3.06
81	3.38	2.97
82	3.77	2.89
83	4.06	2.81
84	4.21	2.72
85	4.24	2.65
86	4.15	2.60
87	3.95	2.56
88	3.67	2.56
89	3.33	2.57
90	2.95	2.59
91	2.57	2.61
92	2.22	2.63
93	1.92	2.64
94	1.67	2.65
95	1.48	2.65
96	1.31	2.66
97	1.15	2.66
98	0.94	2.65
99	0.65	2.64
100	0.21	2.62
101	-0.37	2.60
