	GLOBAL	GLOBAL
	Right Ankle Angles_Y_RHS_RHS	Right Ankle Angles_Y_RHS_RHS
	P2D	P2D
	PROCESSED	PROCESSED
ITEM	1	2
1	6.49	4.04
2	5.86	4.00
3	5.11	3.96
4	4.28	3.90
5	3.43	3.82
6	2.58	3.72
7	1.74	3.60
8	0.94	3.47
9	0.18	3.34
10	-0.49	3.20
11	-1.06	3.06
12	-1.52	2.92
13	-1.84	2.79
14	-2.05	2.68
15	-2.15	2.60
16	-2.17	2.53
17	-2.14	2.49
18	-2.06	2.45
19	-1.97	2.42
20	-1.87	2.40
21	-1.77	2.38
22	-1.67	2.37
23	-1.59	2.36
24	-1.51	2.36
25	-1.44	2.37
26	-1.38	2.38
27	-1.31	2.40
28	-1.25	2.42
29	-1.19	2.44
30	-1.12	2.46
31	-1.05	2.47
32	-0.96	2.47
33	-0.85	2.48
34	-0.73	2.48
35	-0.58	2.49
36	-0.42	2.51
37	-0.23	2.54
38	-0.00	2.58
39	0.25	2.63
40	0.54	2.67
41	0.87	2.71
42	1.25	2.76
43	1.67	2.81
44	2.15	2.86
45	2.67	2.91
46	3.23	2.97
47	3.83	3.02
48	4.46	3.07
49	5.09	3.10
50	5.72	3.13
51	6.32	3.13
52	6.83	3.12
53	7.21	3.10
54	7.41	3.10
55	7.37	3.13
56	7.07	3.23
57	6.51	3.39
58	5.74	3.60
59	4.86	3.83
60	3.98	4.08
61	3.22	4.32
62	2.67	4.56
63	2.35	4.79
64	2.27	4.99
65	2.34	5.16
66	2.50	5.27
67	2.68	5.32
68	2.86	5.30
69	3.01	5.24
70	3.16	5.13
71	3.32	4.99
72	3.50	4.83
73	3.70	4.66
74	3.93	4.51
75	4.18	4.38
76	4.41	4.28
77	4.64	4.20
78	4.82	4.14
79	4.97	4.08
80	5.09	4.04
81	5.18	4.01
82	5.24	3.99
83	5.28	3.98
84	5.32	3.99
85	5.34	4.01
86	5.38	4.03
87	5.42	4.07
88	5.50	4.10
89	5.61	4.15
90	5.78	4.21
91	6.00	4.27
92	6.28	4.33
93	6.58	4.37
94	6.91	4.39
95	7.21	4.39
96	7.46	4.39
97	7.64	4.37
98	7.69	4.34
99	7.61	4.29
100	7.37	4.22
101	6.97	4.13
