	GLOBAL	GLOBAL
	Right Ankle Angles_Z_RHS_RHS	Right Ankle Angles_Z_RHS_RHS
	P2D	P2D
	PROCESSED	PROCESSED
ITEM	1	2
1	2.53	5.39
2	2.23	5.33
3	1.80	5.26
4	1.22	5.19
5	0.51	5.12
6	-0.30	5.07
7	-1.14	5.05
8	-1.94	5.05
9	-2.62	5.09
10	-3.13	5.13
11	-3.40	5.17
12	-3.45	5.18
13	-3.31	5.17
14	-3.03	5.12
15	-2.70	5.04
16	-2.39	4.97
17	-2.15	4.91
18	-1.99	4.89
19	-1.89	4.89
20	-1.83	4.90
21	-1.77	4.91
22	-1.70	4.89
23	-1.60	4.85
24	-1.48	4.80
25	-1.34	4.73
26	-1.21	4.65
27	-1.07	4.59
28	-0.94	4.54
29	-0.83	4.50
30	-0.72	4.47
31	-0.62	4.47
32	-0.53	4.47
33	-0.44	4.48
34	-0.35	4.50
35	-0.26	4.53
36	-0.16	4.56
37	-0.04	4.58
38	0.10	4.61
39	0.26	4.64
40	0.43	4.66
41	0.62	4.69
42	0.83	4.72
43	1.05	4.76
44	1.28	4.81
45	1.54	4.88
46	1.82	4.95
47	2.14	5.03
48	2.52	5.12
49	2.97	5.21
50	3.53	5.29
51	4.19	5.37
52	5.01	5.45
53	5.97	5.52
54	7.07	5.59
55	8.27	5.64
56	9.50	5.65
57	10.67	5.60
58	11.66	5.51
59	12.37	5.40
60	12.70	5.33
61	12.61	5.34
62	12.09	5.45
63	11.21	5.63
64	10.07	5.80
65	8.81	5.90
66	7.53	5.92
67	6.36	5.88
68	5.36	5.80
69	4.59	5.71
70	4.02	5.64
71	3.66	5.58
72	3.40	5.55
73	3.21	5.52
74	3.05	5.48
75	2.87	5.44
76	2.64	5.40
77	2.36	5.36
78	2.03	5.34
79	1.65	5.31
80	1.25	5.27
81	0.85	5.22
82	0.48	5.16
83	0.15	5.10
84	-0.10	5.03
85	-0.25	4.97
86	-0.31	4.93
87	-0.27	4.89
88	-0.13	4.87
89	0.09	4.86
90	0.37	4.86
91	0.71	4.85
92	1.07	4.84
93	1.45	4.84
94	1.81	4.85
95	2.13	4.87
96	2.39	4.90
97	2.58	4.94
98	2.67	4.97
99	2.66	4.97
100	2.55	4.96
101	2.32	4.93
