	GLOBAL	GLOBAL
	Right Foot Pitch Angles_X_RHS_RHS	Right Foot Pitch Angles_X_RHS_RHS
	P2D	P2D
	PROCESSED	PROCESSED
ITEM	1	2
1	19.06	2.11
2	16.62	2.06
3	13.93	2.01
4	11.20	1.96
5	8.62	1.88
6	6.34	1.77
7	4.43	1.64
8	2.90	1.48
9	1.75	1.33
10	0.92	1.18
11	0.35	1.07
12	-0.02	0.99
13	-0.25	0.93
14	-0.40	0.90
15	-0.50	0.88
16	-0.57	0.87
17	-0.63	0.87
18	-0.70	0.88
19	-0.79	0.89
20	-0.90	0.92
21	-1.03	0.96
22	-1.17	1.00
23	-1.33	1.04
24	-1.49	1.07
25	-1.67	1.10
26	-1.85	1.13
27	-2.05	1.18
28	-2.28	1.25
29	-2.52	1.34
30	-2.80	1.44
31	-3.10	1.57
32	-3.43	1.70
33	-3.79	1.85
34	-4.17	2.00
35	-4.58	2.16
36	-5.03	2.32
37	-5.51	2.49
38	-6.04	2.65
39	-6.62	2.82
40	-7.26	2.99
41	-7.98	3.17
42	-8.78	3.37
43	-9.69	3.58
44	-10.72	3.81
45	-11.90	4.05
46	-13.24	4.32
47	-14.78	4.61
48	-16.54	4.92
49	-18.55	5.25
50	-20.86	5.61
51	-23.49	5.99
52	-26.48	6.39
53	-29.85	6.80
54	-33.62	7.18
55	-37.76	7.52
56	-42.22	7.77
57	-46.89	7.89
58	-51.63	7.86
59	-56.25	7.64
60	-60.54	7.29
61	-64.32	6.84
62	-67.40	6.37
63	-69.67	5.97
64	-71.07	5.69
65	-71.60	5.53
66	-71.32	5.47
67	-70.31	5.44
68	-68.70	5.42
69	-66.58	5.40
70	-64.07	5.39
71	-61.24	5.38
72	-58.17	5.39
73	-54.93	5.42
74	-51.54	5.45
75	-48.04	5.49
76	-44.44	5.54
77	-40.77	5.58
78	-37.03	5.62
79	-33.23	5.64
80	-29.38	5.65
81	-25.47	5.63
82	-21.53	5.59
83	-17.56	5.53
84	-13.61	5.44
85	-9.68	5.32
86	-5.78	5.19
87	-1.95	5.04
88	1.79	4.89
89	5.41	4.72
90	8.86	4.55
91	12.10	4.35
92	15.06	4.13
93	17.67	3.88
94	19.86	3.61
95	21.56	3.33
96	22.69	3.06
97	23.22	2.83
98	23.10	2.66
99	22.33	2.55
100	20.95	2.50
101	19.01	2.50
