	GLOBAL	GLOBAL
	Right Foot Progression_Z_RHS_RHS	Right Foot Progression_Z_RHS_RHS
	P2D	P2D
	PROCESSED	PROCESSED
ITEM	1	2
1	-13.63	5.38
2	-13.33	5.31
3	-12.92	5.25
4	-12.42	5.20
5	-11.86	5.17
6	-11.30	5.17
7	-10.78	5.18
8	-10.33	5.21
9	-9.98	5.25
10	-9.71	5.29
11	-9.52	5.33
12	-9.38	5.36
13	-9.30	5.39
14	-9.25	5.42
15	-9.24	5.44
16	-9.24	5.45
17	-9.26	5.46
18	-9.29	5.46
19	-9.33	5.46
20	-9.38	5.46
21	-9.43	5.47
22	-9.49	5.47
23	-9.57	5.49
24	-9.65	5.51
25	-9.75	5.53
26	-9.86	5.56
27	-9.98	5.60
28	-10.12	5.64
29	-10.27	5.68
30	-10.44	5.72
31	-10.61	5.75
32	-10.78	5.78
33	-10.96	5.81
34	-11.15	5.84
35	-11.34	5.88
36	-11.53	5.91
37	-11.72	5.95
38	-11.90	5.99
39	-12.07	6.02
40	-12.21	6.06
41	-12.33	6.10
42	-12.40	6.13
43	-12.42	6.16
44	-12.38	6.18
45	-12.28	6.19
46	-12.13	6.19
47	-11.92	6.18
48	-11.67	6.16
49	-11.37	6.13
50	-11.06	6.09
51	-10.71	6.05
52	-10.35	5.99
53	-9.98	5.94
54	-9.58	5.88
55	-9.16	5.82
56	-8.74	5.77
57	-8.33	5.72
58	-7.96	5.71
59	-7.66	5.72
60	-7.50	5.77
61	-7.50	5.88
62	-7.70	6.03
63	-8.11	6.24
64	-8.72	6.48
65	-9.47	6.72
66	-10.33	6.94
67	-11.23	7.12
68	-12.12	7.23
69	-12.95	7.27
70	-13.71	7.24
71	-14.39	7.16
72	-14.99	7.03
73	-15.54	6.87
74	-16.04	6.69
75	-16.52	6.51
76	-16.98	6.34
77	-17.44	6.18
78	-17.87	6.04
79	-18.28	5.92
80	-18.66	5.82
81	-18.99	5.73
82	-19.24	5.68
83	-19.42	5.68
84	-19.50	5.70
85	-19.46	5.76
86	-19.31	5.86
87	-19.05	5.99
88	-18.69	6.15
89	-18.26	6.31
90	-17.78	6.45
91	-17.29	6.55
92	-16.81	6.59
93	-16.38	6.58
94	-16.02	6.52
95	-15.75	6.42
96	-15.54	6.30
97	-15.40	6.17
98	-15.27	6.04
99	-15.14	5.93
100	-14.96	5.82
101	-14.71	5.74
