	GLOBAL	GLOBAL
	Right Hip Angles_X_RHS_RHS	Right Hip Angles_X_RHS_RHS
	P2D	P2D
	PROCESSED	PROCESSED
ITEM	1	2
1	32.82	4.49
2	32.86	4.56
3	32.89	4.65
4	32.90	4.75
5	32.88	4.85
6	32.81	4.94
7	32.66	5.00
8	32.40	5.03
9	32.00	5.04
10	31.43	5.03
11	30.70	5.02
12	29.83	5.02
13	28.84	5.03
14	27.78	5.05
15	26.67	5.09
16	25.53	5.13
17	24.37	5.16
18	23.20	5.19
19	22.02	5.20
20	20.83	5.20
21	19.62	5.18
22	18.41	5.17
23	17.21	5.16
24	16.01	5.15
25	14.82	5.15
26	13.66	5.15
27	12.52	5.14
28	11.39	5.14
29	10.28	5.13
30	9.20	5.11
31	8.15	5.10
32	7.12	5.09
33	6.12	5.08
34	5.14	5.07
35	4.19	5.07
36	3.26	5.08
37	2.35	5.10
38	1.44	5.12
39	0.55	5.14
40	-0.34	5.17
41	-1.20	5.21
42	-2.04	5.25
43	-2.84	5.28
44	-3.59	5.31
45	-4.29	5.33
46	-4.92	5.33
47	-5.47	5.32
48	-5.94	5.30
49	-6.31	5.27
50	-6.56	5.23
51	-6.68	5.17
52	-6.64	5.11
53	-6.42	5.05
54	-6.03	4.97
55	-5.45	4.90
56	-4.68	4.83
57	-3.72	4.77
58	-2.60	4.70
59	-1.30	4.65
60	0.15	4.60
61	1.72	4.57
62	3.40	4.55
63	5.15	4.55
64	6.95	4.56
65	8.79	4.59
66	10.65	4.63
67	12.51	4.67
68	14.39	4.72
69	16.28	4.78
70	18.16	4.84
71	20.02	4.90
72	21.86	4.94
73	23.65	4.97
74	25.38	4.99
75	27.02	4.98
76	28.55	4.95
77	29.98	4.91
78	31.29	4.86
79	32.48	4.80
80	33.53	4.74
81	34.45	4.69
82	35.22	4.66
83	35.83	4.63
84	36.28	4.62
85	36.56	4.62
86	36.67	4.64
87	36.62	4.67
88	36.41	4.71
89	36.07	4.74
90	35.62	4.78
91	35.10	4.80
92	34.56	4.80
93	34.04	4.79
94	33.57	4.77
95	33.18	4.73
96	32.90	4.70
97	32.72	4.66
98	32.63	4.64
99	32.63	4.64
100	32.69	4.67
101	32.77	4.71
