	GLOBAL	GLOBAL
	Right Hip Angles_Y_RHS_RHS	Right Hip Angles_Y_RHS_RHS
	P2D	P2D
	PROCESSED	PROCESSED
ITEM	1	2
1	-0.55	3.38
2	-0.04	3.36
3	0.55	3.34
4	1.19	3.30
5	1.89	3.27
6	2.63	3.22
7	3.38	3.17
8	4.12	3.12
9	4.82	3.07
10	5.45	3.02
11	6.01	2.98
12	6.49	2.95
13	6.90	2.94
14	7.24	2.93
15	7.53	2.94
16	7.75	2.95
17	7.91	2.97
18	8.02	3.00
19	8.07	3.04
20	8.07	3.09
21	8.02	3.13
22	7.92	3.17
23	7.80	3.20
24	7.65	3.22
25	7.48	3.23
26	7.30	3.22
27	7.12	3.21
28	6.95	3.20
29	6.79	3.18
30	6.64	3.17
31	6.51	3.17
32	6.39	3.17
33	6.29	3.17
34	6.22	3.19
35	6.17	3.20
36	6.14	3.21
37	6.13	3.22
38	6.13	3.21
39	6.13	3.20
40	6.12	3.19
41	6.10	3.18
42	6.05	3.17
43	5.96	3.17
44	5.84	3.18
45	5.66	3.21
46	5.45	3.24
47	5.19	3.29
48	4.90	3.34
49	4.57	3.40
50	4.21	3.46
51	3.80	3.51
52	3.35	3.57
53	2.84	3.62
54	2.27	3.66
55	1.62	3.69
56	0.91	3.71
57	0.15	3.71
58	-0.63	3.70
59	-1.41	3.66
60	-2.16	3.60
61	-2.83	3.51
62	-3.39	3.41
63	-3.84	3.30
64	-4.16	3.18
65	-4.34	3.09
66	-4.40	3.01
67	-4.34	2.96
68	-4.18	2.93
69	-3.94	2.90
70	-3.64	2.89
71	-3.30	2.86
72	-2.95	2.84
73	-2.60	2.80
74	-2.26	2.76
75	-1.95	2.73
76	-1.67	2.70
77	-1.42	2.68
78	-1.22	2.68
79	-1.05	2.69
80	-0.92	2.71
81	-0.82	2.75
82	-0.75	2.80
83	-0.73	2.85
84	-0.73	2.90
85	-0.77	2.94
86	-0.85	2.98
87	-0.96	3.00
88	-1.11	3.02
89	-1.28	3.04
90	-1.49	3.05
91	-1.69	3.08
92	-1.89	3.10
93	-2.06	3.14
94	-2.18	3.18
95	-2.24	3.21
96	-2.21	3.24
97	-2.11	3.25
98	-1.92	3.26
99	-1.65	3.26
100	-1.30	3.26
101	-0.87	3.26
