	GLOBAL	GLOBAL
	Right Hip Angles_Z_RHS_RHS	Right Hip Angles_Z_RHS_RHS
	P2D	P2D
	PROCESSED	PROCESSED
ITEM	1	2
1	2.21	7.85
2	2.02	7.61
3	1.92	7.40
4	1.97	7.25
5	2.21	7.15
6	2.63	7.12
7	3.18	7.13
8	3.78	7.18
9	4.35	7.28
10	4.79	7.42
11	5.08	7.57
12	5.21	7.72
13	5.22	7.84
14	5.16	7.93
15	5.07	7.96
16	5.00	7.95
17	4.98	7.90
18	5.00	7.84
19	5.05	7.78
20	5.14	7.72
21	5.24	7.68
22	5.35	7.64
23	5.45	7.61
24	5.54	7.60
25	5.63	7.59
26	5.71	7.60
27	5.79	7.62
28	5.87	7.65
29	5.95	7.70
30	6.05	7.75
31	6.17	7.82
32	6.31	7.89
33	6.47	7.96
34	6.65	8.03
35	6.85	8.10
36	7.07	8.17
37	7.29	8.24
38	7.51	8.31
39	7.72	8.37
40	7.90	8.43
41	8.04	8.48
42	8.13	8.53
43	8.17	8.57
44	8.14	8.60
45	8.06	8.62
46	7.93	8.64
47	7.75	8.65
48	7.52	8.65
49	7.26	8.66
50	6.95	8.67
51	6.59	8.68
52	6.18	8.69
53	5.72	8.69
54	5.19	8.70
55	4.62	8.70
56	4.01	8.70
57	3.38	8.70
58	2.75	8.69
59	2.14	8.68
60	1.58	8.67
61	1.06	8.66
62	0.59	8.66
63	0.17	8.67
64	-0.19	8.69
65	-0.50	8.71
66	-0.76	8.74
67	-0.95	8.76
68	-1.06	8.77
69	-1.08	8.77
70	-1.01	8.76
71	-0.84	8.73
72	-0.58	8.69
73	-0.22	8.64
74	0.20	8.58
75	0.69	8.51
76	1.21	8.41
77	1.74	8.31
78	2.27	8.19
79	2.75	8.05
80	3.17	7.91
81	3.51	7.77
82	3.74	7.64
83	3.85	7.52
84	3.83	7.44
85	3.70	7.39
86	3.47	7.38
87	3.19	7.40
88	2.88	7.45
89	2.59	7.54
90	2.35	7.66
91	2.18	7.81
92	2.09	7.98
93	2.07	8.16
94	2.09	8.31
95	2.14	8.42
96	2.17	8.47
97	2.17	8.45
98	2.12	8.36
99	2.01	8.23
100	1.86	8.08
101	1.70	7.92
