	GLOBAL	GLOBAL
	Right Knee Angles_Y_RHS_RHS	Right Knee Angles_Y_RHS_RHS
	P2D	P2D
	PROCESSED	PROCESSED
ITEM	1	2
1	-0.87	3.70
2	-0.83	3.66
3	-0.79	3.63
4	-0.71	3.62
5	-0.57	3.61
6	-0.36	3.61
7	-0.08	3.62
8	0.26	3.62
9	0.62	3.63
10	0.95	3.63
11	1.21	3.64
12	1.38	3.66
13	1.46	3.70
14	1.47	3.75
15	1.43	3.80
16	1.35	3.85
17	1.24	3.88
18	1.10	3.90
19	0.96	3.90
20	0.80	3.89
21	0.63	3.87
22	0.47	3.83
23	0.31	3.78
24	0.15	3.72
25	0.00	3.66
26	-0.14	3.61
27	-0.27	3.57
28	-0.39	3.53
29	-0.49	3.50
30	-0.58	3.48
31	-0.65	3.46
32	-0.71	3.46
33	-0.76	3.46
34	-0.80	3.47
35	-0.84	3.49
36	-0.87	3.50
37	-0.90	3.51
38	-0.92	3.52
39	-0.94	3.53
40	-0.96	3.52
41	-0.97	3.52
42	-0.98	3.52
43	-1.00	3.52
44	-1.01	3.53
45	-1.04	3.54
46	-1.07	3.57
47	-1.11	3.61
48	-1.17	3.65
49	-1.23	3.70
50	-1.28	3.76
51	-1.33	3.84
52	-1.35	3.93
53	-1.36	4.04
54	-1.34	4.18
55	-1.29	4.34
56	-1.24	4.54
57	-1.18	4.77
58	-1.15	5.03
59	-1.17	5.31
60	-1.26	5.60
61	-1.43	5.89
62	-1.68	6.18
63	-1.98	6.44
64	-2.32	6.66
65	-2.64	6.87
66	-2.93	7.01
67	-3.14	7.10
68	-3.25	7.12
69	-3.22	7.09
70	-3.05	7.00
71	-2.71	6.90
72	-2.23	6.75
73	-1.62	6.57
74	-0.89	6.38
75	-0.07	6.18
76	0.80	5.97
77	1.67	5.76
78	2.51	5.57
79	3.27	5.39
80	3.90	5.23
81	4.37	5.08
82	4.65	4.94
83	4.71	4.81
84	4.57	4.68
85	4.24	4.56
86	3.77	4.44
87	3.21	4.30
88	2.61	4.15
89	2.00	4.00
90	1.43	3.87
91	0.90	3.78
92	0.43	3.72
93	0.02	3.71
94	-0.33	3.72
95	-0.61	3.74
96	-0.81	3.76
97	-0.94	3.77
98	-1.01	3.76
99	-1.03	3.74
100	-1.02	3.72
101	-1.00	3.70
