	GLOBAL	GLOBAL
	Right Pelvic Angles_X_RHS_RHS	Right Pelvic Angles_X_RHS_RHS
	P2D	P2D
	PROCESSED	PROCESSED
ITEM	1	2
1	11.47	4.01
2	11.49	4.03
3	11.52	4.06
4	11.54	4.09
5	11.54	4.12
6	11.51	4.16
7	11.44	4.19
8	11.36	4.22
9	11.26	4.24
10	11.16	4.26
11	11.08	4.27
12	11.02	4.28
13	10.98	4.30
14	10.96	4.32
15	10.96	4.34
16	10.98	4.36
17	11.02	4.39
18	11.09	4.40
19	11.17	4.42
20	11.26	4.43
21	11.36	4.44
22	11.45	4.45
23	11.55	4.45
24	11.63	4.45
25	11.69	4.45
26	11.75	4.45
27	11.79	4.45
28	11.81	4.44
29	11.82	4.44
30	11.83	4.43
31	11.83	4.43
32	11.84	4.42
33	11.86	4.40
34	11.88	4.39
35	11.90	4.37
36	11.92	4.35
37	11.93	4.33
38	11.94	4.31
39	11.93	4.29
40	11.90	4.28
41	11.85	4.27
42	11.80	4.26
43	11.73	4.26
44	11.65	4.26
45	11.57	4.26
46	11.50	4.26
47	11.43	4.26
48	11.37	4.25
49	11.33	4.25
50	11.30	4.24
51	11.29	4.23
52	11.29	4.22
53	11.30	4.21
54	11.31	4.21
55	11.29	4.21
56	11.25	4.22
57	11.18	4.22
58	11.08	4.23
59	10.97	4.24
60	10.86	4.25
61	10.76	4.25
62	10.68	4.26
63	10.62	4.28
64	10.58	4.30
65	10.56	4.32
66	10.56	4.34
67	10.59	4.37
68	10.64	4.39
69	10.71	4.41
70	10.80	4.43
71	10.89	4.44
72	10.99	4.44
73	11.09	4.44
74	11.17	4.43
75	11.25	4.42
76	11.30	4.41
77	11.35	4.39
78	11.37	4.37
79	11.39	4.35
80	11.40	4.33
81	11.41	4.31
82	11.43	4.28
83	11.44	4.25
84	11.47	4.21
85	11.49	4.17
86	11.51	4.13
87	11.53	4.09
88	11.55	4.05
89	11.55	4.01
90	11.54	3.97
91	11.51	3.95
92	11.48	3.93
93	11.44	3.91
94	11.39	3.91
95	11.34	3.90
96	11.30	3.91
97	11.26	3.91
98	11.23	3.91
99	11.21	3.91
100	11.20	3.91
101	11.22	3.92
