	GLOBAL	GLOBAL
	Right Pelvic Angles_Y_RHS_RHS	Right Pelvic Angles_Y_RHS_RHS
	P2D	P2D
	PROCESSED	PROCESSED
ITEM	1	2
1	0.18	1.91
2	0.45	1.94
3	0.79	1.98
4	1.18	2.01
5	1.62	2.03
6	2.10	2.06
7	2.61	2.09
8	3.12	2.11
9	3.60	2.15
10	4.05	2.19
11	4.44	2.23
12	4.76	2.28
13	4.99	2.31
14	5.13	2.34
15	5.18	2.36
16	5.15	2.36
17	5.05	2.35
18	4.88	2.33
19	4.65	2.31
20	4.39	2.28
21	4.09	2.24
22	3.78	2.21
23	3.46	2.18
24	3.14	2.15
25	2.82	2.12
26	2.51	2.10
27	2.23	2.08
28	1.96	2.06
29	1.73	2.04
30	1.52	2.01
31	1.34	1.98
32	1.19	1.95
33	1.07	1.90
34	0.98	1.86
35	0.92	1.82
36	0.89	1.78
37	0.89	1.74
38	0.91	1.70
39	0.97	1.66
40	1.05	1.62
41	1.15	1.59
42	1.26	1.56
43	1.39	1.52
44	1.50	1.49
45	1.60	1.46
46	1.66	1.42
47	1.67	1.39
48	1.64	1.36
49	1.54	1.35
50	1.38	1.35
51	1.16	1.37
52	0.88	1.40
53	0.54	1.46
54	0.13	1.52
55	-0.32	1.59
56	-0.81	1.65
57	-1.31	1.70
58	-1.82	1.74
59	-2.31	1.77
60	-2.76	1.79
61	-3.15	1.82
62	-3.46	1.85
63	-3.70	1.88
64	-3.85	1.91
65	-3.91	1.94
66	-3.89	1.97
67	-3.80	1.99
68	-3.65	2.01
69	-3.45	2.03
70	-3.20	2.04
71	-2.93	2.04
72	-2.64	2.04
73	-2.33	2.03
74	-2.01	2.01
75	-1.69	1.99
76	-1.38	1.96
77	-1.09	1.93
78	-0.81	1.90
79	-0.55	1.88
80	-0.32	1.86
81	-0.11	1.84
82	0.06	1.83
83	0.27	1.75
84	0.39	1.74
85	0.46	1.74
86	0.51	1.73
87	0.52	1.73
88	0.50	1.73
89	0.45	1.73
90	0.38	1.73
91	0.29	1.74
92	0.19	1.75
93	0.09	1.77
94	-0.01	1.79
95	-0.08	1.81
96	-0.13	1.83
97	-0.14	1.84
98	-0.09	1.85
99	0.00	1.86
100	0.16	1.87
101	0.37	1.88
