	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	R_FM1	R_FM1	R_FM1	R_FM1	R_FM1	R_FM1	R_FM1	R_FM1	R_FM1	R_FM1	R_FM1	R_FM1	R_FM1	R_FM1
	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	0.1070	0.0920	0.0977	0.0996	0.0978	0.0909	0.0960	0.1035	0.1038	0.1014	0.0925	0.1049	0.0960	0.0411
2	0.0974	0.0819	0.0881	0.0905	0.0873	0.0809	0.0863	0.0926	0.0940	0.0901	0.0814	0.0947	0.0838	0.0411
3	0.0853	0.0722	0.0774	0.0797	0.0758	0.0711	0.0767	0.0822	0.0845	0.0797	0.0699	0.0843	0.0750	0.0411
4	0.0728	0.0643	0.0674	0.0682	0.0658	0.0636	0.0682	0.0723	0.0756	0.0699	0.0613	0.0732	0.0677	0.0411
5	0.0630	0.0585	0.0601	0.0590	0.0591	0.0574	0.0617	0.0652	0.0676	0.0628	0.0544	0.0642	0.0625	0.0411
6	0.0567	0.0541	0.0551	0.0525	0.0559	0.0536	0.0563	0.0600	0.0618	0.0563	0.0501	0.0564	0.0576	0.0411
7	0.0542	0.0526	0.0530	0.0495	0.0552	0.0519	0.0535	0.0571	0.0570	0.0533	0.0488	0.0523	0.0556	0.0411
8	0.0535	0.0521	0.0521	0.0486	0.0551	0.0506	0.0524	0.0563	0.0551	0.0523	0.0477	0.0511	0.0556	0.0411
9	0.0533	0.0518	0.0510	0.0481	0.0547	0.0495	0.0517	0.0561	0.0546	0.0521	0.0468	0.0507	0.0556	0.0411
10	0.0527	0.0509	0.0494	0.0473	0.0534	0.0480	0.0506	0.0553	0.0540	0.0516	0.0458	0.0500	0.0547	0.0411
11	0.0512	0.0496	0.0474	0.0459	0.0515	0.0464	0.0492	0.0536	0.0531	0.0504	0.0446	0.0482	0.0531	0.0411
12	0.0493	0.0483	0.0455	0.0444	0.0496	0.0451	0.0477	0.0518	0.0516	0.0488	0.0439	0.0462	0.0514	0.0411
13	0.0477	0.0473	0.0440	0.0430	0.0482	0.0441	0.0464	0.0503	0.0500	0.0474	0.0435	0.0445	0.0500	0.0411
14	0.0464	0.0465	0.0431	0.0421	0.0472	0.0436	0.0455	0.0493	0.0487	0.0465	0.0433	0.0434	0.0490	0.0411
15	0.0458	0.0461	0.0425	0.0415	0.0467	0.0433	0.0449	0.0489	0.0478	0.0459	0.0431	0.0428	0.0484	0.0411
16	0.0454	0.0458	0.0422	0.0412	0.0463	0.0431	0.0445	0.0486	0.0473	0.0456	0.0429	0.0424	0.0479	0.0411
17	0.0452	0.0455	0.0419	0.0411	0.0459	0.0429	0.0441	0.0484	0.0471	0.0454	0.0426	0.0420	0.0475	0.0411
18	0.0449	0.0452	0.0416	0.0408	0.0456	0.0426	0.0438	0.0480	0.0468	0.0451	0.0423	0.0417	0.0471	0.0411
19	0.0446	0.0450	0.0413	0.0406	0.0453	0.0423	0.0436	0.0477	0.0465	0.0448	0.0419	0.0413	0.0468	0.0411
20	0.0442	0.0448	0.0411	0.0404	0.0451	0.0420	0.0433	0.0474	0.0462	0.0445	0.0417	0.0411	0.0465	0.0411
21	0.0440	0.0447	0.0408	0.0402	0.0448	0.0418	0.0432	0.0472	0.0460	0.0443	0.0416	0.0409	0.0462	0.0411
22	0.0438	0.0445	0.0406	0.0401	0.0446	0.0416	0.0431	0.0471	0.0457	0.0442	0.0415	0.0408	0.0461	0.0411
23	0.0437	0.0444	0.0404	0.0399	0.0444	0.0415	0.0430	0.0469	0.0456	0.0441	0.0415	0.0407	0.0459	0.0411
24	0.0437	0.0443	0.0402	0.0398	0.0441	0.0413	0.0429	0.0468	0.0455	0.0441	0.0414	0.0407	0.0458	0.0411
25	0.0437	0.0442	0.0400	0.0397	0.0438	0.0412	0.0427	0.0468	0.0454	0.0440	0.0412	0.0407	0.0457	0.0411
26	0.0436	0.0442	0.0398	0.0396	0.0435	0.0411	0.0425	0.0467	0.0452	0.0440	0.0411	0.0406	0.0455	0.0411
27	0.0435	0.0441	0.0396	0.0394	0.0432	0.0407	0.0423	0.0467	0.0451	0.0439	0.0410	0.0403	0.0452	0.0411
28	0.0434	0.0440	0.0394	0.0391	0.0431	0.0402	0.0420	0.0467	0.0450	0.0439	0.0409	0.0400	0.0450	0.0411
29	0.0434	0.0439	0.0392	0.0388	0.0430	0.0398	0.0420	0.0466	0.0450	0.0439	0.0409	0.0397	0.0448	0.0411
30	0.0434	0.0438	0.0391	0.0385	0.0429	0.0394	0.0420	0.0467	0.0449	0.0439	0.0409	0.0394	0.0447	0.0411
31	0.0433	0.0437	0.0391	0.0385	0.0429	0.0394	0.0420	0.0467	0.0448	0.0439	0.0409	0.0394	0.0446	0.0411
32	0.0434	0.0437	0.0391	0.0387	0.0430	0.0397	0.0421	0.0468	0.0448	0.0439	0.0409	0.0396	0.0446	0.0411
33	0.0435	0.0437	0.0391	0.0390	0.0431	0.0400	0.0423	0.0468	0.0447	0.0439	0.0409	0.0397	0.0446	0.0411
