	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X
1	4.02	3.98	3.07	2.70	4.66	6.11
2	3.59	3.48	2.71	2.01	4.01	6.11
3	2.98	2.73	2.09	1.12	3.17	6.11
4	2.21	1.84	1.31	0.16	2.24	6.11
5	1.37	0.98	0.50	-0.71	1.37	6.11
6	0.59	0.29	-0.18	-1.36	0.68	6.11
7	-0.04	-0.11	-0.59	-1.69	0.26	6.11
8	-0.43	-0.15	-0.67	-1.68	0.15	6.11
9	-0.55	0.12	-0.42	-1.35	0.36	6.11
10	-0.42	0.65	0.12	-0.79	0.82	6.11
11	-0.06	1.33	0.85	-0.06	1.46	6.11
12	0.45	2.08	1.67	0.74	2.23	6.11
13	1.06	2.83	2.50	1.55	3.04	6.11
14	1.70	3.51	3.27	2.31	3.85	6.11
15	2.33	4.10	3.95	3.01	4.62	6.11
16	2.91	4.60	4.51	3.64	5.32	6.11
17	3.43	5.00	4.97	4.19	5.95	6.11
18	3.88	5.34	5.35	4.67	6.49	6.11
19	4.27	5.63	5.66	5.10	6.96	6.11
20	4.62	5.90	5.93	5.49	7.37	6.11
21	4.93	6.15	6.18	5.85	7.73	6.11
22	5.21	6.39	6.40	6.18	8.05	6.11
23	5.47	6.63	6.61	6.51	8.36	6.11
24	5.71	6.87	6.81	6.84	8.65	6.11
25	5.95	7.11	7.00	7.17	8.94	6.11
26	6.17	7.34	7.18	7.50	9.23	6.11
