	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d
	Right Ankle Moment	Right Ankle Moment	Right Ankle Moment	Right Ankle Moment	Right Ankle Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y
1	0.0018	-0.0023	0.0093	0.0011	0.0071
2	-0.0234	-0.0297	0.0018	-0.0228	0.0250
3	-0.0552	-0.0571	-0.0309	-0.0589	-0.0066
4	-0.0868	-0.0681	-0.0462	-0.0969	-0.0213
5	-0.1118	-0.0813	-0.0233	-0.1129	0.0010
6	-0.1475	-0.0918	-0.0361	-0.1621	-0.0236
7	-0.1407	-0.0817	-0.0492	-0.1876	-0.0310
8	-0.1129	-0.0564	-0.0287	-0.1667	-0.0090
9	-0.0985	-0.0456	-0.0086	-0.1374	0.0034
10	-0.1084	-0.0523	-0.0139	-0.1353	0.0002
11	-0.1287	-0.0686	-0.0253	-0.1510	-0.0018
12	-0.1511	-0.0947	-0.0406	-0.1757	-0.0105
13	-0.1702	-0.1163	-0.0530	-0.2062	-0.0208
14	-0.1785	-0.1196	-0.0559	-0.2279	-0.0259
15	-0.1783	-0.1129	-0.0545	-0.2369	-0.0268
16	-0.1787	-0.1080	-0.0518	-0.2425	-0.0266
17	-0.1815	-0.1083	-0.0500	-0.2514	-0.0271
18	-0.1849	-0.1108	-0.0497	-0.2624	-0.0279
19	-0.1871	-0.1136	-0.0503	-0.2719	-0.0291
20	-0.1860	-0.1140	-0.0495	-0.2779	-0.0298
21	-0.1825	-0.1115	-0.0463	-0.2784	-0.0287
22	-0.1770	-0.1068	-0.0415	-0.2736	-0.0258
23	-0.1705	-0.1004	-0.0364	-0.2653	-0.0216
24	-0.1628	-0.0937	-0.0317	-0.2560	-0.0171
25	-0.1553	-0.0876	-0.0277	-0.2470	-0.0119
26	-0.1488	-0.0824	-0.0245	-0.2385	-0.0076
27	-0.1437	-0.0771	-0.0214	-0.2305	-0.0041
28	-0.1395	-0.0712	-0.0182	-0.2229	-0.0007
29	-0.1349	-0.0651	-0.0151	-0.2164	0.0020
30	-0.1308	-0.0601	-0.0119	-0.2113	0.0042
31	-0.1274	-0.0561	-0.0083	-0.2073	0.0061
32	-0.1239	-0.0528	-0.0045	-0.2046	0.0084
33	-0.1211	-0.0493	-0.0002	-0.2025	0.0110
34	-0.1184	-0.0458	0.0042	-0.2003	0.0131
35	-0.1154	-0.0438	0.0085	-0.1980	0.0160
36	-0.1128	-0.0419	0.0130	-0.1953	0.0194
37	-0.1109	-0.0411	0.0180	-0.1939	0.0230
38	-0.1096	-0.0413	0.0232	-0.1929	0.0263
39	-0.1089	-0.0413	0.0286	-0.1939	0.0310
40	-0.1103	-0.0409	0.0338	-0.1960	0.0356
41	-0.1127	-0.0412	0.0383	-0.1999	0.0401
42	-0.1167	-0.0423	0.0424	-0.2054	0.0447
43	-0.1220	-0.0436	0.0455	-0.2131	0.0486
44	-0.1279	-0.0429	0.0476	-0.2208	0.0502
45	-0.1327	-0.0410	0.0489	-0.2287	0.0504
46	-0.1361	-0.0361	0.0503	-0.2362	0.0486
47	-0.1378	-0.0247	0.0539	-0.2419	0.0450
48	-0.1349	-0.0074	0.0617	-0.2444	0.0389
49	-0.1256	0.0158	0.0750	-0.2409	0.0318
50	-0.1115	0.0436	0.0937	-0.2305	0.0274
51	-0.0922	0.0727	0.1167	-0.2120	0.0312
52	-0.0682	0.1041	0.1415	-0.1866	0.0472
53	-0.0400	0.1363	0.1677	-0.1548	0.0766
54	-0.0061	0.1660	0.1953	-0.1151	0.1100
55	0.0285	0.1871	0.2194	-0.0701	0.1388
56	0.0586	0.1978	0.2354	-0.0258	0.1610
57	0.0802	0.1983	0.2423	0.0139	0.1761
58	0.0915	0.1874	0.2399	0.0455	0.1797
59	0.0913	0.1616	0.2252	0.0658	0.1709
60	0.0791	0.1200	0.1943	0.0740	0.1505
61	0.0571	0.0649	0.1471	0.0712	0.1151
62	0.0279	0.0168	0.0853	0.0557	0.0669
63	0.0042	0.0021	0.0276	0.0282	0.0218
64	-0.0035	-0.0013	0.0085	0.0073	0.0033
65	-0.0053	-0.0065	0.0015	0.0035	0.0023
66	-0.0064	-0.0073	-0.0064	-0.0023	-0.0053
67	-0.0070	-0.0084	-0.0066	-0.0064	-0.0056
68	-0.0078	-0.0085	-0.0077	-0.0079	-0.0061
69	-0.0080	-0.0078	-0.0081	-0.0087	-0.0061
70	-0.0076	-0.0066	-0.0078	-0.0085	-0.0056
71	-0.0067	-0.0054	-0.0070	-0.0077	-0.0051
72	-0.0058	-0.0045	-0.0059	-0.0065	-0.0046
73	-0.0050	-0.0039	-0.0049	-0.0054	-0.0042
74	-0.0044	-0.0034	-0.0041	-0.0045	-0.0038
75	-0.0039	-0.0029	-0.0034	-0.0038	-0.0032
76	-0.0034	-0.0024	-0.0029	-0.0031	-0.0026
77	-0.0030	-0.0018	-0.0024	-0.0025	-0.0020
78	-0.0025	-0.0011	-0.0019	-0.0019	-0.0013
79	-0.0019	-0.0005	-0.0015	-0.0014	-0.0008
80	-0.0014	-0.0001	-0.0011	-0.0009	-0.0003
81	-0.0010	0.0003	-0.0007	-0.0005	-0.0001
82	-0.0006	0.0004	-0.0005	-0.0003	-0.0000
