	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y
1	0.69	-4.66	-2.09	-4.05	-3.28	1.03
2	-0.67	-5.43	-2.97	-4.81	-4.17	1.03
3	-2.02	-6.19	-4.02	-5.51	-4.93	1.03
4	-3.20	-6.82	-5.07	-6.06	-5.47	1.03
5	-4.11	-7.23	-5.96	-6.41	-5.74	1.03
6	-4.74	-7.42	-6.60	-6.56	-5.80	1.03
7	-5.12	-7.43	-6.99	-6.56	-5.73	1.04
8	-5.35	-7.33	-7.16	-6.46	-5.61	1.04
9	-5.49	-7.18	-7.19	-6.30	-5.50	1.04
10	-5.61	-6.99	-7.11	-6.12	-5.43	1.04
11	-5.72	-6.80	-6.96	-5.93	-5.38	1.04
12	-5.81	-6.61	-6.76	-5.75	-5.33	1.04
13	-5.87	-6.43	-6.52	-5.59	-5.27	1.04
14	-5.88	-6.26	-6.27	-5.45	-5.18	1.04
15	-5.83	-6.08	-6.01	-5.32	-5.05	1.04
16	-5.74	-5.91	-5.76	-5.20	-4.90	1.04
17	-5.60	-5.74	-5.52	-5.08	-4.73	1.04
18	-5.44	-5.56	-5.29	-4.97	-4.55	1.04
19	-5.27	-5.39	-5.08	-4.85	-4.36	1.04
20	-5.08	-5.21	-4.87	-4.72	-4.16	1.04
21	-4.89	-5.03	-4.67	-4.58	-3.97	1.04
22	-4.71	-4.84	-4.48	-4.42	-3.79	1.04
