	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d
	Right Ankle Moment	Right Ankle Moment	Right Ankle Moment	Right Ankle Moment	Right Ankle Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X
1	-0.0051	-0.0133	-0.0014	-0.0062	-0.0066
2	-0.0014	-0.0259	0.0023	0.0102	0.0077
3	-0.0127	-0.0519	-0.0193	0.0102	-0.0016
4	-0.0471	-0.0720	-0.0612	-0.0235	-0.0325
5	-0.0740	-0.0658	-0.0998	-0.0714	-0.0878
6	-0.0601	-0.0498	-0.0940	-0.0769	-0.1143
7	-0.0289	-0.0463	-0.0630	-0.0285	-0.0771
8	-0.0118	-0.0426	-0.0518	0.0002	-0.0445
9	0.0023	-0.0271	-0.0435	0.0099	-0.0301
10	0.0218	-0.0063	-0.0258	0.0279	-0.0176
11	0.0378	0.0161	-0.0107	0.0419	-0.0057
12	0.0531	0.0408	0.0048	0.0531	0.0116
13	0.0711	0.0671	0.0215	0.0700	0.0328
14	0.0900	0.0915	0.0391	0.0874	0.0484
15	0.1073	0.1107	0.0579	0.1050	0.0566
16	0.1233	0.1251	0.0772	0.1253	0.0618
17	0.1407	0.1381	0.0973	0.1476	0.0685
18	0.1610	0.1526	0.1188	0.1722	0.0775
19	0.1828	0.1710	0.1409	0.1977	0.0871
20	0.2032	0.1920	0.1620	0.2230	0.0979
21	0.2221	0.2127	0.1814	0.2464	0.1101
22	0.2400	0.2319	0.1997	0.2681	0.1226
23	0.2575	0.2494	0.2171	0.2880	0.1354
24	0.2738	0.2637	0.2330	0.3074	0.1486
25	0.2887	0.2754	0.2477	0.3268	0.1614
26	0.3022	0.2868	0.2613	0.3454	0.1736
27	0.3142	0.2996	0.2737	0.3632	0.1854
28	0.3240	0.3138	0.2844	0.3798	0.1972
29	0.3309	0.3281	0.2930	0.3953	0.2080
30	0.3366	0.3410	0.2994	0.4091	0.2178
31	0.3426	0.3518	0.3041	0.4207	0.2265
32	0.3490	0.3597	0.3081	0.4305	0.2340
33	0.3558	0.3646	0.3126	0.4383	0.2405
34	0.3620	0.3691	0.3175	0.4438	0.2450
35	0.3666	0.3760	0.3223	0.4490	0.2477
36	0.3701	0.3863	0.3267	0.4546	0.2488
37	0.3733	0.3989	0.3305	0.4599	0.2482
38	0.3773	0.4126	0.3338	0.4648	0.2465
39	0.3826	0.4260	0.3372	0.4691	0.2452
40	0.3892	0.4387	0.3417	0.4730	0.2444
41	0.3968	0.4508	0.3478	0.4772	0.2440
42	0.4048	0.4621	0.3554	0.4816	0.2448
43	0.4129	0.4722	0.3636	0.4863	0.2468
44	0.4205	0.4814	0.3719	0.4924	0.2507
45	0.4278	0.4900	0.3797	0.4997	0.2562
46	0.4355	0.4979	0.3870	0.5077	0.2634
47	0.4434	0.5068	0.3940	0.5164	0.2730
48	0.4518	0.5173	0.4014	0.5254	0.2843
49	0.4606	0.5288	0.4103	0.5346	0.2961
50	0.4692	0.5403	0.4206	0.5443	0.3089
51	0.4773	0.5518	0.4317	0.5540	0.3223
52	0.4847	0.5635	0.4435	0.5638	0.3359
53	0.4927	0.5746	0.4559	0.5737	0.3500
54	0.5030	0.5867	0.4699	0.5832	0.3648
55	0.5153	0.6018	0.4868	0.5930	0.3806
56	0.5295	0.6205	0.5073	0.6040	0.3973
57	0.5469	0.6420	0.5318	0.6185	0.4157
58	0.5676	0.6661	0.5604	0.6381	0.4355
59	0.5909	0.6928	0.5920	0.6621	0.4560
60	0.6171	0.7229	0.6255	0.6898	0.4768
61	0.6473	0.7560	0.6599	0.7197	0.4983
62	0.6821	0.7927	0.6949	0.7510	0.5211
63	0.7207	0.8335	0.7304	0.7840	0.5454
64	0.7632	0.8785	0.7665	0.8193	0.5718
65	0.8092	0.9267	0.8036	0.8572	0.6004
66	0.8574	0.9782	0.8424	0.8982	0.6318
67	0.9074	1.0321	0.8838	0.9415	0.6680
68	0.9596	1.0874	0.9283	0.9869	0.7091
69	1.0134	1.1426	0.9760	1.0343	0.7543
70	1.0682	1.1975	1.0269	1.0831	0.8021
71	1.1234	1.2523	1.0796	1.1335	0.8513
72	1.1779	1.3070	1.1327	1.1841	0.9009
73	1.2305	1.3613	1.1852	1.2322	0.9506
74	1.2797	1.4140	1.2362	1.2762	0.9995
75	1.3233	1.4623	1.2836	1.3156	1.0467
76	1.3604	1.5034	1.3258	1.3497	1.0938
77	1.3896	1.5361	1.3608	1.3781	1.1399
78	1.4096	1.5587	1.3863	1.4004	1.1835
79	1.4196	1.5684	1.4000	1.4142	1.2143
80	1.4181	1.5656	1.4017	1.4162	1.2270
81	1.4020	1.5511	1.3904	1.4009	1.2194
82	1.3691	1.5203	1.3613	1.3679	1.1921
83	1.3199	1.4718	1.3154	1.3191	1.1501
84	1.2557	1.4085	1.2570	1.2562	1.0976
85	1.1783	1.3335	1.1877	1.1840	1.0373
86	1.0915	1.2493	1.1102	1.1058	0.9684
87	0.9986	1.1578	1.0269	1.0209	0.8892
88	0.9003	1.0616	0.9376	0.9283	0.7999
89	0.7951	0.9598	0.8398	0.8281	0.7020
90	0.6824	0.8495	0.7310	0.7202	0.5970
91	0.5626	0.7283	0.6113	0.6037	0.4849
